,weight,available modification,product number,formula,absorption,emission max,solution,name,molar absorbance
0,777.03,Carboxylic acid,350-00,C19H20N2O11S2 * 2 C8H20N,353,432,(in PBS),DY-350,"19,000"
1,874.10,NHS-ester,350-01,C23H23N3O13S2 * 2 C8H20N,353,432,(in PBS),DY-350,"19,000"
2,689.86,Amino-derivative,350-02,C21H27N4O10S2 * C8H20N,353,432,(in PBS),DY-350,"19,000"
3,899.15,Maleimide,350-03,C25H26N4O12S2 * 2 C8H20N,353,432,(in PBS),DY-350,"19,000"
6,454.43,Carboxylic acid,351-00,C20H19N2O7S * Na,338,437,(in PBS),DY-351,"33,000"
7,551.50,NHS-ester,351-01,C24H22N3O9S * Na,338,437,(in PBS),DY-351,"33,000"
8,474.53,Amino-derivative,351-02,C22H26N4O6S,338,437,(in PBS),DY-351,"33,000"
9,576.55,Maleimide,351-03,C26H25N4O8S * Na,338,437,(in PBS),DY-351,"33,000"
13,695.59,Carboxylic acid,405-00,C24H20NO13S3 * 3 Na,400,423,(in PBS),DY-405,"32,000"
14,792.66,NHS-ester,405-01,C28H23N2O15S3 * 3 Na,400,423,(in PBS),DY-405,"32,000"
15,715.69,Amino-derivative,405-02,C26H27N3O12S3 * 2 Na,400,423,(in PBS),DY-405,"32,000"
16,817.72,Maleimide,405-03,C30H26N3O14S3 * 3 Na,400,423,(in PBS),DY-405,"32,000"
19,455.78,Carboxylic acid,410-00,C16H15ClNO9S * Na,405,460,(in PBS),DY-410,"34,000"
20,552.87,NHS-ester,410-01,C20H18ClN2O11S * Na,405,460,(in PBS),DY-410,"34,000"
21,475.90,Amino-derivative,410-02,C18H22ClN3O8S,405,460,(in PBS),DY-410,"34,000"
22,577.92,Maleimide,410-03,C22H21ClN3O10S * Na,405,460,(in PBS),DY-410,"34,000"
25,476.48,Carboxylic acid,415-00,C20H25N2O8S * Na,418,463,(in Ethanol),DY-415,"40,000"
26,573.56,NHS-ester,415-01,C24H28N3O10S * Na,418,463,(in Ethanol),DY-415,"40,000"
27,496.59,Amino-derivative,415-02,C22H32N4O7S,418,463,(in Ethanol),DY-415,"40,000"
28,598.61,Maleimide,415-03,C26H31N4O9S * Na,418,463,(in Ethanol),DY-415,"40,000"
31,542.58,Carboxylic acid,430-00,C25H31N2O8S * Na,444,487,(PBS),DY-430,"37,000"
32,639.65,NHS-ester,430-01,C29H34N3O10S * Na,444,487,(PBS),DY-430,"37,000"
33,562.68,Amino-derivative,430-02,C27H38N4O7S,444,487,(PBS),DY-430,"37,000"
34,664.70,Maleimide,430-03,C31H37N4O9S * Na,444,487,(PBS),DY-430,"37,000"
41,644.63,Carboxylic acid,431-00,C25H30N2O11S2 * 2 Na,442,496,(in PBS),DY-431,"35,000"
42,741.69,NHS-ester,431-01,C29H33N3O13S2 * 2 Na,442,496,(in PBS),DY-431,"35,000"
43,664.72,Amino-derivative,431-02,C27H37N4O10S2 * Na,442,496,(in PBS),DY-431,"35,000"
44,766.75,Maleimide,431-03,C31H36N4O12S2 * 2 Na,442,496,(in PBS),DY-431,"35,000"
47,565.43,Carboxylic acid,478-00,C27H32N3O3S * BF4,478,518,(in Ethanol),DY-478,"90,000"
48,662.50,NHS-ester,478-01,C31H35N4O5S * BF4,478,518,(in Ethanol),DY-478,"90,000"
49,592.62,Amino-derivative,478-02,C29H39N5O2S * 2 Cl,478,518,(in Ethanol),DY-478,"90,000"
50,687.55,Maleimide,478-03,C33H38N5O4S * BF4,478,518,(in Ethanol),DY-478,"90,000"
53,677.61,Carboxylic acid,490-00,C24H20N3O13S3 * Na,491,515,(in PBS),DY-490,"73,000"
54,1011.20,NHS-ester,490-01,C28H22N4O15S3 * 2 C8H20N,491,515,(in PBS),DY-490,"73,000"
55,925.78,Amino-derivative,490-02,C26H29N5O12S3 * 2 C2F3O2,491,515,(in PBS),DY-490,"73,000"
56,799.74,Maleimide,490-03,C30H26N5O14S3 * Na,491,515,(in PBS),DY-490,"73,000"
59,525.94,Carboxylic acid,495-00,C27H24NO8 * Cl,494,521,(in pH9-buffer),DY-495,"78,000"
60,623.02,NHS-ester,495-01,C31H27N2O10 * Cl,494,521,(in pH9-buffer),DY-495,"78,000"
61,604.49,Amino-derivative,495-02,C29H31N3O7 * 2 Cl,494,521,(in pH9-buffer),DY-495,"78,000"
