Wavelength (nm)	A01 abs1 N
220.00	0.047711
221.00	0.034752
222.00	0.031509
223.00	0.035567
224.00	0.041929
225.00	0.042399
226.00	0.045554
227.00	0.052380
228.00	0.068820
229.00	0.083467
230.00	0.083774
231.00	0.088754
232.00	0.10568
233.00	0.14099
234.00	0.16236
235.00	0.15723
236.00	0.15206
237.00	0.19688
238.00	0.27215
239.00	0.28692
240.00	0.26452
241.00	0.22811
242.00	0.28903
243.00	0.46686
244.00	0.48920
245.00	0.39201
246.00	0.32546
247.00	0.29112
248.00	0.56313
249.00	0.81073
250.00	0.63516
251.00	0.42539
252.00	0.33381
253.00	0.31522
254.00	0.70992
255.00	1.0000
256.00	0.70416
257.00	0.42740
258.00	0.28807
259.00	0.22584
260.00	0.43970
261.00	0.73973
262.00	0.52398
263.00	0.29275
264.00	0.16594
265.00	0.10154
266.00	0.060518
267.00	0.043495
268.00	0.050297
269.00	0.051814
270.00	0.033320
271.00	0.019020
272.00	0.011066
273.00	0.0069982
274.00	0.0052787
275.00	0.0043491
276.00	0.0036100
277.00	0.0033172
278.00	0.0027284
279.00	0.0024414
280.00	0.0020356
281.00	0.0020745
282.00	0.0018655
283.00	0.0016900
284.00	0.0018164
285.00	0.0016719
286.00	0.0017796
287.00	0.0017924
288.00	0.0017204
289.00	0.0017048
290.00	0.0016994
291.00	0.0016847
292.00	0.0017668
293.00	0.0019545
294.00	0.0017380
295.00	0.0020079
296.00	0.0022062
297.00	0.0020057
298.00	0.0023230
299.00	0.0021630
300.00	0.0024948
