Wavelength (nm)	A01 ems
260.00	0.036126
261.00	0.029244
262.00	0.033932
263.00	0.039207
264.00	0.041621
265.00	0.047518
266.00	0.055203
267.00	0.075251
268.00	0.12660
269.00	0.19878
270.00	0.28513
271.00	0.34401
272.00	0.37612
273.00	0.39315
274.00	0.43197
275.00	0.50310
276.00	0.62167
277.00	0.74388
278.00	0.83101
279.00	0.84776
280.00	0.81338
281.00	0.76084
282.00	0.73554
283.00	0.75481
284.00	0.83258
285.00	0.92380
286.00	0.99172
287.00	1.00000
288.00	0.97013
289.00	0.90815
290.00	0.86192
291.00	0.83358
292.00	0.83656
293.00	0.85565
294.00	0.85888
295.00	0.83034
296.00	0.77065
297.00	0.70300
298.00	0.63175
299.00	0.56577
300.00	0.51532
301.00	0.46638
302.00	0.43542
303.00	0.39995
304.00	0.37155
305.00	0.34525
306.00	0.31605
307.00	0.29074
308.00	0.26690
309.00	0.24475
310.00	0.22383
311.00	0.20431
312.00	0.18764
313.00	0.17200
314.00	0.15787
315.00	0.14280
316.00	0.13241
317.00	0.12059
318.00	0.10639
319.00	0.096978
320.00	0.089321
321.00	0.080282
322.00	0.075459
323.00	0.069926
324.00	0.064114
325.00	0.059023
326.00	0.057577
327.00	0.053821
328.00	0.051968
329.00	0.048734
330.00	0.046774
331.00	0.042689
332.00	0.039530
333.00	0.037445
334.00	0.034166
335.00	0.032503
336.00	0.029959
337.00	0.028111
338.00	0.026655
339.00	0.025172
340.00	0.023093
341.00	0.021816
342.00	0.021163
343.00	0.021052
344.00	0.020134
345.00	0.018570
346.00	0.019173
347.00	0.018561
348.00	0.017580
349.00	0.016841
350.00	0.015844
351.00	0.015473
352.00	0.015016
353.00	0.014173
354.00	0.014013
355.00	0.012672
356.00	0.012243
357.00	0.011597
358.00	0.011670
359.00	0.010809
360.00	0.011002
361.00	0.010260
362.00	0.010211
363.00	0.0098985
364.00	0.0092588
365.00	0.0092984
366.00	0.0088860
367.00	0.0086547
368.00	0.0083781
369.00	0.0079073
370.00	0.0076243
371.00	0.0071814
372.00	0.0069002
373.00	0.0067420
374.00	0.0059023
375.00	0.0057505
376.00	0.0056753
377.00	0.0057002
378.00	0.0057464
379.00	0.0052039
380.00	0.0051316
381.00	0.0045380
382.00	0.0047703
383.00	0.0044127
384.00	0.0047118
385.00	0.0044307
386.00	0.0039866
387.00	0.0036564
388.00	0.0034310
389.00	0.0032720
390.00	0.0032983
391.00	0.0031708
392.00	0.0032700
393.00	0.0031855
394.00	0.0028136
395.00	0.0026035
396.00	0.0025996
397.00	0.0024325
398.00	0.0024385
399.00	0.0025803
400.00	0.0021707
