Wavelength (nm)	A02 abs1 N
225.00	0.10341
225.25	0.093871
225.50	0.084581
225.75	0.078460
226.00	0.071238
226.25	0.069517
226.50	0.065471
226.75	0.060007
227.00	0.057020
227.25	0.058139
227.50	0.056022
227.75	0.053917
228.00	0.054300
228.25	0.054568
228.50	0.051636
228.75	0.054343
229.00	0.054757
229.25	0.055888
229.50	0.054824
229.75	0.057336
230.00	0.059356
230.25	0.061121
230.50	0.065574
230.75	0.066481
231.00	0.068707
231.25	0.070527
231.50	0.071689
231.75	0.077024
232.00	0.078959
232.25	0.078746
232.50	0.082707
232.75	0.083230
233.00	0.085043
233.25	0.088955
233.50	0.088986
233.75	0.092782
234.00	0.094954
234.25	0.097199
234.50	0.10021
234.75	0.10348
235.00	0.10758
235.25	0.11266
235.50	0.11816
235.75	0.12415
236.00	0.12896
236.25	0.13587
236.50	0.13997
236.75	0.14653
237.00	0.14979
237.25	0.15475
237.50	0.15788
237.75	0.16204
238.00	0.16524
238.25	0.16759
238.50	0.17122
238.75	0.17249
239.00	0.17769
239.25	0.18014
239.50	0.18227
239.75	0.18705
240.00	0.19353
240.25	0.19997
240.50	0.20705
240.75	0.21404
241.00	0.22242
241.25	0.23140
241.50	0.24143
241.75	0.25335
242.00	0.26450
242.25	0.27342
242.50	0.28387
242.75	0.29095
243.00	0.29524
243.25	0.30021
243.50	0.30319
243.75	0.30543
244.00	0.30827
244.25	0.31037
244.50	0.31351
244.75	0.31669
245.00	0.32081
245.25	0.32516
245.50	0.33120
245.75	0.33986
246.00	0.34782
246.25	0.36179
246.50	0.37316
246.75	0.38585
247.00	0.40176
247.25	0.42143
247.50	0.44204
247.75	0.46188
248.00	0.47686
248.25	0.48625
248.50	0.49732
248.75	0.50269
249.00	0.50393
249.25	0.50699
249.50	0.50602
249.75	0.50564
250.00	0.50658
250.25	0.50595
250.50	0.50632
250.75	0.51100
251.00	0.51631
251.25	0.52658
251.50	0.54014
251.75	0.55758
252.00	0.57797
252.25	0.59788
252.50	0.62006
252.75	0.64119
253.00	0.66280
253.25	0.68457
253.50	0.70548
253.75	0.71920
254.00	0.72437
254.25	0.72537
254.50	0.73141
254.75	0.73697
255.00	0.74077
255.25	0.74823
255.50	0.75290
255.75	0.75255
256.00	0.74940
256.25	0.73760
256.50	0.72691
256.75	0.71712
257.00	0.70749
257.25	0.69967
257.50	0.69983
257.75	0.70900
258.00	0.72878
258.25	0.75177
258.50	0.77384
258.75	0.79578
259.00	0.81162
259.25	0.82841
259.50	0.84898
259.75	0.86037
260.00	0.87130
