Wavelength (nm)	A04 abs1 N
230.00	0.21841
231.00	0.14238
232.00	0.10613
233.00	0.091262
234.00	0.088150
235.00	0.090833
236.00	0.096910
237.00	0.10622
238.00	0.11812
239.00	0.13227
240.00	0.14830
241.00	0.16511
242.00	0.18292
243.00	0.20444
244.00	0.22916
245.00	0.25767
246.00	0.28635
247.00	0.31548
248.00	0.34364
249.00	0.37200
250.00	0.40537
251.00	0.45586
252.00	0.49987
253.00	0.53166
254.00	0.55908
255.00	0.60209
256.00	0.66356
257.00	0.71746
258.00	0.74660
259.00	0.76312
260.00	0.76717
261.00	0.77711
262.00	0.84503
263.00	0.91542
264.00	0.95974
265.00	1.0000
266.00	0.94175
267.00	0.78782
268.00	0.74039
269.00	0.75145
270.00	0.63120
271.00	0.58226
272.00	0.79187
273.00	0.86808
274.00	0.59748
275.00	0.34342
276.00	0.18912
277.00	0.11153
278.00	0.072226
279.00	0.047294
280.00	0.030747
281.00	0.020612
282.00	0.014415
283.00	0.010540
284.00	0.0083850
285.00	0.0069911
286.00	0.0061557
287.00	0.0056993
288.00	0.0052645
289.00	0.0049649
290.00	0.0046693
291.00	0.0045753
292.00	0.0044833
293.00	0.0043114
294.00	0.0041711
295.00	0.0040550
296.00	0.0040083
297.00	0.0036584
298.00	0.0037001
299.00	0.0037906
300.00	0.0036685
