Wavelength (nm)	A04 ems
265.00	0.063174
266.00	0.061535
267.00	0.064100
268.00	0.077019
269.00	0.073748
270.00	0.10126
271.00	0.13130
272.00	0.19501
273.00	0.26621
274.00	0.33068
275.00	0.35312
276.00	0.40451
277.00	0.46993
278.00	0.57252
279.00	0.64394
280.00	0.71913
281.00	0.75264
282.00	0.77816
283.00	0.82615
284.00	0.86723
285.00	0.87429
286.00	0.94045
287.00	0.96392
288.00	0.96855
289.00	0.97727
290.00	1.0000
291.00	0.96503
292.00	0.96113
293.00	0.96867
294.00	0.96339
295.00	0.94257
296.00	0.90497
297.00	0.84691
298.00	0.77082
299.00	0.72129
300.00	0.68162
301.00	0.61593
302.00	0.56794
303.00	0.53003
304.00	0.48066
305.00	0.43844
306.00	0.41587
307.00	0.37490
308.00	0.34046
309.00	0.31161
310.00	0.28267
311.00	0.25807
312.00	0.23944
313.00	0.21265
314.00	0.19377
315.00	0.17685
316.00	0.16183
317.00	0.13933
318.00	0.13426
319.00	0.11269
320.00	0.10110
321.00	0.092853
322.00	0.084547
323.00	0.076528
324.00	0.070088
325.00	0.065532
326.00	0.058413
327.00	0.057393
328.00	0.050116
329.00	0.046034
330.00	0.039776
331.00	0.037772
332.00	0.034384
333.00	0.032249
334.00	0.029165
335.00	0.026257
336.00	0.026821
337.00	0.022750
338.00	0.019932
339.00	0.019572
340.00	0.016969
341.00	0.013585
342.00	0.012050
343.00	0.014193
344.00	0.011309
345.00	0.012346
346.00	0.0099142
347.00	0.010114
348.00	0.010718
349.00	0.010901
350.00	0.0078638
351.00	0.0075243
352.00	0.0081379
353.00	0.0059077
354.00	0.0075481
355.00	0.0050867
356.00	0.0066284
357.00	0.0065253
358.00	0.0037975
359.00	0.0083203
360.00	0.0054994
361.00	0.0047546
362.00	0.0052732
363.00	0.0050793
364.00	0.0030020
365.00	0.0042946
366.00	0.0046391
367.00	0.0045028
368.00	0.0032922
369.00	0.0041803
370.00	0.0030635
371.00	0.0043446
372.00	0.0028473
373.00	0.0026126
374.00	0.0032916
375.00	0.0018214
