Wavelength (nm)	A06 ems
270.00	0.036465
271.00	0.043165
272.00	0.051837
273.00	0.076267
274.00	0.097705
275.00	0.12864
276.00	0.17416
277.00	0.23131
278.00	0.30285
279.00	0.40396
280.00	0.50293
281.00	0.54939
282.00	0.59150
283.00	0.64358
284.00	0.71359
285.00	0.80276
286.00	0.88415
287.00	0.93751
288.00	0.96947
289.00	0.96902
290.00	1.0000
291.00	0.99715
292.00	0.99041
293.00	0.96627
294.00	0.97451
295.00	0.95883
296.00	0.93129
297.00	0.85345
298.00	0.82000
299.00	0.78306
300.00	0.73163
301.00	0.69202
302.00	0.63200
303.00	0.57724
304.00	0.53682
305.00	0.49680
306.00	0.43791
307.00	0.41186
308.00	0.37159
309.00	0.34809
310.00	0.31430
311.00	0.30294
312.00	0.27928
313.00	0.24499
314.00	0.21964
315.00	0.20590
316.00	0.17443
317.00	0.15938
318.00	0.14429
319.00	0.13129
320.00	0.11473
321.00	0.10874
322.00	0.10009
323.00	0.090623
324.00	0.080092
325.00	0.076159
326.00	0.067507
327.00	0.063474
328.00	0.055919
329.00	0.049407
330.00	0.046955
331.00	0.039737
332.00	0.036920
333.00	0.031724
334.00	0.028723
335.00	0.027710
336.00	0.022705
337.00	0.023057
338.00	0.017670
339.00	0.017799
340.00	0.016518
341.00	0.014695
342.00	0.013854
343.00	0.011438
344.00	0.011963
345.00	0.010251
346.00	0.010119
347.00	0.0075857
348.00	0.0081955
349.00	0.0060086
350.00	0.0057629
