Wavelength (nm)	A07 abs1 N
235.00	0.13503
236.00	0.095742
237.00	0.076214
238.00	0.068187
239.00	0.066843
240.00	0.070101
241.00	0.075920
242.00	0.082605
243.00	0.091304
244.00	0.10220
245.00	0.11359
246.00	0.12579
247.00	0.14101
248.00	0.15980
249.00	0.17855
250.00	0.19791
251.00	0.22179
252.00	0.24721
253.00	0.27060
254.00	0.29485
255.00	0.32618
256.00	0.36116
257.00	0.39224
258.00	0.42753
259.00	0.47700
260.00	0.52987
261.00	0.56619
262.00	0.59264
263.00	0.63081
264.00	0.67740
265.00	0.71062
266.00	0.73579
267.00	0.79434
268.00	0.88927
269.00	0.96001
270.00	0.95801
271.00	0.92041
272.00	0.89973
273.00	0.89543
274.00	0.87146
275.00	0.83419
276.00	0.84511
277.00	0.92597
278.00	1.0000
279.00	0.96227
280.00	0.79505
281.00	0.57327
282.00	0.37238
283.00	0.22707
284.00	0.13594
285.00	0.082087
286.00	0.050391
287.00	0.031446
288.00	0.020187
289.00	0.013297
290.00	0.0091083
291.00	0.0065616
292.00	0.0049118
293.00	0.0037266
294.00	0.0031248
295.00	0.0026882
296.00	0.0022981
297.00	0.0019006
298.00	0.0016746
299.00	0.0017026
300.00	0.0015822
