Wavelength (nm)	A08 abs1 N
240.00	0.14831
241.00	0.13281
242.00	0.13003
243.00	0.13474
244.00	0.14238
245.00	0.15298
246.00	0.16986
247.00	0.19050
248.00	0.21081
249.00	0.23341
250.00	0.26260
251.00	0.29244
252.00	0.31682
253.00	0.34314
254.00	0.37918
255.00	0.41653
256.00	0.45030
257.00	0.49095
258.00	0.54383
259.00	0.59364
260.00	0.63036
261.00	0.66462
262.00	0.70261
263.00	0.73511
264.00	0.75089
265.00	0.78476
266.00	0.84872
267.00	0.90758
268.00	0.93547
269.00	0.96202
270.00	0.99422
271.00	1.00000
272.00	0.95384
273.00	0.86598
274.00	0.81367
275.00	0.83815
276.00	0.86528
277.00	0.82325
278.00	0.77693
279.00	0.78587
280.00	0.76177
281.00	0.63341
282.00	0.46095
283.00	0.31388
284.00	0.20815
285.00	0.13548
286.00	0.086227
287.00	0.053753
288.00	0.033447
289.00	0.020971
290.00	0.013591
291.00	0.0090116
292.00	0.0059042
293.00	0.0040421
294.00	0.0028493
295.00	0.0019557
296.00	0.0014233
297.00	0.00094256
298.00	0.00067413
299.00	0.00053370
300.00	0.00061506
