Wavelength (nm)	A11 ems
272.00	0.018372
273.00	0.021371
274.00	0.026848
275.00	0.040880
276.00	0.078034
277.00	0.14223
278.00	0.22807
279.00	0.30799
280.00	0.37046
281.00	0.40280
282.00	0.44269
283.00	0.49136
284.00	0.56932
285.00	0.66740
286.00	0.75887
287.00	0.83987
288.00	0.88977
289.00	0.90927
290.00	0.91066
291.00	0.92539
292.00	0.94751
293.00	0.97672
294.00	0.99488
295.00	1.0000
296.00	0.96033
297.00	0.92245
298.00	0.86268
299.00	0.80315
300.00	0.74196
301.00	0.67673
302.00	0.62125
303.00	0.57355
304.00	0.52208
305.00	0.48389
306.00	0.43700
307.00	0.39371
308.00	0.36668
309.00	0.33529
310.00	0.31307
311.00	0.28476
312.00	0.26328
313.00	0.24211
314.00	0.22687
315.00	0.21273
316.00	0.19551
317.00	0.18152
318.00	0.16633
319.00	0.15639
320.00	0.14371
321.00	0.13052
322.00	0.12313
323.00	0.11299
324.00	0.10769
325.00	0.098541
326.00	0.091399
327.00	0.086187
328.00	0.079203
329.00	0.071836
330.00	0.065634
331.00	0.060789
332.00	0.056610
333.00	0.053152
334.00	0.047406
335.00	0.043530
336.00	0.040964
337.00	0.036731
338.00	0.034884
339.00	0.031159
340.00	0.028056
341.00	0.025890
342.00	0.024861
343.00	0.022535
344.00	0.021355
345.00	0.019216
346.00	0.018036
347.00	0.016560
348.00	0.015874
349.00	0.014091
350.00	0.013309
351.00	0.012924
352.00	0.011758
353.00	0.010851
354.00	0.010103
355.00	0.0096348
356.00	0.0080489
357.00	0.0079260
358.00	0.0076531
359.00	0.0070876
360.00	0.0068050
361.00	0.0061784
362.00	0.0061596
363.00	0.0059470
364.00	0.0054456
365.00	0.0051568
366.00	0.0044098
367.00	0.0046606
368.00	0.0045737
369.00	0.0039598
370.00	0.0037183
371.00	0.0040863
372.00	0.0038031
373.00	0.0036013
374.00	0.0029665
375.00	0.0031938
