Wavelength (nm)	A13 abs N
210.00	0.32852
211.00	0.27132
212.00	0.22069
213.00	0.19081
214.00	0.17271
215.00	0.16371
216.00	0.16280
217.00	0.16701
218.00	0.17609
219.00	0.18837
220.00	0.20412
221.00	0.22407
222.00	0.24869
223.00	0.27739
224.00	0.31000
225.00	0.34651
226.00	0.38605
227.00	0.42781
228.00	0.47284
229.00	0.51830
230.00	0.56499
231.00	0.61358
232.00	0.66300
233.00	0.71333
234.00	0.76013
235.00	0.80448
236.00	0.84284
237.00	0.87731
238.00	0.90932
239.00	0.94028
240.00	0.97215
241.00	0.99535
242.00	1.0000
243.00	0.98307
244.00	0.94506
245.00	0.89712
246.00	0.85493
247.00	0.83249
248.00	0.82972
249.00	0.82168
250.00	0.77485
251.00	0.67301
252.00	0.53467
253.00	0.39051
254.00	0.27003
255.00	0.18309
256.00	0.12706
257.00	0.093736
258.00	0.074355
259.00	0.063592
260.00	0.058041
261.00	0.055561
262.00	0.054695
263.00	0.054992
264.00	0.055893
265.00	0.057554
266.00	0.059733
267.00	0.062133
268.00	0.064619
269.00	0.066969
270.00	0.069494
271.00	0.071919
272.00	0.073761
273.00	0.075225
274.00	0.076513
275.00	0.078160
276.00	0.079942
277.00	0.082385
278.00	0.085404
279.00	0.086960
280.00	0.086613
281.00	0.085484
282.00	0.082060
283.00	0.074704
284.00	0.067808
285.00	0.065459
286.00	0.065968
287.00	0.065657
288.00	0.067731
289.00	0.071365
290.00	0.065501
291.00	0.049718
292.00	0.033687
293.00	0.022425
294.00	0.015271
295.00	0.010615
296.00	0.0077962
297.00	0.0061057
298.00	0.0050615
299.00	0.0043281
300.00	0.0040315
