Wavelength (nm)	A14 abs N
205.00	0.42742
206.00	0.39287
207.00	0.37769
208.00	0.37058
209.00	0.36988
210.00	0.37232
211.00	0.38414
212.00	0.40421
213.00	0.43233
214.00	0.46929
215.00	0.51305
216.00	0.56311
217.00	0.61553
218.00	0.67144
219.00	0.72707
220.00	0.78263
221.00	0.83487
222.00	0.88246
223.00	0.92221
224.00	0.95596
225.00	0.97960
226.00	0.99503
227.00	1.0000
228.00	0.99470
229.00	0.97838
230.00	0.94791
231.00	0.90624
232.00	0.85911
233.00	0.80911
234.00	0.75783
235.00	0.69875
236.00	0.63187
237.00	0.55458
238.00	0.47260
239.00	0.39315
240.00	0.31808
241.00	0.25376
242.00	0.20273
243.00	0.16275
244.00	0.13282
245.00	0.11167
246.00	0.096229
247.00	0.085065
248.00	0.077186
249.00	0.071341
250.00	0.066988
251.00	0.063914
252.00	0.061639
253.00	0.059773
254.00	0.058741
255.00	0.058433
256.00	0.058077
257.00	0.058241
258.00	0.058542
259.00	0.058700
260.00	0.059545
261.00	0.060504
262.00	0.062108
263.00	0.064504
264.00	0.066416
265.00	0.067883
266.00	0.068734
267.00	0.069591
268.00	0.070850
269.00	0.072797
270.00	0.075473
271.00	0.078218
272.00	0.079378
273.00	0.078226
274.00	0.074674
275.00	0.070012
276.00	0.065694
277.00	0.063437
278.00	0.063276
279.00	0.063846
280.00	0.062862
281.00	0.058303
282.00	0.050599
283.00	0.040987
284.00	0.031030
285.00	0.022438
286.00	0.015927
287.00	0.011398
288.00	0.0085891
289.00	0.0067114
290.00	0.0054758
291.00	0.0048870
292.00	0.0042007
293.00	0.0040470
294.00	0.0039069
295.00	0.0037415
296.00	0.0034302
297.00	0.0034260
298.00	0.0033654
299.00	0.0033133
300.00	0.0034771
