Wavelength (nm)	A16 ems
292.00	0.037519
293.00	0.043619
294.00	0.060986
295.00	0.086174
296.00	0.12199
297.00	0.17429
298.00	0.23979
299.00	0.33398
300.00	0.41591
301.00	0.49950
302.00	0.57928
303.00	0.66413
304.00	0.74138
305.00	0.78966
306.00	0.82137
307.00	0.86215
308.00	0.90171
309.00	0.93157
310.00	0.96815
311.00	0.98926
312.00	0.98681
313.00	1.0000
314.00	0.99756
315.00	0.97350
316.00	0.94424
317.00	0.91260
318.00	0.88153
319.00	0.84201
320.00	0.80858
321.00	0.79228
322.00	0.77167
323.00	0.74194
324.00	0.71494
325.00	0.69219
326.00	0.65674
327.00	0.63683
328.00	0.59990
329.00	0.56954
330.00	0.54101
331.00	0.51288
332.00	0.48892
333.00	0.45731
334.00	0.43569
335.00	0.41001
336.00	0.38886
337.00	0.35746
338.00	0.33834
339.00	0.31425
340.00	0.29253
341.00	0.27387
342.00	0.25755
343.00	0.24023
344.00	0.22688
345.00	0.21081
346.00	0.19595
347.00	0.18225
348.00	0.17458
349.00	0.16382
350.00	0.15206
351.00	0.14249
352.00	0.12981
353.00	0.12222
354.00	0.11390
355.00	0.10696
356.00	0.098549
357.00	0.091849
358.00	0.086265
359.00	0.078582
360.00	0.075973
361.00	0.069307
362.00	0.065557
363.00	0.059745
364.00	0.054728
365.00	0.051469
366.00	0.047485
367.00	0.043665
368.00	0.040913
369.00	0.038925
370.00	0.035792
371.00	0.032864
372.00	0.031543
373.00	0.029084
374.00	0.026423
375.00	0.024701
376.00	0.023009
377.00	0.020558
378.00	0.020172
379.00	0.018748
380.00	0.017166
381.00	0.016137
382.00	0.015116
383.00	0.014137
384.00	0.013737
385.00	0.012290
386.00	0.011830
387.00	0.011068
388.00	0.010468
389.00	0.0088970
390.00	0.0091437
391.00	0.0084563
392.00	0.0078080
393.00	0.0077869
394.00	0.0072690
395.00	0.0072276
396.00	0.0065388
397.00	0.0064396
398.00	0.0061545
399.00	0.0057350
400.00	0.0050306
