Wavelength (nm)	A17 abs N
222.00	0.20962
223.00	0.20572
224.00	0.20559
225.00	0.20850
226.00	0.21401
227.00	0.22242
228.00	0.23361
229.00	0.24759
230.00	0.26450
231.00	0.28420
232.00	0.30703
233.00	0.33338
234.00	0.36289
235.00	0.39628
236.00	0.43191
237.00	0.47114
238.00	0.51321
239.00	0.55705
240.00	0.60317
241.00	0.65083
242.00	0.69814
243.00	0.74623
244.00	0.79317
245.00	0.83771
246.00	0.87965
247.00	0.91770
248.00	0.95100
249.00	0.97632
250.00	0.99364
251.00	1.00000
252.00	0.99700
253.00	0.98585
254.00	0.96578
255.00	0.93337
256.00	0.89177
257.00	0.84240
258.00	0.78498
259.00	0.72262
260.00	0.65532
261.00	0.58488
262.00	0.51630
263.00	0.44704
264.00	0.38144
265.00	0.32166
266.00	0.26851
267.00	0.22250
268.00	0.18424
269.00	0.15274
270.00	0.12819
271.00	0.10988
272.00	0.096254
273.00	0.086852
274.00	0.080675
275.00	0.077051
276.00	0.075696
277.00	0.075762
278.00	0.076942
279.00	0.079135
280.00	0.082227
281.00	0.086091
282.00	0.090297
283.00	0.094654
284.00	0.099326
285.00	0.10444
286.00	0.10914
287.00	0.11428
288.00	0.11927
289.00	0.12410
290.00	0.12918
291.00	0.13367
292.00	0.13742
293.00	0.14074
294.00	0.14382
295.00	0.14618
296.00	0.14823
297.00	0.15008
298.00	0.15115
299.00	0.15099
300.00	0.14985
301.00	0.14833
302.00	0.14573
303.00	0.14221
304.00	0.13690
305.00	0.12961
306.00	0.12159
307.00	0.11340
308.00	0.10564
309.00	0.10006
310.00	0.095747
311.00	0.090901
312.00	0.082668
313.00	0.071522
314.00	0.059146
315.00	0.046726
316.00	0.035927
317.00	0.026681
318.00	0.019310
319.00	0.013492
320.00	0.0098470
321.00	0.0071129
322.00	0.0051746
323.00	0.0039164
324.00	0.0032682
325.00	0.0025815
326.00	0.0020839
327.00	0.0021710
328.00	0.0018739
329.00	0.0016898
330.00	0.0016033
331.00	0.0016325
332.00	0.0012842
333.00	0.0013366
334.00	0.0014396
335.00	0.0013840
336.00	0.0015471
337.00	0.0014302
338.00	0.0013520
339.00	0.0013685
340.00	0.0012754
341.00	0.0014424
342.00	0.0013647
343.00	0.0013167
344.00	0.0014639
345.00	0.0014220
346.00	0.0015201
347.00	0.0011977
348.00	0.0012572
349.00	0.0014418
350.00	0.0013178
