Wavelength (nm)	A18 abs N
210.00	0.63757
211.00	0.57354
212.00	0.53269
213.00	0.50942
214.00	0.50038
215.00	0.50181
216.00	0.51319
217.00	0.53196
218.00	0.55733
219.00	0.58829
220.00	0.62341
221.00	0.66160
222.00	0.70242
223.00	0.74386
224.00	0.78565
225.00	0.82681
226.00	0.86570
227.00	0.90181
228.00	0.93336
229.00	0.95889
230.00	0.97906
231.00	0.99306
232.00	1.0000
233.00	0.99922
234.00	0.99096
235.00	0.97426
236.00	0.95065
237.00	0.91892
238.00	0.88092
239.00	0.83833
240.00	0.78989
241.00	0.73847
242.00	0.68554
243.00	0.63062
244.00	0.57555
245.00	0.52256
246.00	0.47067
247.00	0.42129
248.00	0.37554
249.00	0.33404
250.00	0.29563
251.00	0.26148
252.00	0.23170
253.00	0.20570
254.00	0.18320
255.00	0.16439
256.00	0.14878
257.00	0.13681
258.00	0.12691
259.00	0.11952
260.00	0.11427
261.00	0.11103
262.00	0.10908
263.00	0.10880
264.00	0.10966
265.00	0.11145
266.00	0.11406
267.00	0.11732
268.00	0.12122
269.00	0.12537
270.00	0.12965
271.00	0.13384
272.00	0.13806
273.00	0.14244
274.00	0.14619
275.00	0.14925
276.00	0.15187
277.00	0.15383
278.00	0.15512
279.00	0.15555
280.00	0.15504
281.00	0.15352
282.00	0.15112
283.00	0.14748
284.00	0.14316
285.00	0.13792
286.00	0.13182
287.00	0.12492
288.00	0.11762
289.00	0.10993
290.00	0.10214
291.00	0.094527
292.00	0.086760
293.00	0.079626
294.00	0.072709
295.00	0.066327
296.00	0.060220
297.00	0.054385
298.00	0.048985
299.00	0.044123
300.00	0.039768
301.00	0.035666
302.00	0.031920
303.00	0.028471
304.00	0.025401
305.00	0.022492
306.00	0.020028
307.00	0.017621
308.00	0.015625
309.00	0.013837
310.00	0.012269
311.00	0.010705
312.00	0.0093484
313.00	0.0084202
314.00	0.0073514
315.00	0.0060595
316.00	0.0056262
317.00	0.0051009
318.00	0.0044598
319.00	0.0039975
320.00	0.0036546
321.00	0.0032578
322.00	0.0026457
323.00	0.0025492
324.00	0.0024897
325.00	0.0023790
326.00	0.0022058
327.00	0.0021189
328.00	0.0022652
329.00	0.0019406
330.00	0.0017765
331.00	0.0018491
332.00	0.0016663
333.00	0.0016276
334.00	0.0013731
335.00	0.0014773
336.00	0.0015941
337.00	0.0015184
338.00	0.0013752
339.00	0.0014636
340.00	0.0015347
341.00	0.0015235
342.00	0.0013066
343.00	0.0012182
344.00	0.0012532
345.00	0.0012847
346.00	0.0013330
347.00	0.0010709
348.00	0.0011882
349.00	0.00097943
350.00	0.0010124
