Wavelength (nm)	A19 ems
265.00	0.16634
266.00	0.14709
267.00	0.14508
268.00	0.099755
269.00	0.11145
270.00	0.14390
271.00	0.22061
272.00	0.19694
273.00	0.33070
274.00	0.41307
275.00	0.45961
276.00	0.45646
277.00	0.46493
278.00	0.50205
279.00	0.50189
280.00	0.53401
281.00	0.56953
282.00	0.57545
283.00	0.60534
284.00	0.64034
285.00	0.80888
286.00	0.77174
287.00	0.84065
288.00	0.87130
289.00	0.97006
290.00	0.90385
291.00	0.89181
292.00	0.82913
293.00	0.85923
294.00	0.92637
295.00	1.0000
296.00	0.92069
297.00	0.90334
298.00	0.79129
299.00	0.74466
300.00	0.70339
301.00	0.66828
302.00	0.63195
303.00	0.55481
304.00	0.55708
305.00	0.47579
306.00	0.48239
307.00	0.47182
308.00	0.41821
309.00	0.43751
310.00	0.34571
311.00	0.36384
312.00	0.33261
313.00	0.29336
314.00	0.27614
315.00	0.28221
316.00	0.26762
317.00	0.20844
318.00	0.20873
319.00	0.16897
320.00	0.13882
321.00	0.12537
322.00	0.12819
323.00	0.11632
324.00	0.11991
325.00	0.10743
326.00	0.094417
327.00	0.088145
328.00	0.054039
329.00	0.056587
330.00	0.046522
331.00	0.085437
332.00	0.062728
333.00	0.065254
334.00	0.058693
335.00	0.062995
336.00	0.043463
337.00	0.021349
338.00	0.027807
339.00	0.017732
340.00	0.038187
341.00	0.048746
342.00	0.026755
343.00	0.017777
344.00	0.018886
345.00	0.016070
346.00	0.015532
347.00	0.027885
348.00	0.026890
349.00	0.026978
350.00	0.023623
