Wavelength (nm)	A20 abs N
210.00	0.50216
211.00	0.44939
212.00	0.41903
213.00	0.40344
214.00	0.40045
215.00	0.40691
216.00	0.42515
217.00	0.45062
218.00	0.48065
219.00	0.51378
220.00	0.55386
221.00	0.60408
222.00	0.66585
223.00	0.72568
224.00	0.77245
225.00	0.81213
226.00	0.86492
227.00	0.93867
228.00	1.0000
229.00	0.98922
230.00	0.92235
231.00	0.87940
232.00	0.89899
233.00	0.94301
234.00	0.90147
235.00	0.72332
236.00	0.49407
237.00	0.30278
238.00	0.18092
239.00	0.11494
240.00	0.080680
241.00	0.063365
242.00	0.054136
243.00	0.048949
244.00	0.046785
245.00	0.046402
246.00	0.046785
247.00	0.047357
248.00	0.047770
249.00	0.048111
250.00	0.049290
251.00	0.051360
252.00	0.052223
253.00	0.052519
254.00	0.052249
255.00	0.052065
256.00	0.052508
257.00	0.054175
258.00	0.054270
259.00	0.052792
260.00	0.050386
261.00	0.048334
262.00	0.046977
263.00	0.046347
264.00	0.046216
265.00	0.044411
266.00	0.041730
267.00	0.039149
268.00	0.036879
269.00	0.034469
270.00	0.032329
271.00	0.030741
272.00	0.028668
273.00	0.025792
274.00	0.023607
275.00	0.022075
276.00	0.020291
277.00	0.018373
278.00	0.016532
279.00	0.014473
280.00	0.012558
281.00	0.011037
282.00	0.0097629
283.00	0.0086288
284.00	0.0075882
285.00	0.0066985
286.00	0.0057084
287.00	0.0050004
288.00	0.0043895
289.00	0.0037189
290.00	0.0032990
291.00	0.0026604
292.00	0.0023123
293.00	0.0019200
294.00	0.0015743
295.00	0.0013227
296.00	0.0012465
297.00	0.00090374
298.00	0.00063318
299.00	0.00065500
300.00	0.00057208
