Wavelength (nm)	A21 abs N
220.00	0.42152
221.00	0.37681
222.00	0.34387
223.00	0.32215
224.00	0.31007
225.00	0.30593
226.00	0.30899
227.00	0.31735
228.00	0.32978
229.00	0.34512
230.00	0.36176
231.00	0.37996
232.00	0.39894
233.00	0.41853
234.00	0.43894
235.00	0.46142
236.00	0.48484
237.00	0.50970
238.00	0.53570
239.00	0.56140
240.00	0.58835
241.00	0.61687
242.00	0.64527
243.00	0.67497
244.00	0.70551
245.00	0.73569
246.00	0.76585
247.00	0.79578
248.00	0.82488
249.00	0.85167
250.00	0.87833
251.00	0.90246
252.00	0.92491
253.00	0.94461
254.00	0.96167
255.00	0.97594
256.00	0.98691
257.00	0.99499
258.00	1.0000
259.00	0.99901
260.00	0.99526
261.00	0.98919
262.00	0.97726
263.00	0.96416
264.00	0.94728
265.00	0.92590
266.00	0.90255
267.00	0.87713
268.00	0.84962
269.00	0.81967
270.00	0.78775
271.00	0.75755
272.00	0.72321
273.00	0.68959
274.00	0.65558
275.00	0.62152
276.00	0.58793
277.00	0.55486
278.00	0.52331
279.00	0.49322
280.00	0.46474
281.00	0.43817
282.00	0.41266
283.00	0.38894
284.00	0.36604
285.00	0.34404
286.00	0.32360
287.00	0.30468
288.00	0.28704
289.00	0.27003
290.00	0.25371
291.00	0.23795
292.00	0.22303
293.00	0.20924
294.00	0.19612
295.00	0.18340
296.00	0.17073
297.00	0.15876
298.00	0.14759
299.00	0.13777
300.00	0.12842
301.00	0.11956
302.00	0.11065
303.00	0.10228
304.00	0.094556
305.00	0.087616
306.00	0.081482
307.00	0.075789
308.00	0.070057
309.00	0.064414
310.00	0.059109
311.00	0.054591
312.00	0.051118
313.00	0.047948
314.00	0.045200
315.00	0.042495
316.00	0.040221
317.00	0.038148
318.00	0.036614
319.00	0.034912
320.00	0.033511
321.00	0.032546
322.00	0.031459
323.00	0.030710
324.00	0.030189
325.00	0.029545
326.00	0.029161
327.00	0.028761
328.00	0.028091
329.00	0.027541
330.00	0.027270
331.00	0.026859
332.00	0.026611
333.00	0.026113
334.00	0.025596
335.00	0.025230
336.00	0.024892
337.00	0.024403
338.00	0.024236
339.00	0.023825
340.00	0.023409
341.00	0.023014
342.00	0.022678
343.00	0.022304
344.00	0.021680
345.00	0.021431
346.00	0.020819
347.00	0.020628
348.00	0.019992
349.00	0.019447
350.00	0.019085
351.00	0.018592
352.00	0.018190
353.00	0.017572
354.00	0.017175
355.00	0.016798
356.00	0.016138
357.00	0.015704
358.00	0.015201
359.00	0.014527
360.00	0.014206
361.00	0.013770
362.00	0.013521
363.00	0.012802
364.00	0.012260
365.00	0.011785
366.00	0.011338
367.00	0.011024
368.00	0.010733
369.00	0.010187
370.00	0.0098600
371.00	0.0094896
372.00	0.0089981
373.00	0.0084096
374.00	0.0079940
375.00	0.0078312
376.00	0.0073356
377.00	0.0070839
378.00	0.0069768
379.00	0.0065325
380.00	0.0061260
381.00	0.0058325
382.00	0.0056093
383.00	0.0055174
384.00	0.0048751
385.00	0.0048424
386.00	0.0046570
387.00	0.0042052
388.00	0.0036403
389.00	0.0038333
390.00	0.0035730
391.00	0.0033734
392.00	0.0035217
393.00	0.0029251
394.00	0.0027337
395.00	0.0026894
396.00	0.0028548
397.00	0.0022763
398.00	0.0022949
399.00	0.0021130
400.00	0.0021035
