Wavelength (nm)	A22 abs N
220.00	0.27445
221.00	0.26888
222.00	0.27703
223.00	0.29339
224.00	0.31608
225.00	0.34261
226.00	0.37285
227.00	0.40567
228.00	0.44081
229.00	0.47784
230.00	0.51807
231.00	0.55993
232.00	0.60246
233.00	0.64570
234.00	0.68688
235.00	0.72656
236.00	0.76567
237.00	0.80418
238.00	0.84347
239.00	0.88073
240.00	0.91772
241.00	0.94918
242.00	0.97056
243.00	0.98350
244.00	0.98957
245.00	0.99165
246.00	0.99155
247.00	0.99444
248.00	1.00000
249.00	0.99993
250.00	0.98521
251.00	0.95273
252.00	0.90499
253.00	0.84497
254.00	0.78026
255.00	0.71961
256.00	0.67225
257.00	0.63659
258.00	0.61007
259.00	0.58208
260.00	0.53794
261.00	0.47520
262.00	0.39962
263.00	0.31759
264.00	0.24167
265.00	0.17911
266.00	0.13351
267.00	0.10386
268.00	0.083655
269.00	0.069674
270.00	0.061780
271.00	0.058700
272.00	0.058418
273.00	0.059188
274.00	0.058937
275.00	0.056534
276.00	0.052549
277.00	0.048003
278.00	0.045928
279.00	0.047164
280.00	0.051104
281.00	0.054811
282.00	0.056223
283.00	0.053886
284.00	0.046119
285.00	0.036797
286.00	0.029878
287.00	0.026527
288.00	0.025933
289.00	0.028290
290.00	0.036768
291.00	0.041663
292.00	0.033160
293.00	0.020913
294.00	0.012168
295.00	0.0074470
296.00	0.0052981
297.00	0.0040294
298.00	0.0032775
299.00	0.0029597
300.00	0.0025725
301.00	0.0026201
302.00	0.0023687
303.00	0.0022473
304.00	0.0022221
305.00	0.0020473
306.00	0.0020735
307.00	0.0020428
308.00	0.0020344
309.00	0.0020515
310.00	0.0017717
311.00	0.0017336
312.00	0.0017109
313.00	0.0017361
314.00	0.0018791
315.00	0.0019270
316.00	0.0016854
317.00	0.0017920
318.00	0.0018326
319.00	0.0017721
320.00	0.0016521
321.00	0.0019088
322.00	0.0017574
323.00	0.0016542
324.00	0.0017280
325.00	0.0016875
326.00	0.0014682
327.00	0.0015518
328.00	0.0017042
329.00	0.0016577
330.00	0.0014182
331.00	0.0013612
332.00	0.0015032
333.00	0.0014944
334.00	0.0015248
335.00	0.0015056
336.00	0.0016752
337.00	0.0016427
338.00	0.0014832
339.00	0.0015888
340.00	0.0015724
341.00	0.0014825
342.00	0.0014864
343.00	0.0015965
344.00	0.0014374
345.00	0.0013906
346.00	0.0014577
347.00	0.0015021
348.00	0.0013899
349.00	0.0014486
350.00	0.0013084
