Wavelength (nm)	A22 ems
260.00	0.021045
261.00	0.027106
262.00	0.028288
263.00	0.025501
264.00	0.029804
265.00	0.037114
266.00	0.037224
267.00	0.038478
268.00	0.037403
269.00	0.032522
270.00	0.028723
271.00	0.034673
272.00	0.026138
273.00	0.032902
274.00	0.024839
275.00	0.028804
276.00	0.027723
277.00	0.040381
278.00	0.041815
279.00	0.029453
280.00	0.029730
281.00	0.041056
282.00	0.034064
283.00	0.038371
284.00	0.045459
285.00	0.052560
286.00	0.073041
287.00	0.092903
288.00	0.15948
289.00	0.30126
290.00	0.51025
291.00	0.71250
292.00	0.87433
293.00	0.91800
294.00	0.88786
295.00	0.82262
296.00	0.77808
297.00	0.77997
298.00	0.81636
299.00	0.86490
300.00	0.93170
301.00	0.99922
302.00	1.00000
303.00	0.98875
304.00	0.97519
305.00	0.97398
306.00	0.96945
307.00	0.94743
308.00	0.88968
309.00	0.82108
310.00	0.79617
311.00	0.74430
312.00	0.68699
313.00	0.67368
314.00	0.64666
315.00	0.63069
316.00	0.59608
317.00	0.56972
318.00	0.53096
319.00	0.49557
320.00	0.44950
321.00	0.42155
322.00	0.39864
323.00	0.37737
324.00	0.34339
325.00	0.32155
326.00	0.30938
327.00	0.28886
328.00	0.27198
329.00	0.25404
330.00	0.24247
331.00	0.21763
332.00	0.20404
333.00	0.19392
334.00	0.18296
335.00	0.16673
336.00	0.15949
337.00	0.14348
338.00	0.13640
339.00	0.12663
340.00	0.11134
341.00	0.10321
342.00	0.096946
343.00	0.091720
344.00	0.084984
345.00	0.078150
346.00	0.068708
347.00	0.066853
348.00	0.064234
349.00	0.058994
350.00	0.052598
351.00	0.048052
352.00	0.046537
353.00	0.042656
354.00	0.037382
355.00	0.036500
356.00	0.032820
357.00	0.030971
358.00	0.030420
359.00	0.026942
360.00	0.024597
361.00	0.021793
362.00	0.020366
363.00	0.017972
364.00	0.019984
365.00	0.013780
366.00	0.017075
367.00	0.014665
368.00	0.013261
369.00	0.011648
370.00	0.011196
371.00	0.010241
372.00	0.0090523
373.00	0.0095701
374.00	0.0080234
375.00	0.0056209
376.00	0.0057564
377.00	0.0057174
378.00	0.0061497
379.00	0.0058733
380.00	0.0036488
381.00	0.0051322
382.00	0.0042481
383.00	0.0033498
384.00	0.0035849
385.00	0.0028207
386.00	0.0021038
387.00	0.0024021
388.00	0.0029849
389.00	0.0025614
390.00	0.0011439
391.00	0.0020082
392.00	0.00074604
393.00	0.0016044
394.00	0.00075416
395.00	0.0013857
396.00	0.00034443
397.00	0.0010510
398.00	0.0011413
399.00	0.0011522
400.00	0.0020799
