Wavelength (nm)	A24 abs N
240.00	0.34045
241.00	0.30931
242.00	0.30369
243.00	0.30807
244.00	0.32330
245.00	0.34682
246.00	0.37733
247.00	0.41152
248.00	0.44374
249.00	0.47352
250.00	0.49945
251.00	0.52097
252.00	0.54245
253.00	0.56799
254.00	0.59958
255.00	0.62893
256.00	0.65750
257.00	0.69886
258.00	0.75802
259.00	0.83394
260.00	0.89395
261.00	0.91155
262.00	0.90103
263.00	0.87640
264.00	0.84322
265.00	0.81528
266.00	0.78432
267.00	0.76066
268.00	0.74815
269.00	0.73773
270.00	0.74407
271.00	0.78178
272.00	0.85624
273.00	0.95237
274.00	1.0000
275.00	0.92544
276.00	0.74459
277.00	0.53061
278.00	0.34766
279.00	0.22740
280.00	0.15809
281.00	0.11954
282.00	0.10164
283.00	0.088285
284.00	0.074078
285.00	0.063621
286.00	0.054492
287.00	0.044082
288.00	0.036551
289.00	0.034331
290.00	0.034950
291.00	0.039129
292.00	0.042891
293.00	0.038404
294.00	0.030619
295.00	0.026669
296.00	0.025695
297.00	0.023705
298.00	0.019507
299.00	0.016267
300.00	0.014437
301.00	0.013377
302.00	0.012727
303.00	0.012030
304.00	0.011788
305.00	0.011419
306.00	0.011627
307.00	0.011938
308.00	0.012281
309.00	0.012634
310.00	0.012961
311.00	0.013194
312.00	0.012989
313.00	0.012263
314.00	0.011741
315.00	0.011339
316.00	0.010983
317.00	0.010585
318.00	0.010560
319.00	0.010354
320.00	0.010458
321.00	0.010414
322.00	0.010264
323.00	0.010070
324.00	0.0094663
325.00	0.0095670
326.00	0.0095032
327.00	0.0098299
328.00	0.010312
329.00	0.010728
330.00	0.011313
331.00	0.012084
332.00	0.012515
333.00	0.012083
334.00	0.011113
335.00	0.0099830
336.00	0.0083818
337.00	0.0066403
338.00	0.0052942
339.00	0.0043461
340.00	0.0038140
341.00	0.0033782
342.00	0.0033685
343.00	0.0031565
344.00	0.0031244
345.00	0.0031033
346.00	0.0030571
347.00	0.0032832
348.00	0.0032022
349.00	0.0029868
350.00	0.0030848
351.00	0.0033236
352.00	0.0035892
353.00	0.0036306
354.00	0.0038575
355.00	0.0037634
356.00	0.0033641
357.00	0.0029951
358.00	0.0028056
359.00	0.0023812
360.00	0.0020874
361.00	0.0019599
362.00	0.0017743
363.00	0.0014836
364.00	0.0015355
365.00	0.0011274
366.00	0.0011503
367.00	0.0011252
368.00	0.0010993
369.00	0.0010945
370.00	0.00083939
371.00	0.00062083
372.00	0.0012875
373.00	0.00048010
374.00	0.00066129
375.00	0.00067316
376.00	0.00067624
377.00	0.00085786
378.00	0.00058697
379.00	0.00044712
380.00	0.00073649
381.00	0.00078618
382.00	0.00096253
383.00	0.00076023
384.00	0.00094054
385.00	0.00067800
386.00	0.00066085
387.00	0.00094757
388.00	0.00073473
389.00	0.00059664
390.00	0.00064391
391.00	0.00063182
392.00	0.00064097
393.00	0.00056850
394.00	0.00048714
395.00	0.00068152
396.00	0.00065997
397.00	0.00078442
398.00	0.00059796
399.00	0.00064590
400.00	0.00073152
