Wavelength (nm)	A25 abs N
211.00	0.91655
212.00	0.90034
213.00	0.89189
214.00	0.89085
215.00	0.89341
216.00	0.90149
217.00	0.90931
218.00	0.91256
219.00	0.90518
220.00	0.88643
221.00	0.86374
222.00	0.84119
223.00	0.82387
224.00	0.81280
225.00	0.81100
226.00	0.81459
227.00	0.82046
228.00	0.82450
229.00	0.82524
230.00	0.82462
231.00	0.82854
232.00	0.83610
233.00	0.84598
234.00	0.85495
235.00	0.86833
236.00	0.88793
237.00	0.90942
238.00	0.91367
239.00	0.89558
240.00	0.86687
241.00	0.84157
242.00	0.82775
243.00	0.82686
244.00	0.83210
245.00	0.83729
246.00	0.84674
247.00	0.87478
248.00	0.92747
249.00	0.96781
250.00	0.95654
251.00	0.90313
252.00	0.84642
253.00	0.80662
254.00	0.78622
255.00	0.77852
256.00	0.78223
257.00	0.79189
258.00	0.80599
259.00	0.82583
260.00	0.84895
261.00	0.87329
262.00	0.89635
263.00	0.91366
264.00	0.92683
265.00	0.93278
266.00	0.93401
267.00	0.93078
268.00	0.92785
269.00	0.92951
270.00	0.93474
271.00	0.94136
272.00	0.95161
273.00	0.96417
274.00	0.97688
275.00	0.98774
276.00	0.99618
277.00	1.00000
278.00	0.99693
279.00	0.98742
280.00	0.97501
281.00	0.95963
282.00	0.94447
283.00	0.93222
284.00	0.92091
285.00	0.91191
286.00	0.90337
287.00	0.89805
288.00	0.89081
289.00	0.88448
290.00	0.87530
291.00	0.86410
292.00	0.84695
293.00	0.82492
294.00	0.79608
295.00	0.76145
296.00	0.72285
297.00	0.68131
298.00	0.63769
299.00	0.59464
300.00	0.55251
301.00	0.51170
302.00	0.47289
303.00	0.43596
304.00	0.40201
305.00	0.37054
306.00	0.34187
307.00	0.31551
308.00	0.29219
309.00	0.27161
310.00	0.25396
311.00	0.23800
312.00	0.22435
313.00	0.21307
314.00	0.20296
315.00	0.19479
316.00	0.18769
317.00	0.18173
318.00	0.17652
319.00	0.17258
320.00	0.16902
321.00	0.16631
322.00	0.16388
323.00	0.16119
324.00	0.15944
325.00	0.15767
326.00	0.15617
327.00	0.15496
328.00	0.15361
329.00	0.15261
330.00	0.15148
331.00	0.15020
332.00	0.14914
333.00	0.14803
334.00	0.14658
335.00	0.14514
336.00	0.14367
337.00	0.14209
338.00	0.14055
339.00	0.13882
340.00	0.13690
341.00	0.13487
342.00	0.13252
343.00	0.13029
344.00	0.12812
345.00	0.12594
346.00	0.12407
347.00	0.12150
348.00	0.11917
349.00	0.11647
350.00	0.11388
351.00	0.11126
352.00	0.10885
353.00	0.10623
354.00	0.10375
355.00	0.10122
356.00	0.098422
357.00	0.095913
358.00	0.093597
359.00	0.090988
360.00	0.088635
361.00	0.086099
362.00	0.083235
363.00	0.080310
364.00	0.077286
365.00	0.074111
366.00	0.070598
367.00	0.067038
368.00	0.063825
369.00	0.060222
370.00	0.056889
371.00	0.053028
372.00	0.049935
373.00	0.046777
374.00	0.043435
375.00	0.040753
376.00	0.037711
377.00	0.034829
378.00	0.032542
379.00	0.030348
380.00	0.028384
381.00	0.025962
382.00	0.023944
383.00	0.022264
384.00	0.020307
385.00	0.018995
386.00	0.017837
387.00	0.016413
388.00	0.015190
389.00	0.014099
390.00	0.013277
391.00	0.012169
392.00	0.011295
393.00	0.010513
394.00	0.0095379
395.00	0.0087660
396.00	0.0080959
397.00	0.0076562
398.00	0.0072444
399.00	0.0067490
400.00	0.0065132
401.00	0.0058811
402.00	0.0053923
403.00	0.0052322
404.00	0.0049018
405.00	0.0047403
406.00	0.0042281
407.00	0.0041449
408.00	0.0037269
409.00	0.0035465
410.00	0.0032001
411.00	0.0030449
412.00	0.0029754
413.00	0.0027441
414.00	0.0025136
415.00	0.0022102
416.00	0.0020523
417.00	0.0019554
418.00	0.0021102
419.00	0.0019032
420.00	0.0017333
421.00	0.0016935
422.00	0.0015670
423.00	0.0014511
424.00	0.0014095
425.00	0.0012764
426.00	0.0014502
427.00	0.0010685
428.00	0.0011172
429.00	0.0011287
430.00	0.0010181
431.00	0.0010889
432.00	0.00087167
433.00	0.00069164
434.00	0.00093404
435.00	0.00085309
436.00	0.00069120
437.00	0.0011251
438.00	0.00074162
439.00	0.00081638
440.00	0.00066643
441.00	0.00081151
442.00	0.00055363
443.00	0.00091104
444.00	0.00083009
445.00	0.00091988
446.00	0.00089644
447.00	0.00062662
448.00	0.00070579
449.00	0.00059256
450.00	0.00071243
