Wavelength (nm)	A27 abs N
210.00	0.66696
211.00	0.63347
212.00	0.60675
213.00	0.59726
214.00	0.61250
215.00	0.63870
216.00	0.66792
217.00	0.69891
218.00	0.73987
219.00	0.79565
220.00	0.87066
221.00	0.95063
222.00	1.0000
223.00	0.99240
224.00	0.94713
225.00	0.91214
226.00	0.90610
227.00	0.93419
228.00	0.97773
229.00	0.95403
230.00	0.78464
231.00	0.53100
232.00	0.31635
233.00	0.18074
234.00	0.11066
235.00	0.077794
236.00	0.065063
237.00	0.062187
238.00	0.064157
239.00	0.069156
240.00	0.076504
241.00	0.085476
242.00	0.095738
243.00	0.10760
244.00	0.12110
245.00	0.13636
246.00	0.15408
247.00	0.17385
248.00	0.19588
249.00	0.21947
250.00	0.24488
251.00	0.27143
252.00	0.29906
253.00	0.32919
254.00	0.36137
255.00	0.39567
256.00	0.43222
257.00	0.47037
258.00	0.51122
259.00	0.55079
260.00	0.58792
261.00	0.62141
262.00	0.64991
263.00	0.67556
264.00	0.69797
265.00	0.71548
266.00	0.73395
267.00	0.75203
268.00	0.77325
269.00	0.79028
270.00	0.79729
271.00	0.78777
272.00	0.76166
273.00	0.72040
274.00	0.66952
275.00	0.61131
276.00	0.55351
277.00	0.50014
278.00	0.45422
279.00	0.41803
280.00	0.39160
281.00	0.37442
282.00	0.36468
283.00	0.35991
284.00	0.35764
285.00	0.35717
286.00	0.35822
287.00	0.36327
288.00	0.37205
289.00	0.38334
290.00	0.39523
291.00	0.40814
292.00	0.42395
293.00	0.44535
294.00	0.46754
295.00	0.48181
296.00	0.48173
297.00	0.46871
298.00	0.45522
299.00	0.45087
300.00	0.45307
301.00	0.45192
302.00	0.44394
303.00	0.43457
304.00	0.42957
305.00	0.43577
306.00	0.45026
307.00	0.44512
308.00	0.39436
309.00	0.30854
310.00	0.22115
311.00	0.15198
312.00	0.10563
313.00	0.075466
314.00	0.055054
315.00	0.040014
316.00	0.029238
317.00	0.021916
318.00	0.016790
319.00	0.013558
320.00	0.011559
321.00	0.010081
322.00	0.0091567
323.00	0.0085218
324.00	0.0082637
325.00	0.0080332
326.00	0.0077099
327.00	0.0071714
328.00	0.0062639
329.00	0.0058551
330.00	0.0050691
331.00	0.0049876
332.00	0.0046957
333.00	0.0042265
334.00	0.0040214
335.00	0.0039719
336.00	0.0041345
337.00	0.0037883
338.00	0.0037734
339.00	0.0039254
340.00	0.0036687
341.00	0.0034610
342.00	0.0031942
343.00	0.0029610
344.00	0.0029812
345.00	0.0027678
346.00	0.0028668
347.00	0.0025768
348.00	0.0023362
349.00	0.0022162
350.00	0.0019445
