Wavelength (nm)	A28 abs N
200.00	0.65277
201.00	0.67423
202.00	0.67273
203.00	0.67372
204.00	0.67316
205.00	0.67625
206.00	0.68762
207.00	0.69841
208.00	0.71358
209.00	0.73321
210.00	0.75563
211.00	0.78733
212.00	0.82267
213.00	0.86529
214.00	0.90522
215.00	0.94427
216.00	0.97292
217.00	0.99463
218.00	1.0000
219.00	0.99386
220.00	0.96993
221.00	0.92952
222.00	0.86958
223.00	0.79726
224.00	0.71342
225.00	0.62571
226.00	0.53910
227.00	0.45884
228.00	0.38710
229.00	0.32750
230.00	0.28062
231.00	0.24719
232.00	0.22589
233.00	0.21431
234.00	0.21103
235.00	0.21372
236.00	0.22089
237.00	0.23155
238.00	0.24455
239.00	0.25881
240.00	0.27445
241.00	0.29140
242.00	0.30852
243.00	0.32624
244.00	0.34350
245.00	0.35916
246.00	0.37324
247.00	0.38463
248.00	0.39331
249.00	0.39920
250.00	0.40265
251.00	0.40340
252.00	0.40134
253.00	0.39509
254.00	0.38358
255.00	0.36684
256.00	0.34489
257.00	0.31980
258.00	0.29239
259.00	0.26437
260.00	0.23683
261.00	0.20967
262.00	0.18369
263.00	0.15791
264.00	0.13270
265.00	0.10922
266.00	0.087715
267.00	0.068888
268.00	0.053512
269.00	0.041303
270.00	0.032224
271.00	0.025776
272.00	0.021493
273.00	0.018906
274.00	0.017696
275.00	0.017205
276.00	0.017671
277.00	0.018798
278.00	0.020398
279.00	0.022204
280.00	0.024338
281.00	0.026866
282.00	0.029738
283.00	0.032460
284.00	0.035733
285.00	0.039271
286.00	0.042987
287.00	0.046807
288.00	0.050820
289.00	0.054817
290.00	0.059378
291.00	0.063692
292.00	0.068291
293.00	0.072710
294.00	0.077256
295.00	0.081938
296.00	0.086590
297.00	0.091093
298.00	0.095429
299.00	0.099805
300.00	0.10403
301.00	0.10790
302.00	0.11159
303.00	0.11514
304.00	0.11844
305.00	0.12100
306.00	0.12332
307.00	0.12543
308.00	0.12700
309.00	0.12789
310.00	0.12844
311.00	0.12860
312.00	0.12835
313.00	0.12759
314.00	0.12627
315.00	0.12471
316.00	0.12255
317.00	0.11974
318.00	0.11666
319.00	0.11347
320.00	0.10922
321.00	0.10506
322.00	0.10052
323.00	0.095590
324.00	0.090661
325.00	0.085625
326.00	0.080187
327.00	0.075147
328.00	0.069605
329.00	0.064556
330.00	0.059476
331.00	0.054800
332.00	0.050183
333.00	0.045412
334.00	0.041175
335.00	0.037313
336.00	0.033546
337.00	0.030037
338.00	0.026782
339.00	0.023830
340.00	0.020666
341.00	0.018182
342.00	0.015868
343.00	0.013652
344.00	0.011726
345.00	0.0099648
346.00	0.0084818
347.00	0.0071002
348.00	0.0057374
349.00	0.0050198
350.00	0.0040427
351.00	0.0035261
352.00	0.0029304
353.00	0.0024199
354.00	0.0018970
355.00	0.0015371
356.00	0.0012914
357.00	0.0013164
358.00	0.0011337
359.00	0.0011618
360.00	0.0013046
361.00	0.0014863
362.00	0.0014385
363.00	0.0013527
364.00	0.0013937
365.00	0.00091503
366.00	0.00090114
367.00	0.00093859
368.00	0.00076128
369.00	0.00097690
370.00	0.0011278
371.00	0.00095581
372.00	0.00079279
373.00	0.00096152
374.00	0.00081680
375.00	0.00081752
376.00	0.0011272
377.00	0.0010712
378.00	0.0010273
379.00	0.0010548
380.00	0.0011761
381.00	0.0011920
382.00	0.00095561
383.00	0.0010014
384.00	0.0011196
385.00	0.0012721
386.00	0.00073611
387.00	0.00059975
388.00	0.00098313
389.00	0.0011701
390.00	0.0012168
391.00	0.00068925
392.00	0.00059084
393.00	0.00077373
394.00	0.00094770
395.00	0.0010578
396.00	0.0014533
397.00	0.0011017
398.00	0.00082644
399.00	0.00076197
400.00	0.0010793
