Wavelength (nm)	A29 ems
300.00	0.020197
301.00	0.029398
302.00	0.042915
303.00	0.059115
304.00	0.084795
305.00	0.11329
306.00	0.15512
307.00	0.20277
308.00	0.25834
309.00	0.31086
310.00	0.36901
311.00	0.43320
312.00	0.50498
313.00	0.56898
314.00	0.63506
315.00	0.68788
316.00	0.73984
317.00	0.77678
318.00	0.80728
319.00	0.82512
320.00	0.84127
321.00	0.86240
322.00	0.88669
323.00	0.90470
324.00	0.92712
325.00	0.94477
326.00	0.96163
327.00	0.97539
328.00	0.98655
329.00	0.99574
330.00	1.00000
331.00	0.99964
332.00	0.99631
333.00	0.99062
334.00	0.97883
335.00	0.96950
336.00	0.95394
337.00	0.93786
338.00	0.91983
339.00	0.90189
340.00	0.88180
341.00	0.86425
342.00	0.84680
343.00	0.82939
344.00	0.81115
345.00	0.79459
346.00	0.77426
347.00	0.75616
348.00	0.73437
349.00	0.71645
350.00	0.69678
351.00	0.67864
352.00	0.65813
353.00	0.63971
354.00	0.61887
355.00	0.60062
356.00	0.57905
357.00	0.55815
358.00	0.53671
359.00	0.51839
360.00	0.49790
361.00	0.47910
362.00	0.45883
363.00	0.44186
364.00	0.42335
365.00	0.40663
366.00	0.39130
367.00	0.37802
368.00	0.36362
369.00	0.35116
370.00	0.33823
371.00	0.32601
372.00	0.31326
373.00	0.30130
374.00	0.28964
375.00	0.27994
376.00	0.26962
377.00	0.25972
378.00	0.25064
379.00	0.24129
380.00	0.23136
381.00	0.22217
382.00	0.21214
383.00	0.20278
384.00	0.19317
385.00	0.18433
386.00	0.17719
387.00	0.17058
388.00	0.16366
389.00	0.15776
390.00	0.15209
391.00	0.14632
392.00	0.14072
393.00	0.13481
394.00	0.12954
395.00	0.12482
396.00	0.11958
397.00	0.11515
398.00	0.10995
399.00	0.10565
400.00	0.10068
401.00	0.096331
402.00	0.092128
403.00	0.087624
404.00	0.083320
405.00	0.079623
406.00	0.075296
407.00	0.071956
408.00	0.068616
409.00	0.064727
410.00	0.061794
411.00	0.058553
412.00	0.055434
413.00	0.053162
414.00	0.050376
415.00	0.048612
416.00	0.046050
417.00	0.044021
418.00	0.041794
419.00	0.039967
420.00	0.037950
421.00	0.036230
422.00	0.034556
423.00	0.032861
424.00	0.031316
425.00	0.029688
426.00	0.028109
427.00	0.026703
428.00	0.024886
429.00	0.023581
430.00	0.022105
431.00	0.020788
432.00	0.019407
433.00	0.018036
434.00	0.016535
435.00	0.015627
436.00	0.014354
437.00	0.013596
438.00	0.012426
439.00	0.011684
440.00	0.010723
441.00	0.010072
442.00	0.0092108
443.00	0.0087339
444.00	0.0079897
445.00	0.0072518
446.00	0.0064716
447.00	0.0058344
448.00	0.0053255
449.00	0.0046972
450.00	0.0042064
