Wavelength (nm)	A30 abs N
220.00	0.91568
221.00	0.86141
222.00	0.80111
223.00	0.74153
224.00	0.68636
225.00	0.64058
226.00	0.60700
227.00	0.58657
228.00	0.57771
229.00	0.57950
230.00	0.59022
231.00	0.60589
232.00	0.62483
233.00	0.64565
234.00	0.66383
235.00	0.67943
236.00	0.68852
237.00	0.69238
238.00	0.68971
239.00	0.67946
240.00	0.65987
241.00	0.63137
242.00	0.59321
243.00	0.54283
244.00	0.48265
245.00	0.41698
246.00	0.34775
247.00	0.28171
248.00	0.22426
249.00	0.17812
250.00	0.14295
251.00	0.11937
252.00	0.10580
253.00	0.099671
254.00	0.099806
255.00	0.10358
256.00	0.10976
257.00	0.11876
258.00	0.12980
259.00	0.14279
260.00	0.15777
261.00	0.17419
262.00	0.19154
263.00	0.21101
264.00	0.23175
265.00	0.25464
266.00	0.27869
267.00	0.30499
268.00	0.33294
269.00	0.36168
270.00	0.39244
271.00	0.42373
272.00	0.45792
273.00	0.49223
274.00	0.52793
275.00	0.56443
276.00	0.60154
277.00	0.63948
278.00	0.67673
279.00	0.71401
280.00	0.75002
281.00	0.78488
282.00	0.81950
283.00	0.85176
284.00	0.88109
285.00	0.90881
286.00	0.93292
287.00	0.95509
288.00	0.97228
289.00	0.98564
290.00	0.99471
291.00	1.0000
292.00	0.99937
293.00	0.99508
294.00	0.98616
295.00	0.97171
296.00	0.95259
297.00	0.93232
298.00	0.90768
299.00	0.87864
300.00	0.84825
301.00	0.81615
302.00	0.78214
303.00	0.74551
304.00	0.70980
305.00	0.67408
306.00	0.63894
307.00	0.60368
308.00	0.57016
309.00	0.53718
310.00	0.50545
311.00	0.47417
312.00	0.44436
313.00	0.41659
314.00	0.38986
315.00	0.36461
316.00	0.34144
317.00	0.32076
318.00	0.30134
319.00	0.28371
320.00	0.26779
321.00	0.25383
322.00	0.24147
323.00	0.22998
324.00	0.22052
325.00	0.21173
326.00	0.20408
327.00	0.19704
328.00	0.19055
329.00	0.18492
330.00	0.17949
331.00	0.17474
332.00	0.16980
333.00	0.16527
334.00	0.16054
335.00	0.15620
336.00	0.15207
337.00	0.14758
338.00	0.14308
339.00	0.13872
340.00	0.13435
341.00	0.12972
342.00	0.12537
343.00	0.12104
344.00	0.11671
345.00	0.11198
346.00	0.10745
347.00	0.10302
348.00	0.098774
349.00	0.094270
350.00	0.090177
351.00	0.085865
352.00	0.081656
353.00	0.077449
354.00	0.073346
355.00	0.069735
356.00	0.065970
357.00	0.062338
358.00	0.058893
359.00	0.055619
360.00	0.052349
361.00	0.049026
362.00	0.046078
363.00	0.043026
364.00	0.040267
365.00	0.037644
366.00	0.034811
367.00	0.032457
368.00	0.029962
369.00	0.028032
370.00	0.026226
371.00	0.024153
372.00	0.022139
373.00	0.020370
374.00	0.018779
375.00	0.017582
376.00	0.016026
377.00	0.014968
378.00	0.013831
379.00	0.012769
380.00	0.011896
381.00	0.011020
382.00	0.0099281
383.00	0.0091958
384.00	0.0084016
385.00	0.0076046
386.00	0.0070594
387.00	0.0067228
388.00	0.0059225
389.00	0.0057045
390.00	0.0053435
391.00	0.0051063
392.00	0.0047340
393.00	0.0040786
394.00	0.0038653
395.00	0.0037509
396.00	0.0036417
397.00	0.0032057
398.00	0.0027500
399.00	0.0025132
400.00	0.0025474
401.00	0.0023552
402.00	0.0022760
403.00	0.0022507
404.00	0.0020852
405.00	0.0018367
406.00	0.0016961
407.00	0.0012905
408.00	0.0016501
409.00	0.0015662
410.00	0.0015582
411.00	0.0012587
412.00	0.0011279
413.00	0.0011325
414.00	0.00095158
415.00	0.0010182
416.00	0.0011452
417.00	0.0011213
418.00	0.0011354
419.00	0.0010800
420.00	0.0010350
421.00	0.00088172
422.00	0.00097877
423.00	0.00091220
424.00	0.00088313
425.00	0.00086860
426.00	0.00072889
427.00	0.00058449
428.00	0.00082125
429.00	0.00092532
430.00	0.00070732
431.00	0.00083765
432.00	0.00063700
433.00	0.00089157
434.00	0.00080015
435.00	0.00071529
436.00	0.00073170
437.00	0.00080156
438.00	0.00081515
439.00	0.00084984
440.00	0.00078140
441.00	0.00085547
442.00	0.00093704
443.00	0.00072373
444.00	0.00070873
445.00	0.00050432
446.00	0.00086672
447.00	0.00078796
448.00	0.00068857
449.00	0.00078562
450.00	0.00090376
