Wavelength (nm)	A31 abs N
210.00	0.10927
211.00	0.10526
212.00	0.10641
213.00	0.11164
214.00	0.12050
215.00	0.13290
216.00	0.14859
217.00	0.16785
218.00	0.19098
219.00	0.21688
220.00	0.24668
221.00	0.28027
222.00	0.31731
223.00	0.35778
224.00	0.40112
225.00	0.44619
226.00	0.49347
227.00	0.54143
228.00	0.59211
229.00	0.64262
230.00	0.69425
231.00	0.74343
232.00	0.78747
233.00	0.82850
234.00	0.86383
235.00	0.89601
236.00	0.92587
237.00	0.95494
238.00	0.97870
239.00	0.99533
240.00	1.0000
241.00	0.98875
242.00	0.96154
243.00	0.92613
244.00	0.88925
245.00	0.85417
246.00	0.82109
247.00	0.79158
248.00	0.76103
249.00	0.72062
250.00	0.65963
251.00	0.57787
252.00	0.48684
253.00	0.39801
254.00	0.32297
255.00	0.26474
256.00	0.22144
257.00	0.18993
258.00	0.16641
259.00	0.14873
260.00	0.13499
261.00	0.12466
262.00	0.11617
263.00	0.10945
264.00	0.10410
265.00	0.099313
266.00	0.095408
267.00	0.091949
268.00	0.088916
269.00	0.086613
270.00	0.084884
271.00	0.083913
272.00	0.083283
273.00	0.083055
274.00	0.083113
275.00	0.082723
276.00	0.082625
277.00	0.082678
278.00	0.082771
279.00	0.083541
280.00	0.085038
281.00	0.087190
282.00	0.089419
283.00	0.091151
284.00	0.092107
285.00	0.091523
286.00	0.089169
287.00	0.085793
288.00	0.082061
289.00	0.078629
290.00	0.076243
291.00	0.075288
292.00	0.075213
293.00	0.074990
294.00	0.074185
295.00	0.070965
296.00	0.065238
297.00	0.057355
298.00	0.047343
299.00	0.037664
300.00	0.028380
301.00	0.020848
302.00	0.015034
303.00	0.010558
304.00	0.0078299
305.00	0.0056255
306.00	0.0041269
307.00	0.0033330
308.00	0.0025628
309.00	0.0022547
310.00	0.0021012
311.00	0.0019140
312.00	0.0015358
313.00	0.0014794
314.00	0.0013599
315.00	0.0015206
316.00	0.0013888
317.00	0.0012926
318.00	0.0012855
319.00	0.0013940
320.00	0.0013026
321.00	0.0011334
322.00	0.0013448
323.00	0.0011248
324.00	0.0011917
325.00	0.0011992
326.00	0.0012879
327.00	0.0011661
328.00	0.0010447
329.00	0.0010395
330.00	0.0010684
331.00	0.00080634
332.00	0.00089781
333.00	0.00099403
334.00	0.00097175
335.00	0.0010400
336.00	0.0010978
337.00	0.0010490
338.00	0.0011087
339.00	0.0010490
340.00	0.0010424
341.00	0.0011329
342.00	0.00094758
343.00	0.0011296
344.00	0.0010950
345.00	0.00093052
346.00	0.0011139
347.00	0.00083904
348.00	0.00084236
349.00	0.00099166
350.00	0.0011296
