Wavelength (nm)	A33 abs2 N
190.00	0.60911
191.00	0.74868
192.00	0.85527
193.00	0.89668
194.00	0.92518
195.00	0.94254
196.00	1.0000
197.00	0.99601
198.00	0.98547
199.00	0.98230
200.00	0.96075
201.00	0.94199
202.00	0.92645
203.00	0.91091
204.00	0.88567
205.00	0.87313
206.00	0.85648
207.00	0.81858
208.00	0.78270
209.00	0.74550
210.00	0.69683
211.00	0.65005
212.00	0.60349
213.00	0.55387
214.00	0.50594
215.00	0.45677
216.00	0.40587
217.00	0.35944
218.00	0.31644
219.00	0.27969
220.00	0.24807
221.00	0.22193
222.00	0.20148
223.00	0.18575
224.00	0.17350
225.00	0.16365
226.00	0.15426
227.00	0.14511
228.00	0.13562
229.00	0.12645
230.00	0.11764
231.00	0.10942
232.00	0.10185
233.00	0.093950
234.00	0.085470
235.00	0.076515
236.00	0.067891
237.00	0.059639
238.00	0.052247
239.00	0.045880
240.00	0.040307
241.00	0.035571
242.00	0.031657
243.00	0.028383
244.00	0.025744
245.00	0.023547
246.00	0.021587
247.00	0.019832
248.00	0.018528
249.00	0.017710
250.00	0.017111
251.00	0.016663
252.00	0.016123
253.00	0.015817
254.00	0.015571
255.00	0.015797
256.00	0.016114
257.00	0.015927
258.00	0.015730
259.00	0.015826
260.00	0.015692
261.00	0.015975
262.00	0.016224
263.00	0.016238
264.00	0.016106
265.00	0.015566
266.00	0.015016
267.00	0.014748
268.00	0.014214
269.00	0.013429
270.00	0.012614
271.00	0.012180
272.00	0.011956
273.00	0.012061
274.00	0.011083
275.00	0.0094114
276.00	0.0077709
277.00	0.0066938
278.00	0.0060618
279.00	0.0056212
280.00	0.0052140
281.00	0.0050886
282.00	0.0048698
283.00	0.0046695
284.00	0.0045859
285.00	0.0044283
286.00	0.0043121
287.00	0.0041572
288.00	0.0040295
289.00	0.0040243
290.00	0.0040053
291.00	0.0037694
292.00	0.0035572
293.00	0.0035793
294.00	0.0033997
295.00	0.0031061
296.00	0.0031206
297.00	0.0030409
298.00	0.0030621
299.00	0.0030651
300.00	0.0027848
