Wavelength (nm)	A33 ems
270.00	0.010930
271.00	0.0098725
272.00	0.0065116
273.00	0.0068570
274.00	0.017815
275.00	0.035492
276.00	0.028521
277.00	0.059239
278.00	0.057041
279.00	0.063292
280.00	0.087063
281.00	0.11125
282.00	0.17730
283.00	0.20643
284.00	0.21169
285.00	0.17326
286.00	0.16077
287.00	0.15332
288.00	0.16943
289.00	0.18191
290.00	0.17195
291.00	0.19092
292.00	0.21746
293.00	0.22389
294.00	0.23071
295.00	0.28050
296.00	0.26818
297.00	0.27974
298.00	0.29986
299.00	0.31827
300.00	0.32044
301.00	0.36743
302.00	0.40626
303.00	0.44970
304.00	0.49203
305.00	0.56727
306.00	0.62124
307.00	0.68118
308.00	0.79223
309.00	0.82881
310.00	0.89237
311.00	0.91063
312.00	0.91577
313.00	0.94266
314.00	0.97124
315.00	1.0000
316.00	0.96954
317.00	0.95298
318.00	0.95977
319.00	0.93969
320.00	0.91598
321.00	0.93183
322.00	0.94031
323.00	0.92203
324.00	0.95060
325.00	0.94338
326.00	0.91534
327.00	0.90175
328.00	0.87781
329.00	0.85364
330.00	0.81432
331.00	0.77534
332.00	0.76695
333.00	0.73421
334.00	0.70841
335.00	0.68549
336.00	0.67904
337.00	0.64303
338.00	0.61618
339.00	0.58750
340.00	0.56445
341.00	0.53713
342.00	0.51780
343.00	0.49668
344.00	0.48196
345.00	0.46219
346.00	0.43158
347.00	0.40744
348.00	0.39040
349.00	0.38131
350.00	0.34849
351.00	0.34013
352.00	0.32918
353.00	0.30499
354.00	0.29110
355.00	0.27903
356.00	0.26482
357.00	0.25471
358.00	0.23971
359.00	0.22673
360.00	0.20764
361.00	0.20776
362.00	0.18343
363.00	0.17976
364.00	0.16888
365.00	0.16030
366.00	0.14803
367.00	0.14570
368.00	0.13157
369.00	0.12808
370.00	0.12065
371.00	0.10786
372.00	0.10198
373.00	0.096477
374.00	0.090594
375.00	0.083955
376.00	0.075843
377.00	0.071674
378.00	0.070434
379.00	0.061638
380.00	0.059741
381.00	0.053409
382.00	0.052201
383.00	0.052189
384.00	0.044329
385.00	0.041433
386.00	0.039879
387.00	0.035631
388.00	0.034401
389.00	0.029409
390.00	0.028392
391.00	0.025371
392.00	0.022840
393.00	0.019044
394.00	0.020959
395.00	0.019533
396.00	0.012977
397.00	0.014748
398.00	0.013013
399.00	0.014523
400.00	0.0094079
