Wavelength (nm)	A34 abs N
215.00	0.60571
216.00	0.52376
217.00	0.45949
218.00	0.41195
219.00	0.37365
220.00	0.34236
221.00	0.32338
222.00	0.31686
223.00	0.32064
224.00	0.33223
225.00	0.34948
226.00	0.37197
227.00	0.39884
228.00	0.42987
229.00	0.46344
230.00	0.50167
231.00	0.54289
232.00	0.58507
233.00	0.62945
234.00	0.67416
235.00	0.72049
236.00	0.76555
237.00	0.80940
238.00	0.85138
239.00	0.88919
240.00	0.92322
241.00	0.95222
242.00	0.97419
243.00	0.98953
244.00	0.99900
245.00	1.0000
246.00	0.99340
247.00	0.97831
248.00	0.95383
249.00	0.92189
250.00	0.88261
251.00	0.83561
252.00	0.78184
253.00	0.72052
254.00	0.65600
255.00	0.59257
256.00	0.53501
257.00	0.48389
258.00	0.43617
259.00	0.39154
260.00	0.35002
261.00	0.31468
262.00	0.28877
263.00	0.26783
264.00	0.24820
265.00	0.22774
266.00	0.20651
267.00	0.18686
268.00	0.17374
269.00	0.16555
270.00	0.15731
271.00	0.14841
272.00	0.13974
273.00	0.13242
274.00	0.12654
275.00	0.12220
276.00	0.12003
277.00	0.11959
278.00	0.12042
279.00	0.12212
280.00	0.12524
281.00	0.12872
282.00	0.13295
283.00	0.13748
284.00	0.14250
285.00	0.14735
286.00	0.15227
287.00	0.15676
288.00	0.16105
289.00	0.16448
290.00	0.16722
291.00	0.16960
292.00	0.17167
293.00	0.17322
294.00	0.17299
295.00	0.17172
296.00	0.16958
297.00	0.16594
298.00	0.15993
299.00	0.15315
300.00	0.14511
301.00	0.13655
302.00	0.12841
303.00	0.12024
304.00	0.11242
305.00	0.10447
306.00	0.094879
307.00	0.082253
308.00	0.067936
309.00	0.054181
310.00	0.041850
311.00	0.031694
312.00	0.024346
313.00	0.018581
314.00	0.013966
315.00	0.011012
316.00	0.0089443
317.00	0.0075383
318.00	0.0064095
319.00	0.0060271
320.00	0.0054592
321.00	0.0053741
322.00	0.0049662
323.00	0.0047978
324.00	0.0046229
325.00	0.0047796
326.00	0.0044470
327.00	0.0046329
328.00	0.0045324
329.00	0.0045223
330.00	0.0043654
331.00	0.0043390
332.00	0.0044082
333.00	0.0044255
334.00	0.0043830
335.00	0.0045746
336.00	0.0044608
337.00	0.0042324
338.00	0.0042523
339.00	0.0043854
340.00	0.0043234
341.00	0.0041220
342.00	0.0041306
343.00	0.0039118
344.00	0.0039539
345.00	0.0038488
346.00	0.0040057
347.00	0.0040053
348.00	0.0038275
349.00	0.0036540
350.00	0.0037990
