Wavelength (nm)	A34 ems
300.00	0.032612
301.00	0.041986
302.00	0.052737
303.00	0.074845
304.00	0.10671
305.00	0.15275
306.00	0.21232
307.00	0.28595
308.00	0.36809
309.00	0.46002
310.00	0.54656
311.00	0.63214
312.00	0.72088
313.00	0.79611
314.00	0.85549
315.00	0.91251
316.00	0.95519
317.00	0.96056
318.00	0.96721
319.00	0.96355
320.00	0.95897
321.00	0.98229
322.00	0.98587
323.00	1.0000
324.00	0.99777
325.00	0.99736
326.00	0.98934
327.00	0.97015
328.00	0.95178
329.00	0.92788
330.00	0.90749
331.00	0.87779
332.00	0.85334
333.00	0.82459
334.00	0.79828
335.00	0.76829
336.00	0.73352
337.00	0.70521
338.00	0.66480
339.00	0.63337
340.00	0.59997
341.00	0.56999
342.00	0.54459
343.00	0.52164
344.00	0.49465
345.00	0.47084
346.00	0.44833
347.00	0.42201
348.00	0.39951
349.00	0.37849
350.00	0.35785
351.00	0.33302
352.00	0.31398
353.00	0.29609
354.00	0.27814
355.00	0.25978
356.00	0.24349
357.00	0.22788
358.00	0.21508
359.00	0.20064
360.00	0.18918
361.00	0.17450
362.00	0.16184
363.00	0.15120
364.00	0.14052
365.00	0.13200
366.00	0.12094
367.00	0.11191
368.00	0.10364
369.00	0.095821
370.00	0.088832
371.00	0.081078
372.00	0.074957
373.00	0.070887
374.00	0.065217
375.00	0.059687
376.00	0.053249
377.00	0.049655
378.00	0.044732
379.00	0.042238
380.00	0.037331
381.00	0.034653
382.00	0.030590
383.00	0.028806
384.00	0.025988
385.00	0.023288
386.00	0.020487
387.00	0.018856
388.00	0.016972
389.00	0.015063
390.00	0.012949
391.00	0.011529
392.00	0.0096104
393.00	0.0085271
394.00	0.0075160
395.00	0.0066270
396.00	0.0047704
397.00	0.0044494
398.00	0.0035116
399.00	0.0026728
400.00	0.0018822
