Wavelength (nm)	A35 abs N
210.00	0.48203
211.00	0.44819
212.00	0.42295
213.00	0.40897
214.00	0.40409
215.00	0.40656
216.00	0.41498
217.00	0.42673
218.00	0.44124
219.00	0.45633
220.00	0.47069
221.00	0.48343
222.00	0.49380
223.00	0.50263
224.00	0.50985
225.00	0.51396
226.00	0.51377
227.00	0.50771
228.00	0.49433
229.00	0.47614
230.00	0.45686
231.00	0.44155
232.00	0.42963
233.00	0.41523
234.00	0.39259
235.00	0.35907
236.00	0.32049
237.00	0.28249
238.00	0.25228
239.00	0.23279
240.00	0.22225
241.00	0.21876
242.00	0.21976
243.00	0.22350
244.00	0.22907
245.00	0.23564
246.00	0.24302
247.00	0.25100
248.00	0.25973
249.00	0.26924
250.00	0.27959
251.00	0.29038
252.00	0.30118
253.00	0.31204
254.00	0.32232
255.00	0.33225
256.00	0.34193
257.00	0.35177
258.00	0.36227
259.00	0.37357
260.00	0.38570
261.00	0.39787
262.00	0.41004
263.00	0.42155
264.00	0.43291
265.00	0.44400
266.00	0.45534
267.00	0.46789
268.00	0.48186
269.00	0.49809
270.00	0.51548
271.00	0.53356
272.00	0.55213
273.00	0.57131
274.00	0.59038
275.00	0.60842
276.00	0.62721
277.00	0.64742
278.00	0.66882
279.00	0.69150
280.00	0.71434
281.00	0.73794
282.00	0.76233
283.00	0.78576
284.00	0.80911
285.00	0.83283
286.00	0.85540
287.00	0.87547
288.00	0.89505
289.00	0.91261
290.00	0.92947
291.00	0.94335
292.00	0.95548
293.00	0.96559
294.00	0.97491
295.00	0.98336
296.00	0.98978
297.00	0.99324
298.00	0.99668
299.00	0.99809
300.00	0.99862
301.00	0.99951
302.00	1.0000
303.00	0.99856
304.00	0.99617
305.00	0.99027
306.00	0.98256
307.00	0.97406
308.00	0.96151
309.00	0.94434
310.00	0.92506
311.00	0.89930
312.00	0.86938
313.00	0.83604
314.00	0.80003
315.00	0.76264
316.00	0.72618
317.00	0.69083
318.00	0.65785
319.00	0.62724
320.00	0.59706
321.00	0.56723
322.00	0.53481
323.00	0.49799
324.00	0.45647
325.00	0.40973
326.00	0.35680
327.00	0.30300
328.00	0.24864
329.00	0.19874
330.00	0.15381
331.00	0.11700
332.00	0.087444
333.00	0.065139
334.00	0.048803
335.00	0.037472
336.00	0.029570
337.00	0.024253
338.00	0.020764
339.00	0.018514
340.00	0.016935
341.00	0.015790
342.00	0.015229
343.00	0.014643
344.00	0.014276
345.00	0.014062
346.00	0.013858
347.00	0.013900
348.00	0.013672
349.00	0.013760
350.00	0.013674
351.00	0.013838
352.00	0.013838
353.00	0.013859
354.00	0.013943
355.00	0.013960
356.00	0.013924
357.00	0.014020
358.00	0.013728
359.00	0.013768
360.00	0.013815
361.00	0.013871
362.00	0.013919
363.00	0.013794
364.00	0.013748
365.00	0.013662
366.00	0.013502
367.00	0.013403
368.00	0.013145
369.00	0.013035
370.00	0.012697
371.00	0.012748
372.00	0.012301
373.00	0.012443
374.00	0.012160
375.00	0.012113
376.00	0.011790
377.00	0.012014
378.00	0.011726
379.00	0.011447
380.00	0.011323
381.00	0.011055
382.00	0.010789
383.00	0.010656
384.00	0.010274
385.00	0.0098994
386.00	0.0093297
387.00	0.0090038
388.00	0.0087940
389.00	0.0081803
390.00	0.0083859
391.00	0.0081887
392.00	0.0079643
393.00	0.0076816
394.00	0.0074257
395.00	0.0071463
396.00	0.0071324
397.00	0.0071685
398.00	0.0067767
399.00	0.0064353
400.00	0.0062373
401.00	0.0061462
402.00	0.0057897
403.00	0.0052678
404.00	0.0051080
405.00	0.0047011
406.00	0.0043298
407.00	0.0039745
408.00	0.0037333
409.00	0.0034519
410.00	0.0033080
411.00	0.0032581
412.00	0.0030978
413.00	0.0029460
414.00	0.0030009
415.00	0.0027874
416.00	0.0027454
417.00	0.0026200
418.00	0.0025588
419.00	0.0025428
420.00	0.0022945
421.00	0.0021489
422.00	0.0021485
423.00	0.0019983
424.00	0.0017768
425.00	0.0016866
426.00	0.0015830
427.00	0.0013762
428.00	0.0014354
429.00	0.0011799
430.00	0.0010922
431.00	0.00095422
432.00	0.00093325
433.00	0.0010364
434.00	0.00093325
435.00	0.00098862
436.00	0.00089088
437.00	0.00090388
438.00	0.00098023
439.00	0.00095212
440.00	0.00088752
441.00	0.00088375
442.00	0.0010557
443.00	0.00090808
444.00	0.00096555
445.00	0.0010515
446.00	0.00079020
447.00	0.00090304
448.00	0.00097519
449.00	0.00094247
450.00	0.00099323
