Wavelength (nm)	A36 abs N
220.00	0.37458
221.00	0.35233
222.00	0.33342
223.00	0.31886
224.00	0.30882
225.00	0.30190
226.00	0.29847
227.00	0.29838
228.00	0.30351
229.00	0.31332
230.00	0.32724
231.00	0.34553
232.00	0.36654
233.00	0.39125
234.00	0.42008
235.00	0.45399
236.00	0.48998
237.00	0.52946
238.00	0.57030
239.00	0.61222
240.00	0.65576
241.00	0.69870
242.00	0.74030
243.00	0.78103
244.00	0.82109
245.00	0.85875
246.00	0.89277
247.00	0.92344
248.00	0.94836
249.00	0.96940
250.00	0.98669
251.00	0.99642
252.00	1.0000
253.00	0.99794
254.00	0.98720
255.00	0.97255
256.00	0.95202
257.00	0.92614
258.00	0.89417
259.00	0.85842
260.00	0.81904
261.00	0.77655
262.00	0.73509
263.00	0.69333
264.00	0.65044
265.00	0.60890
266.00	0.56839
267.00	0.53032
268.00	0.49444
269.00	0.45969
270.00	0.42823
271.00	0.39994
272.00	0.37352
273.00	0.34883
274.00	0.32643
275.00	0.30564
276.00	0.28645
277.00	0.26875
278.00	0.25227
279.00	0.23675
280.00	0.22191
281.00	0.20798
282.00	0.19451
283.00	0.18162
284.00	0.16930
285.00	0.15752
286.00	0.14619
287.00	0.13573
288.00	0.12510
289.00	0.11497
290.00	0.10490
291.00	0.095077
292.00	0.085397
293.00	0.075913
294.00	0.066873
295.00	0.058430
296.00	0.050485
297.00	0.043393
298.00	0.036981
299.00	0.031455
300.00	0.026486
301.00	0.022605
302.00	0.018971
303.00	0.016420
304.00	0.014318
305.00	0.012612
306.00	0.011208
307.00	0.0099042
308.00	0.0094667
309.00	0.0091267
310.00	0.0087687
311.00	0.0086400
312.00	0.0083143
313.00	0.0082848
314.00	0.0084457
315.00	0.0086636
316.00	0.0088612
317.00	0.0089041
318.00	0.0089640
319.00	0.0090212
320.00	0.0092501
321.00	0.0094674
322.00	0.010008
323.00	0.0099657
324.00	0.0098973
325.00	0.010179
326.00	0.010104
327.00	0.010323
328.00	0.010231
329.00	0.010741
330.00	0.010580
331.00	0.010297
332.00	0.010403
333.00	0.010362
334.00	0.010682
335.00	0.010555
336.00	0.010522
337.00	0.010395
338.00	0.0099476
339.00	0.010088
340.00	0.010478
341.00	0.010381
342.00	0.010355
343.00	0.0099302
344.00	0.0099370
345.00	0.0098620
346.00	0.0096877
347.00	0.0094531
348.00	0.0095048
349.00	0.0091347
350.00	0.0088820
351.00	0.0088037
352.00	0.0084934
353.00	0.0077838
354.00	0.0078075
355.00	0.0079025
356.00	0.0074672
357.00	0.0073582
358.00	0.0071274
359.00	0.0071912
360.00	0.0072467
361.00	0.0074783
362.00	0.0069640
363.00	0.0063268
364.00	0.0059232
365.00	0.0057742
366.00	0.0052143
367.00	0.0055008
368.00	0.0053084
369.00	0.0050990
370.00	0.0037658
371.00	0.0041395
372.00	0.0040557
373.00	0.0041710
374.00	0.0040916
375.00	0.0037577
376.00	0.0037518
377.00	0.0032194
378.00	0.0029552
379.00	0.0032340
380.00	0.0033816
381.00	0.0034465
382.00	0.0031406
383.00	0.0030886
384.00	0.0024289
385.00	0.0020715
386.00	0.0023645
387.00	0.0023142
388.00	0.0026160
389.00	0.0025147
390.00	0.0022823
391.00	0.0015184
392.00	0.0021059
393.00	0.0021911
394.00	0.0021375
395.00	0.0019824
396.00	0.0021087
397.00	0.0020046
398.00	0.0019894
399.00	0.0019594
400.00	0.0019387
