Wavelength (nm)	A39 ems
300.00	0.021680
301.00	0.022561
302.00	0.020517
303.00	0.018160
304.00	0.018421
305.00	0.021860
306.00	0.020043
307.00	0.023545
308.00	0.031232
309.00	0.029386
310.00	0.037844
311.00	0.062672
312.00	0.10205
313.00	0.16573
314.00	0.30257
315.00	0.50511
316.00	0.70819
317.00	0.87656
318.00	0.95680
319.00	1.00000
320.00	0.96929
321.00	0.94220
322.00	0.88522
323.00	0.82286
324.00	0.74960
325.00	0.70010
326.00	0.65079
327.00	0.67342
328.00	0.73849
329.00	0.82329
330.00	0.86768
331.00	0.87808
332.00	0.86094
333.00	0.82513
334.00	0.77705
335.00	0.72257
336.00	0.65206
337.00	0.58399
338.00	0.52495
339.00	0.47826
340.00	0.45431
341.00	0.43668
342.00	0.44457
343.00	0.45256
344.00	0.45278
345.00	0.44302
346.00	0.41864
347.00	0.40039
348.00	0.37479
349.00	0.34324
350.00	0.31020
351.00	0.27794
352.00	0.25536
353.00	0.22782
354.00	0.21063
355.00	0.20061
356.00	0.18693
357.00	0.18023
358.00	0.18085
359.00	0.17264
360.00	0.16826
361.00	0.16018
362.00	0.14696
363.00	0.13816
364.00	0.12487
365.00	0.11159
366.00	0.10208
367.00	0.090736
368.00	0.085229
369.00	0.076100
370.00	0.069094
371.00	0.063550
372.00	0.059352
373.00	0.059278
374.00	0.054319
375.00	0.050529
376.00	0.048757
377.00	0.048576
378.00	0.044513
379.00	0.041456
380.00	0.036898
381.00	0.031875
382.00	0.029014
383.00	0.026248
384.00	0.024266
385.00	0.020962
386.00	0.018278
387.00	0.016512
388.00	0.014616
389.00	0.014620
390.00	0.012162
391.00	0.012352
392.00	0.010925
393.00	0.011432
394.00	0.010577
395.00	0.0079597
396.00	0.0075907
397.00	0.0071384
398.00	0.0064498
399.00	0.0056303
400.00	0.0052416
