Wavelength (nm)	A40 abs N
210.00	0.39758
211.00	0.41947
212.00	0.45904
213.00	0.51296
214.00	0.57371
215.00	0.63484
216.00	0.69310
217.00	0.74128
218.00	0.77798
219.00	0.80404
220.00	0.82293
221.00	0.83584
222.00	0.85118
223.00	0.86831
224.00	0.89157
225.00	0.91639
226.00	0.94083
227.00	0.96314
228.00	0.98137
229.00	0.99450
230.00	1.0000
231.00	0.99801
232.00	0.98660
233.00	0.96710
234.00	0.93743
235.00	0.89697
236.00	0.85231
237.00	0.79959
238.00	0.74408
239.00	0.68824
240.00	0.63210
241.00	0.57808
242.00	0.52815
243.00	0.48191
244.00	0.44114
245.00	0.40673
246.00	0.37783
247.00	0.35441
248.00	0.33641
249.00	0.32343
250.00	0.31348
251.00	0.30649
252.00	0.30168
253.00	0.29763
254.00	0.29393
255.00	0.28994
256.00	0.28504
257.00	0.27901
258.00	0.27113
259.00	0.26155
260.00	0.25003
261.00	0.23710
262.00	0.22262
263.00	0.20714
264.00	0.18997
265.00	0.17249
266.00	0.15538
267.00	0.13833
268.00	0.12193
269.00	0.10659
270.00	0.092118
271.00	0.079346
272.00	0.067599
273.00	0.057134
274.00	0.047743
275.00	0.039697
276.00	0.032763
277.00	0.026949
278.00	0.022137
279.00	0.018041
280.00	0.014671
281.00	0.011792
282.00	0.0095588
283.00	0.0078270
284.00	0.0062765
285.00	0.0052784
286.00	0.0045040
287.00	0.0037671
288.00	0.0031959
289.00	0.0027395
290.00	0.0023691
291.00	0.0021114
292.00	0.0020560
293.00	0.0018035
294.00	0.0016022
295.00	0.0015011
296.00	0.0013852
297.00	0.0014483
298.00	0.0012582
299.00	0.0013517
300.00	0.0014147
