Wavelength (nm)	A41 abs N
300.00	0.29156
300.25	0.29125
300.50	0.29153
300.75	0.29008
301.00	0.28937
301.25	0.28929
301.50	0.29042
301.75	0.29195
302.00	0.29184
302.25	0.29151
302.50	0.29452
302.75	0.29372
303.00	0.29853
303.25	0.29887
303.50	0.30217
303.75	0.30320
304.00	0.30710
304.25	0.30918
304.50	0.31523
304.75	0.31605
305.00	0.31763
305.25	0.32139
305.50	0.32457
305.75	0.32722
306.00	0.33009
306.25	0.33506
306.50	0.33765
306.75	0.34058
307.00	0.34545
307.25	0.34885
307.50	0.35146
307.75	0.35686
308.00	0.36097
308.25	0.36553
308.50	0.36870
308.75	0.36997
309.00	0.37503
309.25	0.37881
309.50	0.38333
309.75	0.38293
310.00	0.39043
310.25	0.39293
310.50	0.39480
310.75	0.39908
311.00	0.41259
311.25	0.40989
311.50	0.41706
311.75	0.41351
312.00	0.42581
312.25	0.41818
312.50	0.42825
312.75	0.43002
313.00	0.44062
313.25	0.44095
313.50	0.44523
313.75	0.45347
314.00	0.45263
314.25	0.45706
314.50	0.45939
314.75	0.46185
315.00	0.47004
315.25	0.47558
315.50	0.47892
315.75	0.48324
316.00	0.49087
316.25	0.49332
316.50	0.49927
316.75	0.49750
317.00	0.49946
317.25	0.50384
317.50	0.51217
317.75	0.50654
318.00	0.51538
318.25	0.52102
318.50	0.52379
318.75	0.52105
319.00	0.53310
319.25	0.53337
319.50	0.53780
319.75	0.53366
320.00	0.53671
320.25	0.53969
320.50	0.54113
320.75	0.54915
321.00	0.55551
321.25	0.55474
321.50	0.55066
321.75	0.54914
322.00	0.56125
322.25	0.56279
322.50	0.56157
322.75	0.55896
323.00	0.56591
323.25	0.56815
323.50	0.56086
323.75	0.56626
324.00	0.57407
324.25	0.57091
324.50	0.56980
324.75	0.56540
325.00	0.57047
325.25	0.56515
325.50	0.56954
325.75	0.56519
326.00	0.56946
326.25	0.57365
326.50	0.57438
326.75	0.56781
327.00	0.57370
327.25	0.56789
327.50	0.56757
327.75	0.56277
328.00	0.56654
328.25	0.56215
328.50	0.56535
328.75	0.56252
329.00	0.55717
329.25	0.55558
329.50	0.55163
329.75	0.54740
330.00	0.54777
330.25	0.54581
330.50	0.53825
330.75	0.53833
331.00	0.53550
331.25	0.52744
331.50	0.52768
331.75	0.52302
332.00	0.52053
332.25	0.51470
332.50	0.51004
332.75	0.50841
333.00	0.50510
333.25	0.50502
333.50	0.49333
333.75	0.48592
334.00	0.48142
334.25	0.48006
334.50	0.47683
334.75	0.47367
335.00	0.46802
335.25	0.47124
335.50	0.46475
335.75	0.45719
336.00	0.45159
336.25	0.45108
336.50	0.44428
336.75	0.43721
337.00	0.43649
337.25	0.42434
337.50	0.42135
337.75	0.41738
338.00	0.41161
338.25	0.40663
338.50	0.39791
338.75	0.39510
339.00	0.38750
339.25	0.38223
339.50	0.37564
339.75	0.37121
340.00	0.36437
340.25	0.36257
340.50	0.35510
340.75	0.34388
341.00	0.34641
341.25	0.33715
341.50	0.32654
341.75	0.32194
342.00	0.31960
342.25	0.31559
342.50	0.30979
342.75	0.30264
343.00	0.30005
343.25	0.29120
343.50	0.28930
343.75	0.27928
344.00	0.27956
344.25	0.27725
344.50	0.26888
344.75	0.25901
345.00	0.25634
345.25	0.25236
345.50	0.24946
345.75	0.24232
346.00	0.23858
346.25	0.23546
346.50	0.22828
346.75	0.22781
347.00	0.22213
347.25	0.21963
347.50	0.21664
347.75	0.21170
348.00	0.20625
348.25	0.20313
348.50	0.20101
348.75	0.19537
349.00	0.18903
349.25	0.18527
349.50	0.18370
349.75	0.17866
350.00	0.17590
350.25	0.17164
350.50	0.16883
350.75	0.16205
351.00	0.16542
351.25	0.16014
351.50	0.15606
351.75	0.15543
352.00	0.15227
352.25	0.15070
352.50	0.14921
352.75	0.14389
353.00	0.14628
353.25	0.14141
353.50	0.13973
353.75	0.13737
354.00	0.13561
354.25	0.13771
354.50	0.13056
354.75	0.12870
355.00	0.12790
355.25	0.12950
355.50	0.12214
355.75	0.12427
356.00	0.12310
356.25	0.12157
356.50	0.11837
356.75	0.11926
357.00	0.11369
357.25	0.11574
357.50	0.11687
357.75	0.11318
358.00	0.11550
358.25	0.11573
358.50	0.11676
358.75	0.11149
359.00	0.11276
359.25	0.11430
359.50	0.11402
359.75	0.10955
360.00	0.11235
360.25	0.11140
360.50	0.11282
360.75	0.11198
361.00	0.11285
361.25	0.11294
361.50	0.11430
361.75	0.11182
362.00	0.11536
362.25	0.11567
362.50	0.11594
362.75	0.11451
363.00	0.11651
363.25	0.11704
363.50	0.11634
363.75	0.11940
364.00	0.11639
364.25	0.11772
364.50	0.12072
364.75	0.12019
365.00	0.12364
365.25	0.12471
365.50	0.12573
365.75	0.12881
366.00	0.12762
366.25	0.12879
366.50	0.13117
366.75	0.13290
367.00	0.13327
367.25	0.13475
367.50	0.13805
367.75	0.13547
368.00	0.14227
368.25	0.14382
368.50	0.14411
368.75	0.14611
369.00	0.14915
369.25	0.14872
369.50	0.15006
369.75	0.15307
370.00	0.15488
370.25	0.15863
370.50	0.16122
370.75	0.15949
371.00	0.16406
371.25	0.16475
371.50	0.16985
371.75	0.17269
372.00	0.17295
372.25	0.17638
372.50	0.17997
372.75	0.18131
373.00	0.18148
373.25	0.18231
373.50	0.18996
373.75	0.19098
374.00	0.19156
374.25	0.19496
374.50	0.19792
374.75	0.19932
375.00	0.19841
375.25	0.20212
375.50	0.20322
375.75	0.21021
376.00	0.21374
376.25	0.21525
376.50	0.22105
376.75	0.22389
377.00	0.22533
377.25	0.23224
377.50	0.23354
377.75	0.23768
378.00	0.24434
378.25	0.24386
378.50	0.24564
378.75	0.25002
379.00	0.25393
379.25	0.26089
379.50	0.26167
379.75	0.26628
380.00	0.27102
380.25	0.27497
380.50	0.27750
380.75	0.28114
381.00	0.28268
381.25	0.28575
381.50	0.29035
381.75	0.29606
382.00	0.30065
382.25	0.30587
382.50	0.30729
382.75	0.31100
383.00	0.31687
383.25	0.32013
383.50	0.32531
