Wavelength (nm)	B01 abs N
220.00	0.27814
220.25	0.27669
220.50	0.27803
220.75	0.27693
221.00	0.27839
221.25	0.27173
221.50	0.27704
221.75	0.27620
222.00	0.27755
222.25	0.27966
222.50	0.28430
222.75	0.28736
223.00	0.28887
223.25	0.29078
223.50	0.29755
223.75	0.29910
224.00	0.30401
224.25	0.31230
224.50	0.32215
224.75	0.32822
225.00	0.33218
225.25	0.33753
225.50	0.34182
225.75	0.34905
226.00	0.35647
226.25	0.36796
226.50	0.37465
226.75	0.38138
227.00	0.39145
227.25	0.39902
227.50	0.41085
227.75	0.41635
228.00	0.42453
228.25	0.43485
228.50	0.44503
228.75	0.45193
229.00	0.46343
229.25	0.47191
229.50	0.48309
229.75	0.49084
230.00	0.49880
230.25	0.51319
230.50	0.52210
230.75	0.52858
231.00	0.54138
231.25	0.55129
231.50	0.55960
231.75	0.57206
232.00	0.58428
232.25	0.59257
232.50	0.60420
232.75	0.61424
233.00	0.62555
233.25	0.63550
233.50	0.64427
233.75	0.65635
234.00	0.66212
234.25	0.67393
234.50	0.68477
234.75	0.69396
235.00	0.71080
235.25	0.71900
235.50	0.73439
235.75	0.74429
236.00	0.75452
236.25	0.76511
236.50	0.77635
236.75	0.78249
237.00	0.79589
237.25	0.80123
237.50	0.81027
237.75	0.81559
238.00	0.82761
238.25	0.83448
238.50	0.84673
238.75	0.85402
239.00	0.86320
239.25	0.86904
239.50	0.87561
239.75	0.88582
240.00	0.88725
240.25	0.89838
240.50	0.90481
240.75	0.91126
241.00	0.91614
241.25	0.92500
241.50	0.93021
241.75	0.93832
242.00	0.94207
242.25	0.94599
242.50	0.94917
242.75	0.95668
243.00	0.95869
243.25	0.96336
243.50	0.96854
243.75	0.97257
244.00	0.97706
244.25	0.98083
244.50	0.98565
244.75	0.98587
245.00	0.98804
245.25	0.99276
245.50	0.99609
245.75	0.99250
246.00	0.99616
246.25	0.99652
246.50	0.99714
246.75	0.99645
247.00	0.99786
247.25	0.99894
247.50	1.0000
247.75	0.99458
248.00	0.99768
248.25	0.99341
248.50	0.99310
248.75	0.99117
249.00	0.98844
249.25	0.98538
249.50	0.98188
249.75	0.98106
250.00	0.97467
250.25	0.97162
250.50	0.96910
250.75	0.96520
251.00	0.96161
251.25	0.95468
251.50	0.94912
251.75	0.94564
252.00	0.94107
252.25	0.93147
252.50	0.93134
252.75	0.91953
253.00	0.91419
253.25	0.90911
253.50	0.90211
253.75	0.89458
254.00	0.88497
254.25	0.87923
254.50	0.87402
254.75	0.87046
255.00	0.86476
255.25	0.85748
255.50	0.84619
255.75	0.83929
256.00	0.82778
256.25	0.81959
256.50	0.81491
256.75	0.80226
257.00	0.79225
257.25	0.78115
257.50	0.77147
257.75	0.75897
258.00	0.74804
258.25	0.74059
258.50	0.72938
258.75	0.71671
259.00	0.70817
259.25	0.69667
259.50	0.68619
259.75	0.67401
260.00	0.66285
260.25	0.65297
260.50	0.63986
260.75	0.63002
261.00	0.61943
261.25	0.60757
261.50	0.59696
261.75	0.58714
262.00	0.57436
262.25	0.56419
262.50	0.55457
262.75	0.54476
263.00	0.53371
263.25	0.52345
263.50	0.51300
263.75	0.50598
264.00	0.49406
264.25	0.48330
264.50	0.47361
264.75	0.46349
265.00	0.45390
265.25	0.44443
265.50	0.43417
265.75	0.42713
266.00	0.41976
266.25	0.40894
266.50	0.39986
266.75	0.39147
267.00	0.38184
267.25	0.37410
267.50	0.36703
267.75	0.35968
268.00	0.35146
268.25	0.34391
268.50	0.33433
268.75	0.32788
269.00	0.32115
269.25	0.31261
269.50	0.30507
269.75	0.29982
270.00	0.29192
270.25	0.28539
270.50	0.27895
270.75	0.27108
271.00	0.26472
271.25	0.25861
271.50	0.25028
271.75	0.24341
272.00	0.23813
272.25	0.23030
272.50	0.22401
272.75	0.21997
273.00	0.21273
273.25	0.20518
273.50	0.20110
273.75	0.19315
274.00	0.18798
274.25	0.18090
274.50	0.17511
274.75	0.16847
275.00	0.16400
275.25	0.15603
275.50	0.14923
275.75	0.14115
276.00	0.13720
276.25	0.13131
276.50	0.12699
276.75	0.12364
277.00	0.11963
277.25	0.11549
277.50	0.11206
277.75	0.10557
278.00	0.10132
278.25	0.097710
278.50	0.093775
278.75	0.091673
279.00	0.087159
279.25	0.083103
279.50	0.080795
279.75	0.074404
280.00	0.071723
280.25	0.068136
280.50	0.064921
280.75	0.060395
281.00	0.058498
281.25	0.054808
281.50	0.050912
281.75	0.048951
282.00	0.044065
282.25	0.043146
282.50	0.039931
282.75	0.037732
283.00	0.037392
283.25	0.034653
283.50	0.031567
283.75	0.029452
284.00	0.027150
284.25	0.026076
284.50	0.025318
284.75	0.022810
285.00	0.022521
285.25	0.021428
285.50	0.020515
285.75	0.019056
286.00	0.016928
286.25	0.017249
286.50	0.016979
286.75	0.015353
287.00	0.013855
287.25	0.013180
287.50	0.012537
287.75	0.012222
288.00	0.012440
288.25	0.011714
288.50	0.010068
288.75	0.010640
289.00	0.0089043
289.25	0.0087822
289.50	0.0097658
289.75	0.0079721
290.00	0.0075478
290.25	0.0066156
290.50	0.0066413
290.75	0.0066284
291.00	0.0075928
291.25	0.0066863
291.50	0.0052912
291.75	0.0064613
292.00	0.0060305
292.25	0.0048154
292.50	0.0053297
292.75	0.0052590
293.00	0.0047254
293.25	0.0047640
293.50	0.0050919
293.75	0.0054197
294.00	0.0049954
294.25	0.0025716
294.50	0.0040889
294.75	0.0024109
295.00	0.0029510
295.25	0.0030667
295.50	0.0038253
295.75	0.0027838
296.00	0.0032210
296.25	0.0031503
296.50	0.0017937
296.75	0.0026359
297.00	0.0028931
297.25	0.0036646
297.50	0.0033110
297.75	0.0028674
298.00	0.0025588
298.25	0.0017809
298.50	0.0026295
298.75	0.0024688
299.00	0.0022502
299.25	0.0011122
299.50	0.0021795
299.75	0.0016330
300.00	0.0029317
300.25	0.0015687
300.50	0.00079078
300.75	0.0015816
301.00	0.0018516
301.25	0.0035232
301.50	0.0022566
301.75	0.0028224
302.00	0.0027838
302.25	0.0023466
302.50	0.0024109
302.75	0.0021795
303.00	0.0031760
303.25	0.0019544
303.50	0.0031503
303.75	0.0030538
304.00	0.0019995
304.25	0.0010929
304.50	0.0013373
304.75	0.0017873
305.00	0.0012087
305.25	0.0012987
305.50	0.0020573
305.75	0.0024495
306.00	0.00091936
306.25	0.0015558
306.50	-0.00010287
306.75	0.0031245
307.00	0.0029702
307.25	0.0014208
307.50	0.0030410
