Wavelength (nm)	B01 ems
250.00	0.013804
250.50	0.010253
251.00	0.0081302
251.50	0.0050548
252.00	0.0050115
252.50	0.0018062
253.00	0.0030190
253.50	0.0016330
254.00	0.0021094
254.50	0.0013731
255.00	0.0021094
255.50	0.0018929
256.00	0.00076667
256.50	0.0020228
257.00	0.0025859
257.50	0.0021527
258.00	0.0021094
258.50	0.0018929
259.00	0.0033656
259.50	0.0021961
260.00	0.0021527
260.50	0.0025426
261.00	0.0018062
261.50	0.0028891
262.00	0.00089662
262.50	0.0025859
263.00	0.0026725
263.50	0.0024993
264.00	0.0018062
264.50	0.0039720
265.00	0.0042319
265.50	0.0058778
266.00	0.0044917
266.50	0.0070906
267.00	0.0077404
267.50	0.0068307
268.00	0.0082168
268.50	0.0085633
269.00	0.0066142
269.50	0.0087799
270.00	0.0062677
270.50	0.0076104
271.00	0.0092564
271.50	0.010642
272.00	0.010772
272.50	0.013371
273.00	0.013934
273.50	0.013978
274.00	0.015580
274.50	0.018049
275.00	0.017529
275.50	0.017529
276.00	0.017746
276.50	0.019132
277.00	0.018786
277.50	0.019435
278.00	0.021514
278.50	0.021601
279.00	0.021558
279.50	0.022641
280.00	0.025499
280.50	0.027015
281.00	0.032300
281.50	0.033816
282.00	0.037671
282.50	0.040053
283.00	0.042609
283.50	0.045381
284.00	0.045121
284.50	0.049582
285.00	0.050795
285.50	0.055647
286.00	0.059588
286.50	0.069810
287.00	0.078300
287.50	0.098138
288.00	0.10225
288.50	0.12361
289.00	0.13036
289.50	0.14960
290.00	0.15917
290.50	0.17130
291.00	0.18269
291.50	0.19239
292.00	0.20045
292.50	0.21825
293.00	0.21725
293.50	0.24441
294.00	0.25126
294.50	0.27625
295.00	0.29033
295.50	0.31393
296.00	0.32186
296.50	0.35998
297.00	0.37154
297.50	0.41117
298.00	0.42586
298.50	0.46376
299.00	0.49464
299.50	0.55736
300.00	0.58721
300.50	0.65105
301.00	0.68479
301.50	0.74301
302.00	0.75418
302.50	0.76848
303.00	0.76103
303.50	0.75475
304.00	0.73746
304.50	0.72005
305.00	0.70164
305.50	0.67526
306.00	0.67080
306.50	0.66413
307.00	0.66127
307.50	0.66132
308.00	0.66855
308.50	0.68176
309.00	0.70104
309.50	0.73638
310.00	0.74790
310.50	0.79122
311.00	0.80326
311.50	0.82431
312.00	0.83471
312.50	0.84294
313.00	0.83770
313.50	0.83211
314.00	0.81677
314.50	0.79040
315.00	0.77883
315.50	0.77606
316.00	0.75249
316.50	0.75319
317.00	0.74972
317.50	0.75336
318.00	0.74634
318.50	0.75878
319.00	0.77017
319.50	0.78866
320.00	0.80274
320.50	0.81738
321.00	0.83133
321.50	0.86620
322.00	0.88110
322.50	0.91319
323.00	0.93212
323.50	0.96456
324.00	0.98696
324.50	0.98037
325.00	0.99155
325.50	1.00000
326.00	0.99757
326.50	0.99493
327.00	0.98869
327.50	0.96981
328.00	0.96119
328.50	0.93901
329.00	0.93151
329.50	0.89288
330.00	0.89149
330.50	0.86451
331.00	0.85290
331.50	0.83804
332.00	0.83609
332.50	0.80945
333.00	0.80109
333.50	0.78645
334.00	0.77996
334.50	0.78247
335.00	0.78671
335.50	0.78338
336.00	0.78160
336.50	0.77965
337.00	0.77805
337.50	0.77251
338.00	0.78212
338.50	0.77285
339.00	0.78117
339.50	0.76116
340.00	0.75622
340.50	0.75639
341.00	0.73824
341.50	0.72473
342.00	0.71412
342.50	0.70221
343.00	0.67739
343.50	0.66639
344.00	0.64919
344.50	0.62814
345.00	0.62238
345.50	0.60367
346.00	0.60215
346.50	0.57464
347.00	0.56689
347.50	0.55515
348.00	0.53514
348.50	0.50972
349.00	0.50491
349.50	0.49308
350.00	0.49204
350.50	0.47905
351.00	0.46363
351.50	0.45709
352.00	0.44665
352.50	0.44245
353.00	0.43162
353.50	0.42495
354.00	0.41234
354.50	0.39935
355.00	0.39320
355.50	0.38887
356.00	0.37787
356.50	0.38007
357.00	0.36595
357.50	0.35846
358.00	0.35201
358.50	0.34191
359.00	0.34009
359.50	0.32320
360.00	0.32143
360.50	0.30990
361.00	0.29730
361.50	0.28305
362.00	0.28305
362.50	0.26936
363.00	0.25407
363.50	0.25199
364.00	0.24580
364.50	0.23601
365.00	0.23047
365.50	0.22185
366.00	0.21418
366.50	0.20781
367.00	0.20881
367.50	0.19625
368.00	0.19430
368.50	0.18178
369.00	0.18711
369.50	0.17325
370.00	0.17238
370.50	0.16697
371.00	0.16567
371.50	0.16311
372.00	0.15588
372.50	0.15436
373.00	0.14730
373.50	0.14327
374.00	0.14786
374.50	0.13747
375.00	0.14180
375.50	0.13582
376.00	0.13361
376.50	0.13153
377.00	0.12603
377.50	0.12278
378.00	0.12040
378.50	0.11759
379.00	0.11152
379.50	0.11360
380.00	0.11274
380.50	0.10780
381.00	0.10706
381.50	0.096406
382.00	0.093764
382.50	0.092594
383.00	0.089865
383.50	0.092681
384.00	0.085404
384.50	0.082285
385.00	0.077607
385.50	0.079470
386.00	0.074099
386.50	0.071846
387.00	0.073752
387.50	0.067601
388.00	0.065999
388.50	0.064180
389.00	0.064959
389.50	0.061841
390.00	0.059545
390.50	0.057249
391.00	0.057682
391.50	0.056729
392.00	0.053481
392.50	0.052225
393.00	0.051748
393.50	0.052051
394.00	0.050665
394.50	0.050665
395.00	0.046897
395.50	0.049063
396.00	0.047460
396.50	0.048500
397.00	0.048283
397.50	0.044125
398.00	0.045814
398.50	0.041223
399.00	0.042912
399.50	0.043085
400.00	0.047157
