Wavelength (nm)	B02 abs N
220.00	0.48115
220.25	0.46255
220.50	0.45354
220.75	0.44287
221.00	0.42804
221.25	0.41522
221.50	0.40496
221.75	0.39961
222.00	0.38389
222.25	0.37363
222.50	0.36623
222.75	0.35372
223.00	0.34506
223.25	0.33488
223.50	0.32534
223.75	0.31372
224.00	0.30283
224.25	0.29776
224.50	0.28566
224.75	0.27862
225.00	0.27088
225.25	0.25820
225.50	0.25013
225.75	0.24097
226.00	0.23339
226.25	0.22739
226.50	0.21993
226.75	0.21184
227.00	0.20685
227.25	0.19702
227.50	0.19057
227.75	0.18577
228.00	0.18015
228.25	0.17273
228.50	0.16632
228.75	0.15891
229.00	0.15514
229.25	0.14912
229.50	0.14604
229.75	0.14117
230.00	0.13899
230.25	0.13544
230.50	0.13268
230.75	0.13002
231.00	0.12415
231.25	0.12303
231.50	0.12310
231.75	0.12062
232.00	0.11966
232.25	0.11780
232.50	0.11537
232.75	0.11490
233.00	0.11712
233.25	0.11458
233.50	0.11427
233.75	0.11561
234.00	0.11385
234.25	0.11589
234.50	0.11612
234.75	0.11643
235.00	0.11772
235.25	0.11812
235.50	0.12061
235.75	0.12248
236.00	0.12419
236.25	0.12515
236.50	0.12911
236.75	0.13117
237.00	0.13317
237.25	0.13479
237.50	0.13844
237.75	0.14028
238.00	0.14478
238.25	0.14744
238.50	0.15090
238.75	0.15215
239.00	0.15498
239.25	0.16036
239.50	0.16385
239.75	0.16713
240.00	0.17174
240.25	0.17570
240.50	0.18024
240.75	0.18407
241.00	0.18728
241.25	0.19211
241.50	0.19579
241.75	0.20063
242.00	0.20450
242.25	0.21125
242.50	0.21565
242.75	0.22168
243.00	0.22706
243.25	0.23124
243.50	0.23758
243.75	0.24194
244.00	0.24661
244.25	0.25351
244.50	0.25663
244.75	0.26364
245.00	0.27015
245.25	0.27401
245.50	0.28426
245.75	0.28854
246.00	0.29323
246.25	0.30173
246.50	0.30946
246.75	0.31311
247.00	0.31975
247.25	0.32650
247.50	0.33280
247.75	0.34082
248.00	0.34762
248.25	0.35545
248.50	0.36175
248.75	0.36844
249.00	0.37644
249.25	0.38480
249.50	0.39071
249.75	0.39983
250.00	0.40614
250.25	0.41299
250.50	0.42165
250.75	0.42813
251.00	0.43835
251.25	0.44290
251.50	0.45295
251.75	0.46282
252.00	0.46999
252.25	0.47723
252.50	0.48518
252.75	0.49264
253.00	0.50132
253.25	0.51145
253.50	0.51760
253.75	0.52481
254.00	0.53435
254.25	0.53970
254.50	0.54408
254.75	0.54986
255.00	0.55764
255.25	0.56933
255.50	0.57458
255.75	0.58310
256.00	0.59121
256.25	0.60190
256.50	0.61014
256.75	0.61706
257.00	0.62654
257.25	0.63382
257.50	0.64130
257.75	0.65181
258.00	0.66032
258.25	0.66799
258.50	0.67577
258.75	0.68483
259.00	0.69458
259.25	0.70294
259.50	0.70777
259.75	0.71754
260.00	0.72604
260.25	0.73571
260.50	0.74397
260.75	0.74836
261.00	0.75616
261.25	0.76592
261.50	0.77585
261.75	0.78063
262.00	0.78728
262.25	0.79626
262.50	0.80527
262.75	0.81115
263.00	0.81917
263.25	0.82728
263.50	0.83424
263.75	0.83988
264.00	0.84560
264.25	0.85146
264.50	0.85868
264.75	0.86811
265.00	0.87137
265.25	0.87636
265.50	0.88262
265.75	0.88905
266.00	0.89625
266.25	0.89952
266.50	0.90511
266.75	0.91117
267.00	0.91550
267.25	0.91975
267.50	0.92571
267.75	0.93268
268.00	0.93675
268.25	0.93912
268.50	0.94396
268.75	0.94854
269.00	0.94852
269.25	0.95605
269.50	0.96283
269.75	0.96450
270.00	0.96587
270.25	0.97065
270.50	0.97345
270.75	0.97551
271.00	0.97899
271.25	0.97932
271.50	0.98031
271.75	0.98737
272.00	0.98667
272.25	0.98509
272.50	0.98933
272.75	0.98949
273.00	0.99113
273.25	0.99376
273.50	0.99335
273.75	0.99374
274.00	0.99392
274.25	0.99688
274.50	0.99704
274.75	0.99841
275.00	0.99776
275.25	0.99734
275.50	0.99864
275.75	0.99792
276.00	0.99881
276.25	1.00000
276.50	0.99710
276.75	0.99637
277.00	0.99515
277.25	0.99665
277.50	0.99196
277.75	0.99442
278.00	0.99280
278.25	0.98938
278.50	0.98420
278.75	0.98522
279.00	0.98245
279.25	0.97881
279.50	0.97637
279.75	0.97835
280.00	0.97303
280.25	0.97189
280.50	0.96764
280.75	0.96166
281.00	0.96247
281.25	0.95791
281.50	0.95519
281.75	0.95142
282.00	0.94489
282.25	0.94265
282.50	0.93430
282.75	0.93236
283.00	0.92746
283.25	0.92374
283.50	0.91849
283.75	0.91555
284.00	0.90874
284.25	0.90181
284.50	0.89708
284.75	0.89177
285.00	0.88670
285.25	0.87990
285.50	0.87417
285.75	0.86723
