Wavelength (nm)	B03 abs N
220.00	0.64197
220.25	0.62429
220.50	0.60353
220.75	0.60079
221.00	0.58297
221.25	0.56342
221.50	0.54721
221.75	0.53542
222.00	0.51762
222.25	0.50362
222.50	0.49002
222.75	0.47441
223.00	0.45875
223.25	0.44401
223.50	0.43704
223.75	0.41961
224.00	0.40665
224.25	0.39301
224.50	0.37713
224.75	0.36685
225.00	0.35501
225.25	0.34092
225.50	0.33187
225.75	0.32055
226.00	0.30530
226.25	0.29418
226.50	0.28358
226.75	0.27289
227.00	0.26354
227.25	0.25366
227.50	0.24740
227.75	0.23749
228.00	0.22891
228.25	0.22129
228.50	0.21316
228.75	0.20587
229.00	0.19775
229.25	0.19301
229.50	0.18738
229.75	0.17943
230.00	0.16927
230.25	0.16662
230.50	0.15962
230.75	0.15582
231.00	0.15145
231.25	0.14617
231.50	0.14179
231.75	0.14003
232.00	0.13901
232.25	0.13118
232.50	0.13091
232.75	0.12840
233.00	0.12528
233.25	0.12202
233.50	0.11772
233.75	0.11559
234.00	0.11526
234.25	0.11334
234.50	0.10909
234.75	0.10656
235.00	0.10469
235.25	0.10549
235.50	0.10452
235.75	0.10322
236.00	0.10251
236.25	0.10159
236.50	0.10270
236.75	0.10021
237.00	0.096375
237.25	0.098368
237.50	0.098398
237.75	0.096699
238.00	0.096552
238.25	0.095659
238.50	0.094156
238.75	0.094579
239.00	0.096218
239.25	0.095148
239.50	0.095963
239.75	0.095413
240.00	0.098339
240.25	0.097396
240.50	0.096719
240.75	0.098084
241.00	0.097652
241.25	0.098702
241.50	0.098987
241.75	0.10023
242.00	0.099331
242.25	0.097711
242.50	0.10045
242.75	0.10120
243.00	0.10034
243.25	0.10171
243.50	0.10361
243.75	0.10388
244.00	0.10543
244.25	0.10622
244.50	0.10768
244.75	0.10985
245.00	0.11001
245.25	0.11152
245.50	0.11381
245.75	0.11187
246.00	0.11644
246.25	0.11534
246.50	0.11765
246.75	0.11592
247.00	0.11956
247.25	0.12240
247.50	0.12424
247.75	0.12504
248.00	0.12541
248.25	0.12815
248.50	0.12964
248.75	0.13175
249.00	0.13484
249.25	0.13595
249.50	0.13775
249.75	0.13869
250.00	0.14289
250.25	0.14572
250.50	0.14692
250.75	0.14910
251.00	0.15225
251.25	0.15545
251.50	0.15687
251.75	0.16026
252.00	0.16302
252.25	0.16446
252.50	0.16929
252.75	0.17069
253.00	0.17317
253.25	0.17811
253.50	0.18001
253.75	0.18248
254.00	0.18663
254.25	0.19072
254.50	0.19426
254.75	0.19472
255.00	0.19763
255.25	0.20159
255.50	0.20487
255.75	0.20757
256.00	0.21280
256.25	0.21603
256.50	0.22011
256.75	0.22238
257.00	0.22817
257.25	0.23135
257.50	0.23680
257.75	0.23906
258.00	0.24499
258.25	0.25247
258.50	0.25356
258.75	0.26225
259.00	0.26456
259.25	0.27058
259.50	0.27406
259.75	0.27992
260.00	0.28438
260.25	0.29005
260.50	0.29445
260.75	0.30165
261.00	0.30601
261.25	0.31453
261.50	0.31986
261.75	0.32464
262.00	0.33029
262.25	0.33615
262.50	0.34144
262.75	0.34732
263.00	0.35220
263.25	0.35980
263.50	0.36326
263.75	0.37202
264.00	0.38153
264.25	0.38452
264.50	0.38978
264.75	0.39675
265.00	0.40476
265.25	0.41339
265.50	0.41756
265.75	0.42232
266.00	0.42957
266.25	0.43477
266.50	0.44007
266.75	0.44890
267.00	0.45379
267.25	0.46128
267.50	0.46814
267.75	0.47333
268.00	0.48354
268.25	0.48992
268.50	0.49712
268.75	0.50472
269.00	0.51124
269.25	0.51669
269.50	0.52621
269.75	0.53042
270.00	0.53798
270.25	0.54408
270.50	0.55133
270.75	0.55772
271.00	0.56449
271.25	0.57116
271.50	0.57695
271.75	0.58690
272.00	0.59321
272.25	0.60088
272.50	0.60491
272.75	0.61357
273.00	0.62272
273.25	0.62910
273.50	0.63695
273.75	0.64132
274.00	0.64635
274.25	0.65552
274.50	0.66139
274.75	0.66745
275.00	0.67670
275.25	0.68210
275.50	0.69045
275.75	0.69564
276.00	0.70892
276.25	0.71517
276.50	0.72030
276.75	0.72855
277.00	0.73052
277.25	0.74037
277.50	0.74500
277.75	0.75151
278.00	0.75679
278.25	0.76379
278.50	0.77004
278.75	0.77657
279.00	0.78144
279.25	0.78757
279.50	0.79413
279.75	0.80201
280.00	0.80672
280.25	0.81233
280.50	0.81336
280.75	0.82174
281.00	0.82805
281.25	0.83062
281.50	0.83641
281.75	0.84337
282.00	0.85150
282.25	0.85538
282.50	0.85969
282.75	0.86776
283.00	0.87300
283.25	0.87833
283.50	0.88177
283.75	0.88549
284.00	0.89209
284.25	0.89559
284.50	0.90191
284.75	0.90416
285.00	0.91020
285.25	0.91546
285.50	0.91631
285.75	0.92196
286.00	0.92488
286.25	0.93316
286.50	0.93683
286.75	0.93835
287.00	0.94393
287.25	0.94757
287.50	0.94752
287.75	0.95463
288.00	0.95328
288.25	0.96034
288.50	0.96167
288.75	0.96691
289.00	0.97024
289.25	0.97041
289.50	0.97556
289.75	0.97507
290.00	0.98222
290.25	0.98085
290.50	0.98278
290.75	0.98815
291.00	0.98863
291.25	0.98945
291.50	0.99188
291.75	0.99301
292.00	0.99494
292.25	0.99282
292.50	0.99516
292.75	0.99770
293.00	0.99808
293.25	0.99688
293.50	0.99799
293.75	0.99727
294.00	0.99661
294.25	0.99741
294.50	0.99583
294.75	1.0000
295.00	0.99600
295.25	0.99483
295.50	0.99616
295.75	0.99190
296.00	0.99208
296.25	0.99057
296.50	0.98799
296.75	0.98628
297.00	0.98173
297.25	0.98128
297.50	0.97987
297.75	0.97868
298.00	0.97167
298.25	0.97243
298.50	0.96973
298.75	0.97061
299.00	0.96112
299.25	0.96309
299.50	0.95338
299.75	0.95278
300.00	0.94871
300.25	0.94776
300.50	0.93883
300.75	0.93449
301.00	0.93130
301.25	0.92724
301.50	0.91979
301.75	0.91140
302.00	0.91148
302.25	0.90085
302.50	0.89886
302.75	0.88948
303.00	0.88203
303.25	0.87880
303.50	0.87373
303.75	0.87046
304.00	0.86046
304.25	0.85507
304.50	0.84890
304.75	0.83886
305.00	0.83303
305.25	0.82933
305.50	0.81888
305.75	0.81242
306.00	0.80396
306.25	0.79816
306.50	0.78974
306.75	0.78376
307.00	0.77599
307.25	0.76846
307.50	0.75942
307.75	0.75264
308.00	0.74473
308.25	0.73794
308.50	0.72981
308.75	0.72100
309.00	0.71179
309.25	0.70368
309.50	0.70059
309.75	0.70529
310.00	0.68419
310.25	0.68098
310.50	0.66869
310.75	0.65878
311.00	0.65910
311.25	0.64451
311.50	0.63470
311.75	0.62420
312.00	0.62181
312.25	0.60477
312.50	0.60978
312.75	0.59348
313.00	0.58632
313.25	0.58518
313.50	0.55644
313.75	0.55779
314.00	0.55841
314.25	0.54753
314.50	0.54074
314.75	0.53311
315.00	0.51521
315.25	0.50275
315.50	0.49611
315.75	0.49250
316.00	0.47386
316.25	0.46754
316.50	0.46420
316.75	0.44803
317.00	0.44046
317.25	0.44022
317.50	0.43582
317.75	0.41768
318.00	0.41571
318.25	0.41162
318.50	0.40776
318.75	0.39519
319.00	0.38369
319.25	0.38101
319.50	0.37945
319.75	0.36104
320.00	0.36033
320.25	0.35203
320.50	0.34156
320.75	0.33662
321.00	0.33024
321.25	0.31800
321.50	0.31490
321.75	0.30429
322.00	0.29815
322.25	0.29547
322.50	0.28645
322.75	0.28009
323.00	0.27310
323.25	0.26930
323.50	0.26226
323.75	0.25853
324.00	0.25145
324.25	0.24188
324.50	0.23297
324.75	0.23425
325.00	0.23244
325.25	0.22206
325.50	0.21429
325.75	0.21452
326.00	0.20452
326.25	0.19533
326.50	0.19094
326.75	0.18520
327.00	0.18749
327.25	0.17656
327.50	0.18022
327.75	0.16865
328.00	0.16444
328.25	0.15965
328.50	0.15235
328.75	0.14945
329.00	0.14776
329.25	0.14066
329.50	0.13552
329.75	0.12933
330.00	0.13071
330.25	0.12291
330.50	0.12676
330.75	0.11773
331.00	0.10913
331.25	0.11041
331.50	0.10377
331.75	0.10086
332.00	0.098103
332.25	0.092212
332.50	0.098565
332.75	0.085526
333.00	0.081687
333.25	0.085968
333.50	0.080097
333.75	0.071535
334.00	0.076170
334.25	0.076179
334.50	0.063946
334.75	0.066990
335.00	0.061599
335.25	0.060421
335.50	0.059076
335.75	0.063357
336.00	0.056798
336.25	0.053519
336.50	0.050691
336.75	0.044908
337.00	0.048983
337.25	0.043956
337.50	0.042817
337.75	0.043033
338.00	0.042807
338.25	0.042454
338.50	0.038870
338.75	0.033775
339.00	0.035807
339.25	0.032911
339.50	0.029131
339.75	0.026352
340.00	0.026372
340.25	0.028021
340.50	0.027835
340.75	0.021639
341.00	0.023181
341.25	0.024339
341.50	0.020284
341.75	0.025056
342.00	0.018311
342.25	0.018939
342.50	0.015650
342.75	0.0094451
343.00	0.014649
343.25	0.015297
343.50	0.015081
343.75	0.013392
344.00	0.013137
344.25	0.017899
344.50	0.015415
344.75	0.013755
345.00	0.0075698
345.25	0.0095236
345.50	0.0097691
345.75	0.0095236
346.00	0.013412
346.25	0.011144
346.50	0.0073146
346.75	0.0088167
347.00	0.0098771
347.25	0.0057633
347.50	0.0065586
347.75	0.0074422
348.00	0.0061756
348.25	0.0035444
348.50	0.0060382
348.75	0.00054982
349.00	0.0050760
349.25	0.0067647
349.50	0.0063425
349.75	0.0036622
350.00	0.0039764
350.25	0.0054491
350.50	0.0043691
350.75	0.0049778
351.00	0.0033284
351.25	0.0048207
351.50	0.0026215
351.75	0.0082473
352.00	0.0038193
352.25	0.0065684
352.50	0.0074815
352.75	0.0056651
353.00	0.0047225
353.25	0.00061855
353.50	0.0022385
353.75	0.0043887
354.00	0.0053215
354.25	0.0027982
354.50	0.0033087
354.75	0.0034462
355.00	0.0017673
355.25	0.0025625
355.50	-0.00029455
355.75	-0.00078546
356.00	0.0043004
356.25	0.0011978
356.50	0.0067549
356.75	0.0037702
357.00	0.0026313
357.25	0.0045065
357.50	0.0039273
357.75	0.0024447
358.00	-0.00088364
358.25	0.0012076
358.50	0.0044084
358.75	0.0010211
359.00	-0.0016102
359.25	0.0030927
359.50	0.00060873
359.75	0.0019145
360.00	-0.00036327
360.25	0.00046145
360.50	0.0012862
360.75	0.0031615
361.00	0.0025527
361.25	0.0019833
361.50	0.0041040
361.75	0.00038291
362.00	0.0040942
362.25	0.0028571
362.50	0.0047618
362.75	0.00099164
363.00	0.0017182
363.25	0.0044280
363.50	0.0043691
363.75	0.0024251
364.00	0.0030829
364.25	0.0023073
364.50	0.00047127
364.75	0.0014825
365.00	0.0038880
365.25	0.0024447
365.50	0.0037996
365.75	0.0023073
366.00	0.0011684
366.25	0.0037113
366.50	0.0010996
366.75	0.00047127
367.00	0.00075600
367.25	0.0015807
367.50	0.0033284
367.75	0.0012862
368.00	0.0015807
368.25	0.0017967
368.50	0.0018949
368.75	0.0041433
369.00	0.0018655
369.25	0.0013647
369.50	0.0011487
369.75	0.0045753
370.00	-0.00018655
370.25	0.0028178
370.50	0.0030044
370.75	0.0012764
371.00	0.0033676
371.25	0.0013549
371.50	0.0025429
371.75	0.0025429
372.00	0.0023269
372.25	0.0031124
372.50	1.9636e-05
372.75	0.0022975
373.00	0.00054982
373.25	-0.00086400
373.50	0.0011684
373.75	0.0033284
374.00	0.0042611
374.25	0.0035738
374.50	0.0016691
374.75	0.00018655
375.00	0.0026705
375.25	0.0021305
375.50	0.0012175
375.75	0.00094255
376.00	0.0022189
376.25	0.0020520
376.50	0.00022582
376.75	0.00063818
377.00	0.00038291
377.25	-0.00041236
377.50	9.8182e-05
377.75	0.0020029
378.00	0.00070691
378.25	0.0016004
378.50	0.0034265
378.75	0.0033087
379.00	0.0016985
379.25	-0.00071673
379.50	0.0038880
379.75	8.8364e-05
380.00	-0.0018851
380.25	0.0031516
380.50	0.0026116
