Wavelength (nm)	B04 abs N
270.00	0.19772
271.00	0.21504
272.00	0.23322
273.00	0.24867
274.00	0.26461
275.00	0.28014
276.00	0.29744
277.00	0.31577
278.00	0.33383
279.00	0.35375
280.00	0.37439
281.00	0.39563
282.00	0.41723
283.00	0.43999
284.00	0.46277
285.00	0.48582
286.00	0.51033
287.00	0.53527
288.00	0.55976
289.00	0.58576
290.00	0.61067
291.00	0.63659
292.00	0.66235
293.00	0.68825
294.00	0.71363
295.00	0.73938
296.00	0.76410
297.00	0.78771
298.00	0.81234
299.00	0.83535
300.00	0.85669
301.00	0.87860
302.00	0.89895
303.00	0.91595
304.00	0.93302
305.00	0.94699
306.00	0.95939
307.00	0.97182
308.00	0.98289
309.00	0.98955
310.00	0.99557
311.00	0.99942
312.00	1.0000
313.00	0.99920
314.00	0.99597
315.00	0.99186
316.00	0.98276
317.00	0.97307
318.00	0.96008
319.00	0.94696
320.00	0.93073
321.00	0.91222
322.00	0.89310
323.00	0.86981
324.00	0.84662
325.00	0.82150
326.00	0.79588
327.00	0.76834
328.00	0.73971
329.00	0.71066
330.00	0.68009
331.00	0.64926
332.00	0.61833
333.00	0.58704
334.00	0.55532
335.00	0.52444
336.00	0.49313
337.00	0.46151
338.00	0.43107
339.00	0.40234
340.00	0.37319
341.00	0.34529
342.00	0.31814
343.00	0.29205
344.00	0.26662
345.00	0.24326
346.00	0.21987
347.00	0.19855
348.00	0.17885
349.00	0.15980
350.00	0.14222
351.00	0.12593
352.00	0.11039
353.00	0.096942
354.00	0.084461
355.00	0.073015
356.00	0.062525
357.00	0.054109
358.00	0.046423
359.00	0.039117
360.00	0.033004
361.00	0.027671
362.00	0.022663
363.00	0.018490
364.00	0.014523
365.00	0.012070
366.00	0.0091977
367.00	0.0075609
368.00	0.0057237
369.00	0.0046515
370.00	0.0032548
371.00	0.0031445
372.00	0.0021648
373.00	0.0013802
374.00	0.00036725
375.00	0.00055099
376.00	0.0019922
377.00	0.0011522
378.00	0.0013248
379.00	0.0015654
380.00	0.0014291
381.00	0.0014355
382.00	0.0015164
383.00	0.00093457
384.00	0.00070661
385.00	0.0014997
386.00	0.0016319
387.00	0.0014677
388.00	0.0017555
389.00	0.00071146
390.00	0.0014052
391.00	0.00094849
392.00	0.0013353
393.00	0.0016088
394.00	0.00069074
395.00	0.00068816
396.00	0.00083299
397.00	0.00081409
398.00	0.00086132
399.00	0.00096813
400.00	0.00042532
