Wavelength (nm)	B05 abs N
210.00	0.82413
211.00	0.79165
212.00	0.75577
213.00	0.71500
214.00	0.67269
215.00	0.62846
216.00	0.59011
217.00	0.55793
218.00	0.52805
219.00	0.50021
220.00	0.46924
221.00	0.43840
222.00	0.41048
223.00	0.38996
224.00	0.37750
225.00	0.37246
226.00	0.37296
227.00	0.37770
228.00	0.38513
229.00	0.39463
230.00	0.40615
231.00	0.41990
232.00	0.43716
233.00	0.45802
234.00	0.48214
235.00	0.51109
236.00	0.54340
237.00	0.57962
238.00	0.61835
239.00	0.65763
240.00	0.69878
241.00	0.74015
242.00	0.77992
243.00	0.81889
244.00	0.85560
245.00	0.88890
246.00	0.91891
247.00	0.94544
248.00	0.96705
249.00	0.98285
250.00	0.99354
251.00	1.00000
252.00	0.99986
253.00	0.99495
254.00	0.98434
255.00	0.96965
256.00	0.95035
257.00	0.92756
258.00	0.90060
259.00	0.87148
260.00	0.83877
261.00	0.80359
262.00	0.76729
263.00	0.73033
264.00	0.69146
265.00	0.65233
266.00	0.61388
267.00	0.57679
268.00	0.53964
269.00	0.50346
270.00	0.46681
271.00	0.43248
272.00	0.39899
273.00	0.36687
274.00	0.33606
275.00	0.30647
276.00	0.27759
277.00	0.24998
278.00	0.22371
279.00	0.19937
280.00	0.17689
281.00	0.15631
282.00	0.13787
283.00	0.12091
284.00	0.10497
285.00	0.090415
286.00	0.076549
287.00	0.063678
288.00	0.051745
289.00	0.041395
290.00	0.033101
291.00	0.027194
292.00	0.022978
293.00	0.020195
294.00	0.018312
295.00	0.016991
296.00	0.015789
297.00	0.014996
298.00	0.014498
299.00	0.013826
300.00	0.013397
301.00	0.012860
302.00	0.012185
303.00	0.011717
304.00	0.011267
305.00	0.010557
306.00	0.010091
307.00	0.0093638
308.00	0.0087498
309.00	0.0080205
310.00	0.0074461
311.00	0.0068883
312.00	0.0064550
313.00	0.0058332
314.00	0.0051855
315.00	0.0047097
316.00	0.0042686
317.00	0.0037804
318.00	0.0031521
319.00	0.0030415
320.00	0.0027501
321.00	0.0025335
322.00	0.0022689
323.00	0.0021389
324.00	0.0018355
325.00	0.0018646
326.00	0.0013146
327.00	0.0013239
328.00	0.0011694
329.00	0.0011233
330.00	0.0010791
331.00	0.0010537
332.00	0.0010053
333.00	0.00092049
334.00	0.00082553
335.00	0.00079419
336.00	0.00095415
337.00	0.00092510
338.00	0.00076975
339.00	0.00075132
340.00	0.00061809
341.00	0.00072412
342.00	0.00066511
343.00	0.00048856
344.00	0.00067479
345.00	0.00055125
346.00	0.00041987
347.00	0.00054249
348.00	0.00049224
349.00	0.00056508
350.00	0.00041895
351.00	0.00054987
352.00	0.00060104
353.00	0.00069554
354.00	0.00068540
355.00	0.00068678
356.00	0.00053512
357.00	0.00069231
358.00	0.0010344
359.00	0.00076376
360.00	0.00048026
361.00	0.00052590
362.00	0.00051068
363.00	0.00068678
364.00	0.00079787
365.00	0.00054526
366.00	0.00063607
367.00	0.00050423
368.00	0.00044292
369.00	0.00061256
370.00	0.00025023
371.00	0.00025945
372.00	0.00050515
373.00	0.00026083
374.00	0.00042310
375.00	0.00072043
376.00	0.00055079
377.00	0.00036778
378.00	0.00044384
379.00	0.00069969
380.00	0.00062178
381.00	0.00066465
382.00	0.00076376
383.00	0.00061763
384.00	0.00050100
385.00	0.00056692
386.00	0.00040512
387.00	0.00025392
388.00	0.00036317
389.00	0.00045214
390.00	0.0010546
391.00	0.00083106
392.00	0.00093386
393.00	0.00067894
394.00	0.00049732
395.00	0.00042632
396.00	0.00063100
397.00	0.00043508
398.00	0.00053143
399.00	0.00029495
400.00	0.00073656
