Wavelength (nm)	B05 ems
315.00	0.018684
316.00	0.018756
317.00	0.023704
318.00	0.032774
319.00	0.033355
320.00	0.044028
321.00	0.056251
322.00	0.062114
323.00	0.081897
324.00	0.095344
325.00	0.12991
326.00	0.14983
327.00	0.18514
328.00	0.20543
329.00	0.26074
330.00	0.29310
331.00	0.34147
332.00	0.39700
333.00	0.45619
334.00	0.51570
335.00	0.57960
336.00	0.61224
337.00	0.68122
338.00	0.71113
339.00	0.76556
340.00	0.81186
341.00	0.85623
342.00	0.89482
343.00	0.90937
344.00	0.93271
345.00	0.95751
346.00	0.96815
347.00	0.98303
348.00	0.99103
349.00	1.0000
350.00	0.98043
351.00	0.97482
352.00	0.99778
353.00	0.94143
354.00	0.94625
355.00	0.95132
356.00	0.94468
357.00	0.92455
358.00	0.90991
359.00	0.91481
360.00	0.88851
361.00	0.88525
362.00	0.86452
363.00	0.85603
364.00	0.81242
365.00	0.79611
366.00	0.77727
367.00	0.74583
368.00	0.72370
369.00	0.69427
370.00	0.68087
371.00	0.65318
372.00	0.61714
373.00	0.58510
374.00	0.54547
375.00	0.51017
376.00	0.46918
377.00	0.43742
378.00	0.41457
379.00	0.38553
380.00	0.36092
381.00	0.33866
382.00	0.31309
383.00	0.29312
384.00	0.27163
385.00	0.25926
386.00	0.24023
387.00	0.22526
388.00	0.21480
389.00	0.19633
390.00	0.18623
391.00	0.17716
392.00	0.16819
393.00	0.15165
394.00	0.14305
395.00	0.13644
396.00	0.12614
397.00	0.12450
398.00	0.11528
399.00	0.11114
400.00	0.10454
401.00	0.096495
402.00	0.088009
403.00	0.096784
404.00	0.082985
405.00	0.077900
406.00	0.076509
407.00	0.074368
408.00	0.073903
409.00	0.068666
410.00	0.065154
411.00	0.057770
412.00	0.054423
413.00	0.049670
414.00	0.048848
415.00	0.045918
416.00	0.046786
417.00	0.036642
418.00	0.033527
419.00	0.032797
420.00	0.029944
421.00	0.027970
422.00	0.021733
423.00	0.020972
424.00	0.023863
425.00	0.022128
426.00	0.016462
427.00	0.016218
428.00	0.016212
429.00	0.012930
430.00	0.013343
431.00	0.0094979
432.00	0.0097770
433.00	0.0096227
434.00	0.011857
435.00	0.010226
436.00	0.0074833
437.00	0.0031074
438.00	0.0046833
439.00	0.0045595
440.00	0.0030843
441.00	0.0013041
442.00	0.0032763
443.00	0.0014804
444.00	0.0012429
445.00	0.00091523
446.00	0.00086497
447.00	0.00063254
448.00	0.00070399
449.00	0.00063257
450.00	0.00075354
