Wavelength (nm)	B06 ems
325.00	0.026024
326.00	0.024489
327.00	0.021614
328.00	0.023472
329.00	0.021693
330.00	0.020240
331.00	0.021276
332.00	0.018767
333.00	0.019496
334.00	0.017011
335.00	0.017799
336.00	0.018575
337.00	0.016182
338.00	0.016687
339.00	0.017822
340.00	0.019237
341.00	0.018672
342.00	0.018712
343.00	0.021624
344.00	0.022824
345.00	0.024103
346.00	0.025725
347.00	0.029731
348.00	0.033717
349.00	0.035905
350.00	0.040470
351.00	0.047098
352.00	0.052560
353.00	0.060398
354.00	0.066401
355.00	0.074629
356.00	0.084751
357.00	0.096862
358.00	0.11214
359.00	0.12790
360.00	0.14337
361.00	0.15951
362.00	0.18056
363.00	0.19341
364.00	0.21517
365.00	0.23743
366.00	0.26215
367.00	0.28698
368.00	0.31443
369.00	0.34408
370.00	0.36980
371.00	0.39956
372.00	0.43294
373.00	0.46876
374.00	0.49389
375.00	0.53644
376.00	0.57348
377.00	0.60729
378.00	0.63592
379.00	0.66546
380.00	0.70476
381.00	0.73431
382.00	0.76541
383.00	0.78583
384.00	0.82551
385.00	0.85012
386.00	0.88194
387.00	0.89099
388.00	0.92296
389.00	0.93820
390.00	0.96106
391.00	0.96641
392.00	0.98007
393.00	0.99572
394.00	0.99814
395.00	0.99452
396.00	1.0000
397.00	0.99514
398.00	0.99247
399.00	0.97479
400.00	0.96625
401.00	0.95769
402.00	0.93732
403.00	0.92620
404.00	0.90940
405.00	0.88117
406.00	0.87019
407.00	0.84225
408.00	0.82749
409.00	0.80871
410.00	0.78909
411.00	0.76357
412.00	0.74045
413.00	0.71531
414.00	0.69273
415.00	0.66933
416.00	0.64542
417.00	0.61907
418.00	0.59457
419.00	0.57433
420.00	0.55024
421.00	0.52791
422.00	0.51013
423.00	0.48658
424.00	0.46918
425.00	0.45114
426.00	0.43041
427.00	0.41489
428.00	0.39630
429.00	0.37835
430.00	0.35937
431.00	0.34506
432.00	0.33205
433.00	0.31589
434.00	0.29857
435.00	0.28601
436.00	0.27126
437.00	0.26289
438.00	0.24430
439.00	0.23352
440.00	0.22079
441.00	0.21200
442.00	0.20263
443.00	0.19507
444.00	0.18498
445.00	0.17279
446.00	0.16568
447.00	0.15617
448.00	0.14936
449.00	0.14280
450.00	0.13731
451.00	0.12822
452.00	0.12244
453.00	0.11871
454.00	0.11099
455.00	0.10639
456.00	0.10238
457.00	0.098707
458.00	0.091003
459.00	0.085454
460.00	0.080810
461.00	0.076059
462.00	0.073685
463.00	0.070371
464.00	0.067872
465.00	0.064257
466.00	0.060257
467.00	0.057845
468.00	0.054359
469.00	0.050189
470.00	0.048467
471.00	0.045236
472.00	0.043107
473.00	0.040731
474.00	0.039012
475.00	0.038722
476.00	0.036603
477.00	0.031914
478.00	0.030324
479.00	0.028937
480.00	0.028336
481.00	0.026860
482.00	0.024272
483.00	0.023563
484.00	0.023744
485.00	0.022155
486.00	0.020224
487.00	0.018768
488.00	0.017197
489.00	0.017602
490.00	0.017085
491.00	0.015632
492.00	0.014512
493.00	0.013508
494.00	0.012969
495.00	0.011807
496.00	0.011002
497.00	0.011346
498.00	0.010881
499.00	0.0091914
500.00	0.0092221
501.00	0.0091971
502.00	0.0080139
503.00	0.0069821
504.00	0.0074936
505.00	0.0066670
506.00	0.0068035
507.00	0.0057309
508.00	0.0052793
509.00	0.0056401
510.00	0.0052393
511.00	0.0038192
512.00	0.0038501
513.00	0.0039249
514.00	0.0041860
515.00	0.0030988
516.00	0.0033267
517.00	0.0036429
518.00	0.0028708
519.00	0.0030990
520.00	0.0018839
521.00	0.0021128
522.00	0.0027822
523.00	0.0028785
524.00	0.0010929
525.00	0.0011567
526.00	0.0022214
527.00	0.00066869
528.00	0.0018206
529.00	0.0013349
530.00	0.0019367
531.00	0.0016486
532.00	0.00075716
533.00	0.0013473
534.00	0.0011036
535.00	0.00046556
536.00	0.00058399
537.00	0.0014581
538.00	0.0010724
539.00	0.0014531
540.00	0.0013084
541.00	0.0013569
542.00	0.0026984
543.00	0.0021119
544.00	0.0021172
545.00	0.0020895
546.00	0.0016442
547.00	0.0014292
548.00	0.0014669
549.00	0.0013946
550.00	0.0010246
