Wavelength (nm)	B07 ems
325.00	0.011974
326.00	0.012178
327.00	0.011414
328.00	0.011565
329.00	0.011408
330.00	0.010263
331.00	0.0099594
332.00	0.0095674
333.00	0.0099402
334.00	0.0097102
335.00	0.011254
336.00	0.012155
337.00	0.013364
338.00	0.014459
339.00	0.015349
340.00	0.018169
341.00	0.021784
342.00	0.023707
343.00	0.028812
344.00	0.033123
345.00	0.041194
346.00	0.046387
347.00	0.055894
348.00	0.068709
349.00	0.080554
350.00	0.093747
351.00	0.10838
352.00	0.12621
353.00	0.14980
354.00	0.17342
355.00	0.19462
356.00	0.22673
357.00	0.25780
358.00	0.29342
359.00	0.32570
360.00	0.36166
361.00	0.39814
362.00	0.43697
363.00	0.47933
364.00	0.51601
365.00	0.55576
366.00	0.59174
367.00	0.62221
368.00	0.66633
369.00	0.69653
370.00	0.73246
371.00	0.77118
372.00	0.79743
373.00	0.82553
374.00	0.84799
375.00	0.87730
376.00	0.89534
377.00	0.91859
378.00	0.93210
379.00	0.94636
380.00	0.96383
381.00	0.97597
382.00	0.98320
383.00	0.99416
384.00	0.99498
385.00	1.00000
386.00	0.99316
387.00	0.99433
388.00	0.98868
389.00	0.98531
390.00	0.97632
391.00	0.96497
392.00	0.95201
393.00	0.94012
394.00	0.92590
395.00	0.90617
396.00	0.89121
397.00	0.87116
398.00	0.85177
399.00	0.82966
400.00	0.81491
401.00	0.79416
402.00	0.76830
403.00	0.74391
404.00	0.72286
405.00	0.70822
406.00	0.67827
407.00	0.66165
408.00	0.63528
409.00	0.61334
410.00	0.58629
411.00	0.56795
412.00	0.54640
413.00	0.52949
414.00	0.50784
415.00	0.48686
416.00	0.46516
417.00	0.44673
418.00	0.42941
419.00	0.40885
420.00	0.39201
421.00	0.37848
422.00	0.35981
423.00	0.34314
424.00	0.32926
425.00	0.31517
426.00	0.29871
427.00	0.28668
428.00	0.27149
429.00	0.25973
430.00	0.24762
431.00	0.23549
432.00	0.22418
433.00	0.21278
434.00	0.20203
435.00	0.19470
436.00	0.18532
437.00	0.17712
438.00	0.16548
439.00	0.15643
440.00	0.15130
441.00	0.14299
442.00	0.13584
443.00	0.13084
444.00	0.12288
445.00	0.11820
446.00	0.11059
447.00	0.10609
448.00	0.10047
449.00	0.096361
450.00	0.091298
451.00	0.087202
452.00	0.081852
453.00	0.078867
454.00	0.074812
455.00	0.070679
456.00	0.067455
457.00	0.063533
458.00	0.060229
459.00	0.057282
460.00	0.054796
461.00	0.052004
462.00	0.049570
463.00	0.046517
464.00	0.044732
465.00	0.042505
466.00	0.040133
467.00	0.038619
468.00	0.036028
469.00	0.034851
470.00	0.033740
471.00	0.031773
472.00	0.029159
473.00	0.028563
474.00	0.027210
475.00	0.024898
476.00	0.023592
477.00	0.022462
478.00	0.021705
479.00	0.020902
480.00	0.019058
481.00	0.018294
482.00	0.018230
483.00	0.017785
484.00	0.016196
485.00	0.015613
486.00	0.014123
487.00	0.013899
488.00	0.013332
489.00	0.012165
490.00	0.011665
491.00	0.010939
492.00	0.010195
493.00	0.0096368
494.00	0.0093909
495.00	0.0079806
496.00	0.0078574
497.00	0.0080847
498.00	0.0071595
499.00	0.0067285
500.00	0.0060237
501.00	0.0064094
502.00	0.0054662
503.00	0.0050305
504.00	0.0046100
505.00	0.0048334
506.00	0.0048032
507.00	0.0044236
508.00	0.0038638
509.00	0.0036608
510.00	0.0036113
511.00	0.0034451
512.00	0.0034057
513.00	0.0031965
514.00	0.0032038
515.00	0.0027721
516.00	0.0029775
517.00	0.0026108
518.00	0.0020445
519.00	0.0017994
520.00	0.0021423
521.00	0.0020595
522.00	0.0017301
523.00	0.0022591
524.00	0.0013991
525.00	0.0011177
526.00	0.0013480
527.00	0.0014881
528.00	0.0011360
529.00	0.0010726
530.00	0.00084863
531.00	0.0010736
532.00	0.0011899
533.00	0.00094226
534.00	0.0010159
535.00	0.00075913
536.00	0.0011348
537.00	0.0010290
538.00	0.00071595
539.00	0.0011948
540.00	0.0014284
541.00	0.0016163
542.00	0.0014223
543.00	0.0015727
544.00	0.0017658
545.00	0.0019450
546.00	0.0016134
547.00	0.0017596
548.00	0.00089666
549.00	0.0011943
550.00	0.0012883
