Wavelength (nm)	B08 abs N
200.00	0.48930
201.00	0.55281
202.00	0.60903
203.00	0.67420
204.00	0.72951
205.00	0.78248
206.00	0.81936
207.00	0.86735
208.00	0.91050
209.00	0.94063
210.00	0.97101
211.00	0.99127
212.00	1.0000
213.00	0.99525
214.00	0.96834
215.00	0.93089
216.00	0.88151
217.00	0.81607
218.00	0.75105
219.00	0.68490
220.00	0.62140
221.00	0.56435
222.00	0.51312
223.00	0.46779
224.00	0.42591
225.00	0.38927
226.00	0.35415
227.00	0.32200
228.00	0.29095
229.00	0.26277
230.00	0.23633
231.00	0.21248
232.00	0.19149
233.00	0.17260
234.00	0.15615
235.00	0.14149
236.00	0.12897
237.00	0.11823
238.00	0.10952
239.00	0.10258
240.00	0.097208
241.00	0.093292
242.00	0.090737
243.00	0.089427
244.00	0.089281
245.00	0.090146
246.00	0.092101
247.00	0.095082
248.00	0.099069
249.00	0.10388
250.00	0.10962
251.00	0.11630
252.00	0.12364
253.00	0.13205
254.00	0.14112
255.00	0.15107
256.00	0.16176
257.00	0.17299
258.00	0.18508
259.00	0.19776
260.00	0.21094
261.00	0.22484
262.00	0.23885
263.00	0.25361
264.00	0.26847
265.00	0.28355
266.00	0.29878
267.00	0.31425
268.00	0.32914
269.00	0.34436
270.00	0.35931
271.00	0.37354
272.00	0.38773
273.00	0.40133
274.00	0.41476
275.00	0.42740
276.00	0.43903
277.00	0.44964
278.00	0.45943
279.00	0.46831
280.00	0.47543
281.00	0.48227
282.00	0.48781
283.00	0.49196
284.00	0.49501
285.00	0.49796
286.00	0.50033
287.00	0.50213
288.00	0.50191
289.00	0.50189
290.00	0.50079
291.00	0.49916
292.00	0.49588
293.00	0.49166
294.00	0.48594
295.00	0.47915
296.00	0.47035
297.00	0.46038
298.00	0.44974
299.00	0.43724
300.00	0.42373
301.00	0.40923
302.00	0.39463
303.00	0.37824
304.00	0.36119
305.00	0.34382
306.00	0.32617
307.00	0.30753
308.00	0.28972
309.00	0.27162
310.00	0.25348
311.00	0.23553
312.00	0.21823
313.00	0.20143
314.00	0.18507
315.00	0.16922
316.00	0.15438
317.00	0.14050
318.00	0.12699
319.00	0.11448
320.00	0.10290
321.00	0.092073
322.00	0.081848
323.00	0.072536
324.00	0.064133
325.00	0.056369
326.00	0.049159
327.00	0.042862
328.00	0.036956
329.00	0.031835
330.00	0.027195
331.00	0.023217
332.00	0.019585
333.00	0.016403
334.00	0.013792
335.00	0.011521
336.00	0.0095773
337.00	0.0079546
338.00	0.0066336
339.00	0.0054820
340.00	0.0045353
341.00	0.0037296
342.00	0.0031200
343.00	0.0026393
344.00	0.0023363
345.00	0.0019918
346.00	0.0015921
347.00	0.0015196
348.00	0.0013008
349.00	0.0011152
350.00	0.00099178
351.00	0.00095989
352.00	0.0010122
353.00	0.00081874
354.00	0.00089804
355.00	0.00077650
356.00	0.00078686
357.00	0.00075171
358.00	0.00064025
359.00	0.00074980
360.00	0.00079967
361.00	0.00076451
362.00	0.00065960
363.00	0.00062172
364.00	0.00070674
365.00	0.00072255
366.00	0.00045986
367.00	0.00062854
368.00	0.00053262
369.00	0.00051027
370.00	0.00059448
371.00	0.00039092
372.00	0.00036667
373.00	0.00059475
374.00	0.00053752
375.00	0.00056368
376.00	0.00041081
377.00	0.00045060
378.00	0.00048575
379.00	0.00036394
380.00	0.00046177
381.00	0.00053834
382.00	0.00050292
383.00	0.00046640
384.00	0.00038492
385.00	0.00027947
386.00	0.00055742
387.00	0.00034160
388.00	0.00056014
389.00	0.00053425
390.00	0.00051845
391.00	0.00046013
392.00	0.00042662
393.00	0.00057513
394.00	0.00065960
395.00	0.00046613
396.00	0.00055088
397.00	0.00046858
398.00	0.00044515
399.00	0.00041381
400.00	0.00034623
