Wavelength (nm)	B08 ems
325.00	0.016209
326.00	0.015129
327.00	0.015184
328.00	0.015812
329.00	0.016618
330.00	0.017708
331.00	0.018473
332.00	0.020599
333.00	0.021693
334.00	0.025508
335.00	0.028858
336.00	0.032582
337.00	0.038527
338.00	0.043963
339.00	0.050870
340.00	0.059063
341.00	0.068677
342.00	0.076720
343.00	0.086555
344.00	0.099257
345.00	0.11393
346.00	0.12832
347.00	0.14382
348.00	0.16521
349.00	0.18897
350.00	0.20547
351.00	0.22700
352.00	0.25751
353.00	0.28461
354.00	0.31542
355.00	0.33967
356.00	0.37280
357.00	0.40446
358.00	0.43862
359.00	0.47737
360.00	0.50716
361.00	0.54081
362.00	0.57773
363.00	0.61084
364.00	0.64415
365.00	0.68260
366.00	0.71071
367.00	0.74235
368.00	0.77866
369.00	0.80879
370.00	0.83349
371.00	0.85962
372.00	0.87911
373.00	0.91466
374.00	0.92850
375.00	0.94633
376.00	0.95849
377.00	0.98031
378.00	0.97979
379.00	0.98739
380.00	0.99541
381.00	0.99609
382.00	1.00000
383.00	0.99942
384.00	0.98701
385.00	0.97250
386.00	0.96509
387.00	0.95180
388.00	0.94038
389.00	0.91527
390.00	0.90302
391.00	0.88305
392.00	0.86645
393.00	0.84455
394.00	0.82827
395.00	0.80645
396.00	0.78374
397.00	0.76402
398.00	0.73917
399.00	0.72016
400.00	0.69896
401.00	0.67203
402.00	0.65372
403.00	0.62944
404.00	0.61227
405.00	0.59135
406.00	0.56729
407.00	0.54870
408.00	0.52261
409.00	0.50169
410.00	0.48287
411.00	0.45848
412.00	0.44262
413.00	0.42160
414.00	0.40657
415.00	0.38785
416.00	0.36987
417.00	0.35450
418.00	0.33880
419.00	0.32049
420.00	0.30746
421.00	0.29081
422.00	0.27764
423.00	0.26404
424.00	0.25350
425.00	0.24113
426.00	0.22965
427.00	0.21635
428.00	0.20729
429.00	0.19775
430.00	0.18776
431.00	0.17680
432.00	0.16990
433.00	0.15951
434.00	0.15263
435.00	0.14546
436.00	0.13871
437.00	0.13078
438.00	0.12402
439.00	0.11746
440.00	0.11237
441.00	0.10553
442.00	0.10060
443.00	0.096125
444.00	0.090205
445.00	0.086067
446.00	0.080411
447.00	0.077733
448.00	0.073201
449.00	0.068529
450.00	0.064394
451.00	0.062173
452.00	0.058779
453.00	0.055985
454.00	0.052924
455.00	0.050440
456.00	0.047952
457.00	0.045647
458.00	0.043546
459.00	0.042287
460.00	0.038559
461.00	0.036737
462.00	0.034660
463.00	0.032372
464.00	0.031770
465.00	0.029891
466.00	0.028195
467.00	0.026277
468.00	0.025840
469.00	0.024359
470.00	0.023022
471.00	0.021855
472.00	0.019839
473.00	0.018956
474.00	0.018747
475.00	0.017343
476.00	0.016322
477.00	0.016075
478.00	0.014234
479.00	0.014522
480.00	0.013285
481.00	0.012405
482.00	0.011550
483.00	0.011423
484.00	0.010781
485.00	0.010802
486.00	0.0094481
487.00	0.0091520
488.00	0.0088487
489.00	0.0079719
490.00	0.0075767
491.00	0.0072601
492.00	0.0062105
493.00	0.0064816
494.00	0.0061559
495.00	0.0053733
496.00	0.0050052
497.00	0.0049920
498.00	0.0042599
499.00	0.0040742
500.00	0.0043515
501.00	0.0042619
502.00	0.0036464
503.00	0.0035221
504.00	0.0033715
505.00	0.0029671
506.00	0.0029718
507.00	0.0023723
508.00	0.0025788
509.00	0.0025625
510.00	0.0026038
511.00	0.0021798
512.00	0.0021218
513.00	0.0018318
514.00	0.0021215
515.00	0.0017534
516.00	0.0017011
517.00	0.0016811
518.00	0.0013049
519.00	0.00087607
520.00	0.0017115
521.00	0.0012944
522.00	0.0010138
523.00	0.0014009
524.00	0.00090660
525.00	0.00060697
526.00	0.00069599
527.00	0.0011409
528.00	0.00042745
529.00	0.00071044
530.00	0.0010320
531.00	0.00089440
532.00	0.00093129
533.00	0.00086483
534.00	0.00064995
535.00	0.00089983
536.00	0.00060769
537.00	0.00081870
538.00	0.00076529
539.00	0.00061528
540.00	0.0011996
541.00	0.00095853
542.00	0.0011750
543.00	0.00087551
544.00	0.0015315
545.00	0.00085687
546.00	0.0013068
547.00	0.00097410
548.00	0.0016256
549.00	0.00081935
550.00	0.00097862
