Wavelength (nm)	B09 abs N
220.00	0.58860
220.25	0.58168
220.50	0.58840
220.75	0.59008
221.00	0.59750
221.25	0.60153
221.50	0.60055
221.75	0.59935
222.00	0.60738
222.25	0.60431
222.50	0.60968
222.75	0.60690
223.00	0.61053
223.25	0.60691
223.50	0.60233
223.75	0.59853
224.00	0.59581
224.25	0.58778
224.50	0.57702
224.75	0.57472
225.00	0.56177
225.25	0.55017
225.50	0.54174
225.75	0.53146
226.00	0.52105
226.25	0.50868
226.50	0.49693
226.75	0.49351
227.00	0.48317
227.25	0.47592
227.50	0.46492
227.75	0.45990
228.00	0.45275
228.25	0.44733
228.50	0.44053
228.75	0.43535
229.00	0.42944
229.25	0.42490
229.50	0.42115
229.75	0.41604
230.00	0.40863
230.25	0.40566
230.50	0.39951
230.75	0.39340
231.00	0.38579
231.25	0.37839
231.50	0.36780
231.75	0.35765
232.00	0.34489
232.25	0.33317
232.50	0.31560
232.75	0.30084
233.00	0.28272
233.25	0.26615
233.50	0.24790
233.75	0.23273
234.00	0.21530
234.25	0.19928
234.50	0.18684
234.75	0.17124
235.00	0.15540
235.25	0.14502
235.50	0.13566
235.75	0.12769
236.00	0.12352
236.25	0.11950
236.50	0.11537
236.75	0.11125
237.00	0.10804
237.25	0.10689
237.50	0.10588
237.75	0.10493
238.00	0.10453
238.25	0.10064
238.50	0.10015
238.75	0.097771
239.00	0.097647
239.25	0.094474
239.50	0.092288
239.75	0.092193
240.00	0.090906
240.25	0.088530
240.50	0.089005
240.75	0.085701
241.00	0.084151
241.25	0.083193
241.50	0.082242
241.75	0.082754
242.00	0.082776
242.25	0.081957
242.50	0.081891
242.75	0.082754
243.00	0.082052
243.25	0.083149
243.50	0.084385
243.75	0.085094
244.00	0.084289
244.25	0.084889
244.50	0.087784
244.75	0.088895
245.00	0.089290
245.25	0.091060
245.50	0.092280
245.75	0.091396
246.00	0.093012
246.25	0.094657
246.50	0.096762
246.75	0.095783
247.00	0.098729
247.25	0.099833
247.50	0.10050
247.75	0.10384
248.00	0.10383
248.25	0.10477
248.50	0.10795
248.75	0.10793
249.00	0.11070
249.25	0.11112
249.50	0.11219
249.75	0.11323
250.00	0.11543
250.25	0.11759
250.50	0.11783
250.75	0.11855
251.00	0.12189
251.25	0.12406
251.50	0.12457
251.75	0.12718
252.00	0.12617
252.25	0.13082
252.50	0.13211
252.75	0.13520
253.00	0.13607
253.25	0.13704
253.50	0.13950
253.75	0.14121
254.00	0.14344
254.25	0.14562
254.50	0.14735
254.75	0.14793
255.00	0.14975
255.25	0.15111
255.50	0.15179
255.75	0.15316
256.00	0.15577
256.25	0.15726
256.50	0.15968
256.75	0.16175
257.00	0.16413
257.25	0.16635
257.50	0.16652
257.75	0.17019
258.00	0.17163
258.25	0.17382
258.50	0.17724
258.75	0.17855
259.00	0.17986
259.25	0.18267
259.50	0.18640
259.75	0.18868
260.00	0.18996
260.25	0.19505
260.50	0.19746
260.75	0.19809
261.00	0.19961
261.25	0.20258
261.50	0.20586
261.75	0.20961
262.00	0.21258
262.25	0.21490
262.50	0.21584
262.75	0.21881
263.00	0.22280
263.25	0.22563
263.50	0.22966
263.75	0.23265
264.00	0.23296
264.25	0.23777
264.50	0.24035
264.75	0.24456
265.00	0.24724
265.25	0.25071
265.50	0.25277
265.75	0.25574
266.00	0.25955
266.25	0.26200
266.50	0.26686
266.75	0.26984
267.00	0.27326
267.25	0.27565
267.50	0.28045
267.75	0.28176
268.00	0.28695
268.25	0.29087
268.50	0.29528
268.75	0.29877
269.00	0.30162
269.25	0.30576
269.50	0.31084
269.75	0.31178
270.00	0.31722
270.25	0.32016
270.50	0.32450
270.75	0.32824
271.00	0.33401
271.25	0.33725
271.50	0.34096
271.75	0.34577
272.00	0.34978
272.25	0.35565
272.50	0.36041
272.75	0.36145
273.00	0.36846
273.25	0.37350
273.50	0.37594
273.75	0.38112
274.00	0.38796
274.25	0.39086
274.50	0.39638
274.75	0.40231
275.00	0.40748
275.25	0.41436
275.50	0.42025
275.75	0.42575
276.00	0.43083
276.25	0.43670
276.50	0.44008
276.75	0.44491
277.00	0.44832
277.25	0.45573
277.50	0.46011
277.75	0.46311
278.00	0.46943
278.25	0.47249
278.50	0.47982
278.75	0.48505
279.00	0.49080
279.25	0.49451
279.50	0.49999
279.75	0.50645
280.00	0.51241
280.25	0.51825
280.50	0.52217
280.75	0.52968
281.00	0.53537
281.25	0.53815
281.50	0.54578
281.75	0.54829
282.00	0.55305
282.25	0.55993
282.50	0.56516
282.75	0.57140
283.00	0.57484
283.25	0.58076
283.50	0.58540
283.75	0.59218
284.00	0.59631
284.25	0.60341
284.50	0.60980
284.75	0.61724
285.00	0.62282
285.25	0.63065
285.50	0.63398
285.75	0.64293
286.00	0.64794
286.25	0.65472
286.50	0.66329
286.75	0.66999
287.00	0.67687
287.25	0.68562
287.50	0.69157
287.75	0.69599
288.00	0.70206
288.25	0.71103
288.50	0.71784
288.75	0.72216
289.00	0.72785
289.25	0.73441
289.50	0.73631
289.75	0.74159
290.00	0.74633
290.25	0.75201
290.50	0.75734
290.75	0.76274
291.00	0.76714
291.25	0.77401
291.50	0.77527
291.75	0.78188
292.00	0.78548
292.25	0.79251
292.50	0.79721
292.75	0.80746
293.00	0.80916
293.25	0.81763
293.50	0.82253
293.75	0.82633
294.00	0.83290
294.25	0.83962
294.50	0.84053
294.75	0.84716
295.00	0.84950
295.25	0.85092
295.50	0.85418
295.75	0.85869
296.00	0.86158
296.25	0.86695
296.50	0.87144
296.75	0.87177
297.00	0.87878
297.25	0.88156
297.50	0.88629
297.75	0.88903
298.00	0.89728
298.25	0.89972
298.50	0.90582
298.75	0.91206
299.00	0.91748
299.25	0.92594
299.50	0.92918
299.75	0.93537
300.00	0.94575
300.25	0.94983
300.50	0.95951
300.75	0.96553
301.00	0.97194
301.25	0.97956
301.50	0.98296
301.75	0.98662
302.00	0.99269
302.25	0.99602
302.50	0.99469
302.75	1.00000
303.00	0.99490
303.25	0.99538
303.50	0.99888
303.75	0.99087
304.00	0.98813
304.25	0.98366
304.50	0.98614
304.75	0.97783
305.00	0.97743
305.25	0.97525
305.50	0.97275
305.75	0.97345
306.00	0.97232
306.25	0.96843
306.50	0.96587
306.75	0.96613
307.00	0.96581
307.25	0.96269
307.50	0.96403
307.75	0.96749
308.00	0.96710
308.25	0.96791
308.50	0.96318
308.75	0.96249
309.00	0.96296
309.25	0.96090
309.50	0.95905
309.75	0.96579
310.00	0.93885
310.25	0.94300
310.50	0.93084
310.75	0.94107
311.00	0.93825
311.25	0.92950
311.50	0.93377
311.75	0.90508
312.00	0.91805
312.25	0.91617
312.50	0.92406
312.75	0.91304
313.00	0.91213
313.25	0.90319
313.50	0.91707
313.75	0.91419
314.00	0.92089
314.25	0.91783
314.50	0.92231
314.75	0.92384
315.00	0.93550
315.25	0.93554
315.50	0.93449
315.75	0.93080
316.00	0.92865
316.25	0.94118
316.50	0.93954
316.75	0.93053
317.00	0.93564
317.25	0.92457
317.50	0.91938
317.75	0.90865
318.00	0.89815
318.25	0.88161
318.50	0.87331
318.75	0.86460
319.00	0.85307
319.25	0.82907
319.50	0.81593
319.75	0.80399
320.00	0.78599
320.25	0.76668
320.50	0.75202
320.75	0.73592
321.00	0.72090
321.25	0.70837
321.50	0.69827
321.75	0.68486
322.00	0.68401
322.25	0.66951
322.50	0.65952
322.75	0.64373
323.00	0.64056
323.25	0.62964
323.50	0.62641
323.75	0.61975
324.00	0.60930
324.25	0.60554
324.50	0.60168
324.75	0.59460
325.00	0.58441
325.25	0.57898
325.50	0.56904
325.75	0.57089
326.00	0.56251
326.25	0.55761
326.50	0.54859
326.75	0.54106
327.00	0.53124
327.25	0.52146
327.50	0.51613
327.75	0.50504
328.00	0.50094
328.25	0.49528
328.50	0.48612
328.75	0.48404
329.00	0.47567
329.25	0.47373
329.50	0.46630
329.75	0.46262
330.00	0.45987
330.25	0.45559
330.50	0.45106
330.75	0.44977
331.00	0.45076
331.25	0.44679
331.50	0.45351
331.75	0.45045
332.00	0.44673
332.25	0.44549
332.50	0.43842
332.75	0.44472
333.00	0.43691
333.25	0.43406
333.50	0.43120
333.75	0.42442
334.00	0.41954
334.25	0.41303
334.50	0.40740
334.75	0.40199
335.00	0.39804
335.25	0.39213
335.50	0.37606
335.75	0.36757
336.00	0.34996
336.25	0.33496
336.50	0.32321
336.75	0.30566
337.00	0.28464
337.25	0.26528
337.50	0.24733
337.75	0.22970
338.00	0.20864
338.25	0.19343
338.50	0.17900
338.75	0.16216
339.00	0.14958
339.25	0.13114
339.50	0.11826
339.75	0.11097
340.00	0.098795
340.25	0.087982
340.50	0.081972
340.75	0.075333
341.00	0.063628
341.25	0.057801
341.50	0.052282
341.75	0.047347
342.00	0.043633
342.25	0.039304
342.50	0.040079
342.75	0.036804
343.00	0.036468
343.25	0.032030
343.50	0.026963
343.75	0.028557
344.00	0.025581
344.25	0.022218
344.50	0.024222
344.75	0.020456
345.00	0.023688
345.25	0.020844
345.50	0.020164
345.75	0.017985
346.00	0.018475
346.25	0.015244
346.50	0.016962
346.75	0.016055
347.00	0.013840
347.25	0.014059
347.50	0.015244
347.75	0.014293
348.00	0.013518
348.25	0.010206
348.50	0.013116
348.75	0.013182
349.00	0.011106
349.25	0.011032
349.50	0.013153
349.75	0.0085832
350.00	0.0086198
350.25	0.012027
350.50	0.010367
350.75	0.0082908
351.00	0.0084516
351.25	0.0055784
351.50	0.0094605
351.75	0.0082908
352.00	0.0062437
352.25	0.0078082
352.50	0.0046791
352.75	0.0081665
353.00	0.0077863
353.25	0.0060243
353.50	0.0079618
353.75	0.0054906
354.00	0.0046425
354.25	0.0050958
354.50	0.0034508
354.75	0.0043793
355.00	0.0046937
355.25	0.0044305
355.50	0.0033997
355.75	0.0040942
356.00	0.0039992
356.25	0.0047888
356.50	0.0069236
356.75	0.0071795
357.00	0.0055784
357.25	0.0041015
357.50	0.0024053
357.75	0.0044013
358.00	0.0044963
358.25	0.0043574
358.50	0.0032607
358.75	0.0055199
359.00	0.00091389
359.25	0.0021787
359.50	0.0018131
359.75	0.0027343
360.00	0.0062290
360.25	0.0045475
360.50	0.0035678
360.75	0.0054687
361.00	0.0010162
361.25	0.0050227
361.50	0.0037287
361.75	0.0038968
362.00	0.0046718
362.25	0.0028952
362.50	0.0043135
362.75	0.0030780
363.00	0.0018789
363.25	0.0036702
363.50	0.0060828
363.75	0.0047668
364.00	0.0017181
364.25	0.0018497
364.50	0.0015134
364.75	0.00020471
365.00	0.00057758
365.25	0.0060755
365.50	0.0018278
365.75	0.0027270
366.00	0.00089926
366.25	0.0049935
366.50	0.0021495
366.75	0.0032607
367.00	0.00019009
367.25	0.0031876
367.50	0.0040796
367.75	0.0033997
368.00	0.0036994
368.25	0.0046352
368.50	0.0017985
368.75	0.0034216
369.00	0.0030707
369.25	0.0013526
369.50	0.0033119
369.75	0.0028513
370.00	0.0027343
370.25	0.00038749
370.50	0.00022664
370.75	0.0015865
371.00	0.0050593
371.25	0.0020105
371.50	0.0024346
371.75	0.0035532
372.00	0.0031438
372.25	0.0011625
372.50	0.00089926
372.75	0.0022591
373.00	0.00045329
373.25	0.0035313
373.50	0.0049350
373.75	0.00067993
374.00	0.0025662
374.25	0.0035020
374.50	0.0020179
374.75	0.0014622
375.00	0.0029244
375.25	0.0063606
375.50	0.0029537
375.75	0.0034947
376.00	0.00056295
376.25	0.0021421
376.50	0.0028659
376.75	0.0027636
377.00	0.0040796
377.25	0.0028659
377.50	0.0033923
377.75	0.0012868
378.00	0.0027051
378.25	0.0032242
378.50	0.0027124
378.75	0.00085540
379.00	0.0023176
379.25	0.00016084
379.50	0.0026466
379.75	0.0031657
380.00	0.0025735
380.25	0.0013672
380.50	0.0025954
380.75	0.0044086
381.00	0.0024711
381.25	0.0034143
381.50	0.0032461
381.75	0.00066531
382.00	0.0033923
382.25	0.00087002
382.50	0.0010894
382.75	0.0018131
383.00	0.0017181
383.25	0.0020544
383.50	0.0010967
383.75	0.0017839
384.00	0.0033997
384.25	0.0025808
384.50	0.0029537
384.75	0.0026612
385.00	0.0017327
385.25	0.0031803
385.50	0.0025077
385.75	0.0025077
386.00	0.00032900
386.25	0.0027709
386.50	0.0016304
386.75	0.0030195
387.00	0.0013160
387.25	0.0014110
387.50	0.0017108
387.75	0.0012283
388.00	0.0040065
388.25	0.00075304
388.50	0.0042258
388.75	0.0017254
389.00	0.0018789
389.25	0.0026393
389.50	0.00071649
389.75	0.00072380
390.00	0.00037287
390.25	0.0027855
390.50	0.0019374
390.75	0.0040942
391.00	0.00019740
391.25	0.0033119
391.50	0.0015426
391.75	0.00086271
392.00	0.0019594
392.25	0.0018643
392.50	0.0030999
392.75	0.00087002
393.00	0.0012283
393.25	0.0024858
393.50	0.0032754
393.75	0.0026027
394.00	0.00072380
394.25	0.0012941
394.50	0.0023103
394.75	0.0026101
395.00	0.0016523
395.25	0.00044598
395.50	0.00032900
395.75	0.0039041
396.00	0.0018278
396.25	0.0030999
396.50	0.00012429
396.75	0.0013452
397.00	0.0028001
397.25	0.0014184
397.50	0.00075304
397.75	0.0023469
398.00	0.0011186
398.25	0.0017547
398.50	0.0037287
398.75	0.0029171
399.00	0.0018716
399.25	0.0014184
399.50	0.00048253
399.75	0.0011332
400.00	0.00095044
