Wavelength (nm)	B09 ems
310.00	0.022237
310.50	0.022316
311.00	0.021952
311.50	0.022007
312.00	0.022216
312.50	0.022083
313.00	0.022336
313.50	0.022984
314.00	0.023462
314.50	0.024855
315.00	0.026051
315.50	0.028744
316.00	0.030224
316.50	0.033271
317.00	0.035364
317.50	0.038879
318.00	0.040530
318.50	0.043498
319.00	0.045661
319.50	0.048938
320.00	0.050249
320.50	0.053010
321.00	0.054635
321.50	0.057846
322.00	0.059106
322.50	0.061442
323.00	0.062447
323.50	0.066042
324.00	0.067793
324.50	0.070828
325.00	0.073539
325.50	0.078840
326.00	0.081401
326.50	0.087149
327.00	0.093269
327.50	0.10247
328.00	0.10855
328.50	0.12331
329.00	0.13492
329.50	0.16067
330.00	0.17750
330.50	0.21478
331.00	0.24305
331.50	0.29983
332.00	0.33194
332.50	0.39151
333.00	0.43205
333.50	0.50286
334.00	0.53735
334.50	0.58753
335.00	0.61239
335.50	0.64176
336.00	0.64848
336.50	0.64929
337.00	0.63992
337.50	0.61786
338.00	0.60267
338.50	0.57139
339.00	0.54903
339.50	0.51656
340.00	0.50162
340.50	0.47983
341.00	0.46759
341.50	0.45644
342.00	0.45355
342.50	0.45695
343.00	0.46312
343.50	0.48120
344.00	0.49499
344.50	0.52067
345.00	0.54407
345.50	0.58080
346.00	0.60028
346.50	0.63702
347.00	0.66028
347.50	0.69987
348.00	0.72198
348.50	0.75184
349.00	0.77359
349.50	0.80969
350.00	0.82757
350.50	0.86160
351.00	0.88242
351.50	0.91811
352.00	0.93379
352.50	0.96057
353.00	0.97522
353.50	0.99162
354.00	0.99821
354.50	1.0000
355.00	0.99802
355.50	0.98332
356.00	0.97159
356.50	0.94527
357.00	0.92770
357.50	0.89269
358.00	0.87528
358.50	0.84325
359.00	0.82137
359.50	0.78794
360.00	0.77523
360.50	0.75300
361.00	0.74039
361.50	0.72540
362.00	0.72046
362.50	0.71626
363.00	0.71562
363.50	0.72112
364.00	0.72555
364.50	0.73674
365.00	0.74385
365.50	0.75761
366.00	0.76407
366.50	0.77627
367.00	0.78337
367.50	0.79481
368.00	0.79854
368.50	0.80633
369.00	0.80948
369.50	0.81230
370.00	0.81260
370.50	0.81399
371.00	0.81259
371.50	0.81165
372.00	0.81088
372.50	0.80769
373.00	0.80353
373.50	0.79728
374.00	0.79482
374.50	0.78586
375.00	0.77881
375.50	0.76626
376.00	0.75901
376.50	0.74547
377.00	0.73403
377.50	0.71626
378.00	0.70735
378.50	0.68734
379.00	0.67402
379.50	0.64900
380.00	0.63905
380.50	0.61835
381.00	0.60799
381.50	0.58660
382.00	0.57617
382.50	0.55911
383.00	0.54938
383.50	0.53659
384.00	0.52944
384.50	0.51900
385.00	0.51295
385.50	0.50607
386.00	0.50503
386.50	0.49949
387.00	0.49958
387.50	0.49510
388.00	0.49515
388.50	0.49221
389.00	0.49157
389.50	0.48907
390.00	0.48724
390.50	0.48490
391.00	0.48012
391.50	0.47480
392.00	0.47073
392.50	0.46627
393.00	0.46211
393.50	0.45493
394.00	0.44974
394.50	0.44256
395.00	0.43767
395.50	0.42835
396.00	0.42309
396.50	0.41587
397.00	0.41037
397.50	0.40066
398.00	0.39535
398.50	0.38492
399.00	0.38030
399.50	0.36999
400.00	0.36311
400.50	0.35342
401.00	0.34837
401.50	0.33501
402.00	0.32914
402.50	0.32020
403.00	0.31230
403.50	0.30150
404.00	0.29556
404.50	0.28554
405.00	0.27955
405.50	0.27016
406.00	0.26663
406.50	0.25720
407.00	0.25156
407.50	0.24421
408.00	0.24042
408.50	0.23402
409.00	0.23017
409.50	0.22373
410.00	0.22075
410.50	0.21501
411.00	0.21333
411.50	0.20699
412.00	0.20542
412.50	0.20100
413.00	0.19877
413.50	0.19346
414.00	0.19163
414.50	0.18826
415.00	0.18469
415.50	0.18155
416.00	0.17923
416.50	0.17652
417.00	0.17306
417.50	0.17002
418.00	0.16669
418.50	0.16327
419.00	0.16147
419.50	0.15700
420.00	0.15478
420.50	0.15137
421.00	0.14953
421.50	0.14486
422.00	0.14313
422.50	0.14001
423.00	0.13729
423.50	0.13353
424.00	0.13200
424.50	0.12756
425.00	0.12592
425.50	0.12154
426.00	0.11957
426.50	0.11602
427.00	0.11336
427.50	0.11011
428.00	0.10772
428.50	0.10416
429.00	0.10184
429.50	0.098651
430.00	0.096617
430.50	0.093183
431.00	0.091523
431.50	0.087831
432.00	0.086236
432.50	0.084133
433.00	0.081960
433.50	0.079300
434.00	0.077881
434.50	0.075436
435.00	0.073621
435.50	0.071350
436.00	0.070101
436.50	0.068512
437.00	0.067396
437.50	0.065121
438.00	0.064154
438.50	0.062484
439.00	0.061451
439.50	0.059851
440.00	0.059433
440.50	0.057805
441.00	0.056532
441.50	0.054903
442.00	0.054514
442.50	0.052835
443.00	0.052792
443.50	0.051220
444.00	0.050447
444.50	0.049054
445.00	0.048401
445.50	0.047128
446.00	0.046209
446.50	0.045516
447.00	0.044436
447.50	0.043344
448.00	0.042492
448.50	0.041524
449.00	0.040752
449.50	0.039681
450.00	0.038985
450.50	0.037837
451.00	0.037542
451.50	0.035825
452.00	0.035609
452.50	0.034170
453.00	0.033644
453.50	0.032620
454.00	0.031998
454.50	0.030907
455.00	0.030234
455.50	0.029199
456.00	0.028855
456.50	0.027875
457.00	0.027446
457.50	0.026377
458.00	0.025851
458.50	0.025242
459.00	0.024578
459.50	0.023971
460.00	0.023438
460.50	0.022837
461.00	0.022259
461.50	0.021627
462.00	0.021366
462.50	0.020839
463.00	0.020486
463.50	0.019761
464.00	0.019490
464.50	0.019023
465.00	0.018772
465.50	0.018182
466.00	0.017789
466.50	0.017498
467.00	0.017273
467.50	0.016606
468.00	0.016426
468.50	0.016130
469.00	0.015879
469.50	0.015279
470.00	0.015043
470.50	0.014648
471.00	0.014568
471.50	0.014036
472.00	0.013841
472.50	0.013747
473.00	0.013335
473.50	0.012873
474.00	0.012737
474.50	0.012514
475.00	0.012296
475.50	0.011985
476.00	0.011734
476.50	0.011270
477.00	0.011197
477.50	0.010778
478.00	0.010741
478.50	0.010506
479.00	0.010299
479.50	0.010007
480.00	0.0097890
480.50	0.0095208
481.00	0.0095223
481.50	0.0090730
482.00	0.0090105
482.50	0.0088036
483.00	0.0086035
483.50	0.0082311
484.00	0.0084455
484.50	0.0081484
485.00	0.0079649
485.50	0.0078060
486.00	0.0076358
486.50	0.0073952
487.00	0.0074861
487.50	0.0071704
488.00	0.0070803
488.50	0.0068949
489.00	0.0068316
489.50	0.0067022
490.00	0.0066013
490.50	0.0063956
491.00	0.0063668
491.50	0.0062650
492.00	0.0060664
492.50	0.0060681
493.00	0.0059378
493.50	0.0057544
494.00	0.0056998
