Wavelength (nm)	B11 abs N
225.00	0.76003
226.00	0.74291
227.00	0.73371
228.00	0.73241
229.00	0.73783
230.00	0.74761
231.00	0.76244
232.00	0.78053
233.00	0.80175
234.00	0.82405
235.00	0.84732
236.00	0.86990
237.00	0.89185
238.00	0.91349
239.00	0.93355
240.00	0.95169
241.00	0.96778
242.00	0.98087
243.00	0.99076
244.00	0.99731
245.00	1.0000
246.00	0.99974
247.00	0.99651
248.00	0.99028
249.00	0.98259
250.00	0.97261
251.00	0.96103
252.00	0.94907
253.00	0.93633
254.00	0.92252
255.00	0.90975
256.00	0.89634
257.00	0.88330
258.00	0.87205
259.00	0.86228
260.00	0.85431
261.00	0.84682
262.00	0.84182
263.00	0.83623
264.00	0.82947
265.00	0.82421
266.00	0.82038
267.00	0.81789
268.00	0.81327
269.00	0.80651
270.00	0.79759
271.00	0.78564
272.00	0.77252
273.00	0.75838
274.00	0.74259
275.00	0.72535
276.00	0.70578
277.00	0.68323
278.00	0.65794
279.00	0.62968
280.00	0.59996
281.00	0.56936
282.00	0.53853
283.00	0.50768
284.00	0.47684
285.00	0.44642
286.00	0.41640
287.00	0.38785
288.00	0.36070
289.00	0.33509
290.00	0.31078
291.00	0.28922
292.00	0.26984
293.00	0.25233
294.00	0.23695
295.00	0.22392
296.00	0.21302
297.00	0.20376
298.00	0.19627
299.00	0.19084
300.00	0.18730
301.00	0.18476
302.00	0.18394
303.00	0.18377
304.00	0.18511
305.00	0.18697
306.00	0.18998
307.00	0.19360
308.00	0.19819
309.00	0.20342
310.00	0.20891
311.00	0.21507
312.00	0.22140
313.00	0.22801
314.00	0.23482
315.00	0.24225
316.00	0.24928
317.00	0.25697
318.00	0.26412
319.00	0.27214
320.00	0.28002
321.00	0.28728
322.00	0.29481
323.00	0.30202
324.00	0.30876
325.00	0.31555
326.00	0.32246
327.00	0.32914
328.00	0.33439
329.00	0.33988
330.00	0.34548
331.00	0.35022
332.00	0.35470
333.00	0.35833
334.00	0.36179
335.00	0.36479
336.00	0.36723
337.00	0.36918
338.00	0.37067
339.00	0.37126
340.00	0.37169
341.00	0.37128
342.00	0.37083
343.00	0.36931
344.00	0.36754
345.00	0.36498
346.00	0.36186
347.00	0.35863
348.00	0.35401
349.00	0.34981
350.00	0.34455
351.00	0.33888
352.00	0.33305
353.00	0.32685
354.00	0.32023
355.00	0.31281
356.00	0.30571
357.00	0.29813
358.00	0.29059
359.00	0.28223
360.00	0.27422
361.00	0.26547
362.00	0.25633
363.00	0.24677
364.00	0.23770
365.00	0.22886
366.00	0.22019
367.00	0.21087
368.00	0.20110
369.00	0.19133
370.00	0.18316
371.00	0.17361
372.00	0.16477
373.00	0.15600
374.00	0.14752
375.00	0.13933
376.00	0.13126
377.00	0.12413
378.00	0.11701
379.00	0.10937
380.00	0.10262
381.00	0.096072
382.00	0.089648
383.00	0.082805
384.00	0.077413
385.00	0.071823
386.00	0.065972
387.00	0.060705
388.00	0.055954
389.00	0.051185
390.00	0.046617
391.00	0.042390
392.00	0.038989
393.00	0.035990
394.00	0.032261
395.00	0.029323
396.00	0.025938
397.00	0.023874
398.00	0.021577
399.00	0.019553
400.00	0.017399
401.00	0.015226
402.00	0.013399
403.00	0.012623
404.00	0.011536
405.00	0.010756
406.00	0.0090853
407.00	0.0075890
408.00	0.0076512
409.00	0.0066492
410.00	0.0057221
411.00	0.0053854
412.00	0.0052871
413.00	0.0051041
414.00	0.0042138
415.00	0.0043106
416.00	0.0042836
417.00	0.0041756
418.00	0.0035943
419.00	0.0033918
420.00	0.0033903
421.00	0.0044276
422.00	0.0042273
423.00	0.0039220
424.00	0.0035830
425.00	0.0029200
426.00	0.0027722
427.00	0.0034360
428.00	0.0025735
429.00	0.0032395
430.00	0.0032643
431.00	0.0023657
432.00	0.0021182
433.00	0.0036903
434.00	0.0041238
435.00	0.0028502
436.00	0.0028540
437.00	0.0029072
438.00	0.0026470
439.00	0.0022082
440.00	0.0028840
441.00	0.0044516
442.00	0.0033535
443.00	0.0037833
444.00	0.0042603
445.00	0.0042003
446.00	0.0045918
447.00	0.0038755
448.00	0.0039100
449.00	0.0039903
450.00	0.0039033
