Wavelength (nm)	C01 ems
300.00	0.32014
300.50	0.31582
301.00	0.31116
301.50	0.30977
302.00	0.30747
302.50	0.30094
303.00	0.29386
303.50	0.29150
304.00	0.28237
304.50	0.27753
305.00	0.27585
305.50	0.27188
306.00	0.26661
306.50	0.26938
307.00	0.27528
307.50	0.29697
308.00	0.30689
308.50	0.32255
309.00	0.32691
309.50	0.32929
310.00	0.32618
310.50	0.31816
311.00	0.31673
311.50	0.31869
312.00	0.32042
312.50	0.32949
313.00	0.33453
313.50	0.34120
314.00	0.34862
314.50	0.36169
315.00	0.38042
315.50	0.44465
316.00	0.49081
316.50	0.60012
317.00	0.69657
317.50	0.83311
318.00	0.88172
318.50	0.94596
319.00	0.98169
319.50	0.99543
320.00	0.99007
320.50	0.99364
321.00	0.99683
321.50	0.99595
322.00	1.00000
322.50	0.99102
323.00	0.97740
323.50	0.94571
324.00	0.92669
324.50	0.89305
325.00	0.86469
325.50	0.83343
326.00	0.82291
326.50	0.81414
327.00	0.81346
327.50	0.81663
328.00	0.82678
328.50	0.83736
329.00	0.84062
329.50	0.84952
330.00	0.85051
330.50	0.85931
331.00	0.86446
331.50	0.89599
332.00	0.91498
332.50	0.94140
333.00	0.96344
333.50	0.97466
334.00	0.97931
334.50	0.95926
335.00	0.93513
335.50	0.89417
336.00	0.87858
336.50	0.84458
337.00	0.83817
337.50	0.81900
338.00	0.80558
338.50	0.78562
339.00	0.76386
339.50	0.72556
340.00	0.70780
340.50	0.67698
341.00	0.65539
341.50	0.63345
342.00	0.62237
342.50	0.60706
343.00	0.60226
343.50	0.59438
344.00	0.59138
344.50	0.59084
345.00	0.58273
345.50	0.58121
346.00	0.57400
346.50	0.56353
347.00	0.55605
347.50	0.54609
348.00	0.53961
348.50	0.53395
349.00	0.52297
349.50	0.50914
350.00	0.50315
350.50	0.48612
351.00	0.47541
351.50	0.45087
352.00	0.43935
352.50	0.42033
353.00	0.41196
353.50	0.39469
354.00	0.38786
354.50	0.37053
355.00	0.36676
355.50	0.35415
356.00	0.34590
356.50	0.33159
357.00	0.32529
357.50	0.30857
358.00	0.30042
358.50	0.28738
359.00	0.27803
359.50	0.26726
360.00	0.25934
360.50	0.25000
361.00	0.24553
361.50	0.23523
362.00	0.23458
362.50	0.22770
363.00	0.22503
363.50	0.21882
364.00	0.21412
364.50	0.20883
365.00	0.20285
365.50	0.19493
366.00	0.19248
366.50	0.18497
367.00	0.18044
367.50	0.17377
368.00	0.17206
368.50	0.16304
369.00	0.16014
369.50	0.15003
370.00	0.14599
370.50	0.14139
371.00	0.13875
371.50	0.13172
372.00	0.12990
372.50	0.12421
373.00	0.12198
373.50	0.11798
374.00	0.11806
374.50	0.11290
375.00	0.11173
375.50	0.10905
376.00	0.10505
376.50	0.10271
377.00	0.099504
377.50	0.096873
378.00	0.095418
378.50	0.090293
379.00	0.088729
379.50	0.084357
380.00	0.083862
380.50	0.082179
381.00	0.078685
381.50	0.076749
382.00	0.074122
382.50	0.074579
383.00	0.070671
383.50	0.070155
384.00	0.067963
384.50	0.066623
385.00	0.065602
385.50	0.062439
386.00	0.060654
386.50	0.059173
387.00	0.058132
387.50	0.056831
388.00	0.056236
388.50	0.053504
389.00	0.051820
389.50	0.050649
390.00	0.049286
390.50	0.047921
391.00	0.047624
391.50	0.045675
