Wavelength (nm)	C02 abs N
260.00	0.56381
260.25	0.50881
260.50	0.45851
260.75	0.41734
261.00	0.38026
261.25	0.34959
261.50	0.32085
261.75	0.29767
262.00	0.27374
262.25	0.25420
262.50	0.23822
262.75	0.22361
263.00	0.20991
263.25	0.19720
263.50	0.18611
263.75	0.17613
264.00	0.16679
264.25	0.15695
264.50	0.15107
264.75	0.14338
265.00	0.13584
265.25	0.13118
265.50	0.12434
265.75	0.11846
266.00	0.11414
266.25	0.10857
266.50	0.10584
266.75	0.10152
267.00	0.099508
267.25	0.094523
267.50	0.091342
267.75	0.088178
268.00	0.085396
268.25	0.082661
268.50	0.079294
268.75	0.076754
269.00	0.074519
269.25	0.072714
269.50	0.071175
269.75	0.068464
270.00	0.067042
270.25	0.064963
270.50	0.063057
270.75	0.062010
271.00	0.060509
271.25	0.059767
271.50	0.057798
271.75	0.056884
272.00	0.052938
272.25	0.050750
272.50	0.052008
272.75	0.050047
273.00	0.050992
273.25	0.048343
273.50	0.047898
273.75	0.046578
274.00	0.044765
274.25	0.044530
274.50	0.045241
274.75	0.042507
275.00	0.042421
275.25	0.042022
275.50	0.039670
275.75	0.038592
276.00	0.038678
276.25	0.038006
276.50	0.037498
276.75	0.036248
277.00	0.036982
277.25	0.035107
277.50	0.034959
277.75	0.034544
278.00	0.035662
278.25	0.036138
278.50	0.033708
278.75	0.035474
279.00	0.032716
279.25	0.034740
279.50	0.033529
279.75	0.034841
280.00	0.033458
280.25	0.033826
280.50	0.033497
280.75	0.033349
281.00	0.033247
281.25	0.032489
281.50	0.032450
281.75	0.032943
282.00	0.033583
282.25	0.032927
282.50	0.033794
282.75	0.032896
283.00	0.031747
283.25	0.032357
283.50	0.032294
283.75	0.031060
284.00	0.032278
284.25	0.033115
284.50	0.032357
284.75	0.031669
285.00	0.031817
285.25	0.031106
285.50	0.029942
285.75	0.030895
286.00	0.030450
286.25	0.030184
286.50	0.030614
286.75	0.030395
287.00	0.031833
287.25	0.031849
287.50	0.030669
287.75	0.030130
288.00	0.032880
288.25	0.032185
288.50	0.033318
288.75	0.033255
289.00	0.032825
289.25	0.033912
289.50	0.033998
289.75	0.036545
290.00	0.035037
290.25	0.038240
290.50	0.036998
290.75	0.039842
291.00	0.040577
291.25	0.040522
291.50	0.041006
291.75	0.042702
292.00	0.044835
292.25	0.045101
292.50	0.048281
292.75	0.048375
293.00	0.051586
293.25	0.050688
293.50	0.051196
293.75	0.053352
294.00	0.054399
294.25	0.055712
294.50	0.056282
294.75	0.057165
295.00	0.056907
295.25	0.056946
295.50	0.059400
295.75	0.058673
296.00	0.061197
296.25	0.061135
296.50	0.061619
296.75	0.062791
297.00	0.062338
297.25	0.060189
297.50	0.063221
297.75	0.059900
298.00	0.061713
298.25	0.060713
298.50	0.062049
298.75	0.062463
299.00	0.060463
299.25	0.060666
299.50	0.061111
299.75	0.063236
300.00	0.064948
300.25	0.064744
300.50	0.065120
300.75	0.066878
301.00	0.067167
301.25	0.068065
301.50	0.071714
301.75	0.071839
302.00	0.074918
302.25	0.077825
302.50	0.079833
302.75	0.082247
303.00	0.084341
303.25	0.087420
303.50	0.091186
303.75	0.093546
304.00	0.098789
304.25	0.10098
304.50	0.10372
304.75	0.10601
305.00	0.11035
305.25	0.11419
305.50	0.11757
305.75	0.12075
306.00	0.12385
306.25	0.12964
306.50	0.13086
306.75	0.13508
307.00	0.13750
307.25	0.14000
307.50	0.14348
307.75	0.14599
308.00	0.14828
308.25	0.15116
308.50	0.15220
308.75	0.15452
309.00	0.15545
309.25	0.15615
309.50	0.15615
309.75	0.15364
310.00	0.15040
310.25	0.15239
310.50	0.15045
310.75	0.14798
311.00	0.14219
311.25	0.14479
311.50	0.14541
311.75	0.14512
312.00	0.14148
312.25	0.14655
312.50	0.14390
312.75	0.13811
313.00	0.14142
313.25	0.13819
313.50	0.13572
313.75	0.14060
314.00	0.14153
314.25	0.14437
314.50	0.14036
314.75	0.15277
315.00	0.14901
315.25	0.15648
315.50	0.15626
315.75	0.16673
316.00	0.16732
316.25	0.17315
316.50	0.17979
316.75	0.18380
317.00	0.18774
317.25	0.19498
317.50	0.20480
317.75	0.21164
318.00	0.22332
318.25	0.23100
318.50	0.23674
318.75	0.23997
319.00	0.24704
319.25	0.25570
319.50	0.26510
319.75	0.26347
320.00	0.27207
320.25	0.27375
320.50	0.28088
320.75	0.28833
321.00	0.29957
321.25	0.29943
321.50	0.31269
321.75	0.32027
322.00	0.32785
322.25	0.33479
322.50	0.34224
322.75	0.34117
323.00	0.35123
323.25	0.35469
323.50	0.35084
323.75	0.34848
324.00	0.34744
324.25	0.34542
324.50	0.34209
324.75	0.33319
325.00	0.33014
325.25	0.32018
325.50	0.31456
325.75	0.31113
326.00	0.30911
326.25	0.29663
326.50	0.29406
326.75	0.28683
327.00	0.28342
327.25	0.28448
327.50	0.27253
327.75	0.27075
328.00	0.26924
328.25	0.26839
328.50	0.26433
328.75	0.26485
329.00	0.26863
329.25	0.26716
