Wavelength (nm)	C02 ems
360.00	0.0052573
360.50	0.0051426
361.00	0.0055436
361.50	0.0063015
362.00	0.0068360
362.50	0.0078570
363.00	0.0086678
363.50	0.010872
364.00	0.012217
364.50	0.016055
365.00	0.019557
365.50	0.027612
366.00	0.032864
366.50	0.042909
367.00	0.051063
367.50	0.065794
368.00	0.074359
368.50	0.090192
369.00	0.10446
369.50	0.13820
370.00	0.16347
370.50	0.22113
371.00	0.27441
371.50	0.38922
372.00	0.46454
372.50	0.58540
373.00	0.67483
373.50	0.79977
374.00	0.85259
374.50	0.91730
375.00	0.93689
375.50	0.92910
376.00	0.90739
376.50	0.84844
377.00	0.80424
377.50	0.73022
378.00	0.69406
378.50	0.64375
379.00	0.61639
379.50	0.58192
380.00	0.56345
380.50	0.53427
381.00	0.51090
381.50	0.46138
382.00	0.43495
382.50	0.38493
383.00	0.35612
383.50	0.31178
384.00	0.29411
384.50	0.26973
385.00	0.25694
385.50	0.24523
386.00	0.24345
386.50	0.24138
387.00	0.24322
387.50	0.25317
388.00	0.26093
388.50	0.28057
389.00	0.30068
389.50	0.34067
390.00	0.36726
390.50	0.41643
391.00	0.46125
391.50	0.53484
392.00	0.57900
392.50	0.65136
393.00	0.70512
393.50	0.79139
394.00	0.83608
394.50	0.89959
395.00	0.93577
395.50	0.97970
396.00	0.99185
396.50	1.0000
397.00	0.99517
397.50	0.97391
398.00	0.95510
398.50	0.91748
399.00	0.88596
399.50	0.82715
400.00	0.79588
400.50	0.73898
401.00	0.70192
401.50	0.64532
402.00	0.61635
402.50	0.56927
403.00	0.53939
403.50	0.49342
404.00	0.47060
404.50	0.43045
405.00	0.40617
405.50	0.36761
406.00	0.35114
406.50	0.31872
407.00	0.30091
407.50	0.27608
408.00	0.26600
408.50	0.25152
409.00	0.24414
409.50	0.23666
410.00	0.23575
410.50	0.23660
411.00	0.23912
411.50	0.24741
412.00	0.25312
412.50	0.26529
413.00	0.27645
413.50	0.29564
414.00	0.30618
414.50	0.32681
415.00	0.34198
415.50	0.36626
416.00	0.37925
416.50	0.39954
417.00	0.41494
417.50	0.43362
418.00	0.44344
418.50	0.45594
419.00	0.46236
419.50	0.46914
420.00	0.47115
420.50	0.47043
421.00	0.46691
421.50	0.45713
422.00	0.45055
422.50	0.43581
423.00	0.42491
423.50	0.40284
424.00	0.39155
424.50	0.36886
425.00	0.35394
425.50	0.32894
426.00	0.31556
426.50	0.29247
427.00	0.27804
427.50	0.25462
428.00	0.24263
428.50	0.22361
429.00	0.21168
429.50	0.19381
430.00	0.18560
430.50	0.17084
431.00	0.16215
431.50	0.14926
432.00	0.14371
432.50	0.13476
433.00	0.12885
433.50	0.12119
434.00	0.11823
434.50	0.11345
435.00	0.11102
435.50	0.10809
436.00	0.10703
436.50	0.10697
437.00	0.10664
437.50	0.10762
438.00	0.10809
438.50	0.11009
439.00	0.11191
439.50	0.11463
440.00	0.11630
440.50	0.11927
441.00	0.12159
441.50	0.12510
442.00	0.12700
442.50	0.13047
443.00	0.13262
443.50	0.13545
444.00	0.13669
444.50	0.13843
445.00	0.13925
445.50	0.13991
446.00	0.14044
446.50	0.13985
447.00	0.13934
447.50	0.13774
448.00	0.13589
448.50	0.13310
449.00	0.13058
449.50	0.12584
450.00	0.12301
450.50	0.11768
451.00	0.11438
451.50	0.10750
452.00	0.10384
452.50	0.097614
453.00	0.093400
453.50	0.086552
454.00	0.083521
454.50	0.077289
455.00	0.073399
455.50	0.067720
456.00	0.065309
456.50	0.060898
457.00	0.057682
457.50	0.053528
458.00	0.051306
458.50	0.047979
459.00	0.045899
459.50	0.042929
460.00	0.041725
460.50	0.039552
461.00	0.038160
461.50	0.036500
462.00	0.035499
462.50	0.034187
463.00	0.033358
463.50	0.032156
464.00	0.031806
464.50	0.031015
465.00	0.030601
465.50	0.030095
466.00	0.029792
466.50	0.029529
467.00	0.029321
467.50	0.029301
468.00	0.029204
468.50	0.029249
469.00	0.029335
469.50	0.029235
470.00	0.029350
470.50	0.029666
471.00	0.029696
471.50	0.029842
472.00	0.029994
472.50	0.029980
473.00	0.030051
473.50	0.030131
474.00	0.030036
474.50	0.030126
475.00	0.030062
475.50	0.029749
476.00	0.029496
476.50	0.029189
477.00	0.028729
477.50	0.028218
478.00	0.027865
478.50	0.027035
479.00	0.026429
479.50	0.025391
480.00	0.024994
480.50	0.023999
481.00	0.023325
481.50	0.022055
482.00	0.021586
482.50	0.020426
483.00	0.019724
483.50	0.018676
484.00	0.018095
484.50	0.017246
485.00	0.016485
485.50	0.015560
486.00	0.015064
486.50	0.014299
487.00	0.013628
487.50	0.012922
488.00	0.012583
488.50	0.011954
489.00	0.011525
489.50	0.010904
490.00	0.010501
490.50	0.0099642
491.00	0.0097412
491.50	0.0092321
492.00	0.0089912
492.50	0.0086382
493.00	0.0083951
493.50	0.0080008
494.00	0.0079400
494.50	0.0075955
495.00	0.0073892
495.50	0.0071381
496.00	0.0070057
496.50	0.0068302
497.00	0.0066307
497.50	0.0065759
498.00	0.0063533
498.50	0.0063653
499.00	0.0062718
499.50	0.0060355
500.00	0.0060447
500.50	0.0058858
501.00	0.0058943
501.50	0.0058252
502.00	0.0058225
502.50	0.0056684
503.00	0.0057151
503.50	0.0056432
504.00	0.0056010
504.50	0.0055138
505.00	0.0054786
505.50	0.0054166
506.00	0.0054235
506.50	0.0054514
507.00	0.0053614
507.50	0.0052193
508.00	0.0052613
508.50	0.0052000
509.00	0.0051084
509.50	0.0051465
510.00	0.0049741
510.50	0.0049606
511.00	0.0048587
511.50	0.0047318
512.00	0.0046831
512.50	0.0046020
513.00	0.0045649
513.50	0.0043516
514.00	0.0043032
514.50	0.0042542
515.00	0.0041129
515.50	0.0040085
516.00	0.0038989
516.50	0.0037927
517.00	0.0037750
517.50	0.0036236
518.00	0.0035696
518.50	0.0033502
519.00	0.0033662
519.50	0.0031920
520.00	0.0031594
520.50	0.0030503
