Wavelength (nm)	C03 abs N
275.00	0.39733
276.00	0.48936
277.00	0.65119
278.00	0.85368
279.00	0.98440
280.00	1.0000
281.00	0.92453
282.00	0.80782
283.00	0.69738
284.00	0.60466
285.00	0.51676
286.00	0.42451
287.00	0.33174
288.00	0.24822
289.00	0.18287
290.00	0.13784
291.00	0.11191
292.00	0.10133
293.00	0.10195
294.00	0.11017
295.00	0.12252
296.00	0.13061
297.00	0.12719
298.00	0.11254
299.00	0.092180
300.00	0.071081
301.00	0.052233
302.00	0.037778
303.00	0.027320
304.00	0.020422
305.00	0.015454
306.00	0.011705
307.00	0.0091554
308.00	0.0075077
309.00	0.0064264
310.00	0.0054554
311.00	0.0045906
312.00	0.0039899
313.00	0.0035503
314.00	0.0032587
315.00	0.0029941
316.00	0.0027305
317.00	0.0026387
318.00	0.0024011
319.00	0.0023219
320.00	0.0024398
321.00	0.0020218
322.00	0.0021631
323.00	0.0020767
324.00	0.0018477
325.00	0.0017455
326.00	0.0017622
327.00	0.0017163
328.00	0.0015655
329.00	0.0015727
330.00	0.0016150
331.00	0.0014148
332.00	0.0014593
333.00	0.0014476
334.00	0.0014382
335.00	0.0014692
336.00	0.0016087
337.00	0.0016384
338.00	0.0016452
339.00	0.0015633
340.00	0.0017586
341.00	0.0016096
342.00	0.0016195
343.00	0.0015637
344.00	0.0015813
345.00	0.0016825
346.00	0.0015660
347.00	0.0017500
348.00	0.0018148
349.00	0.0018657
350.00	0.0017536
351.00	0.0018211
352.00	0.0018967
353.00	0.0021361
354.00	0.0023291
355.00	0.0023786
356.00	0.0024812
357.00	0.0024920
358.00	0.0026589
359.00	0.0024618
360.00	0.0022702
361.00	0.0022396
362.00	0.0023665
363.00	0.0025302
364.00	0.0025109
365.00	0.0025770
366.00	0.0031116
367.00	0.0031696
368.00	0.0032160
369.00	0.0035323
370.00	0.0037244
371.00	0.0037015
372.00	0.0040902
373.00	0.0044295
374.00	0.0048142
375.00	0.0050442
376.00	0.0051697
377.00	0.0053654
378.00	0.0047332
379.00	0.0043296
380.00	0.0042423
381.00	0.0038761
382.00	0.0038198
383.00	0.0039355
384.00	0.0039791
385.00	0.0042549
386.00	0.0043467
387.00	0.0047008
388.00	0.0053213
389.00	0.0058788
390.00	0.0064390
391.00	0.0073623
392.00	0.0080620
393.00	0.0086830
394.00	0.0092981
395.00	0.010142
396.00	0.010963
397.00	0.011033
398.00	0.010118
399.00	0.0093323
400.00	0.0084449
401.00	0.0078146
402.00	0.0070087
403.00	0.0067387
404.00	0.0066258
405.00	0.0065290
406.00	0.0062959
407.00	0.0065353
408.00	0.0071828
409.00	0.0078555
410.00	0.0086434
411.00	0.0097246
412.00	0.011387
413.00	0.012744
414.00	0.014366
415.00	0.016708
416.00	0.018641
417.00	0.020418
418.00	0.021493
419.00	0.021735
420.00	0.021579
421.00	0.020746
422.00	0.019326
423.00	0.017637
424.00	0.016016
425.00	0.014226
426.00	0.013015
427.00	0.011463
428.00	0.010533
429.00	0.0098277
430.00	0.0094929
431.00	0.0093710
432.00	0.0097516
433.00	0.010595
434.00	0.011411
435.00	0.012687
436.00	0.014507
437.00	0.016506
438.00	0.018917
439.00	0.021832
440.00	0.025551
441.00	0.029539
442.00	0.033448
443.00	0.037749
444.00	0.040576
445.00	0.041593
446.00	0.041041
447.00	0.038505
448.00	0.035058
449.00	0.031186
450.00	0.027022
451.00	0.022984
452.00	0.019314
453.00	0.016035
454.00	0.013107
455.00	0.011146
456.00	0.0094061
457.00	0.0088364
458.00	0.0085169
459.00	0.0082582
460.00	0.0086299
461.00	0.0084062
462.00	0.0091415
463.00	0.0099474
464.00	0.010829
465.00	0.012527
466.00	0.014280
467.00	0.016748
468.00	0.019028
469.00	0.020908
470.00	0.024133
471.00	0.028410
472.00	0.034150
473.00	0.039610
474.00	0.043946
475.00	0.046357
476.00	0.045400
477.00	0.040810
478.00	0.035088
479.00	0.028248
480.00	0.022056
481.00	0.016913
482.00	0.012750
483.00	0.0096238
484.00	0.0069929
485.00	0.0056858
486.00	0.0037658
487.00	0.0030108
488.00	0.0027746
489.00	0.0021334
490.00	0.0017010
491.00	0.0015790
492.00	0.0012852
493.00	0.0010728
494.00	0.0012600
495.00	0.0011471
496.00	0.00085009
497.00	0.00066741
498.00	0.0013145
499.00	0.0010589
500.00	0.00085369
501.00	0.00066291
502.00	0.00074750
503.00	0.00087079
504.00	0.00084469
505.00	0.00041093
506.00	0.00082670
507.00	0.00092704
508.00	0.00086044
509.00	0.00074300
510.00	0.00090409
511.00	0.00069351
512.00	0.0010679
513.00	0.0011565
514.00	0.00088789
515.00	0.00076055
516.00	0.00088069
517.00	0.00092659
518.00	0.0010391
519.00	0.00080825
520.00	0.0010823
521.00	0.00050813
522.00	0.00071961
523.00	0.00083165
524.00	0.00095718
525.00	0.0010265
526.00	0.00097068
527.00	0.00050453
528.00	0.00054727
529.00	0.00064311
530.00	0.00040284
531.00	0.00088069
532.00	0.0011003
533.00	0.00055717
534.00	0.00060847
535.00	0.00081590
536.00	0.00078350
537.00	0.00024445
538.00	0.00061927
539.00	0.00099273
540.00	0.00053872
541.00	0.00086449
542.00	0.00099363
543.00	0.00089914
544.00	0.00095268
545.00	0.00087079
546.00	0.00068631
547.00	0.00059452
548.00	0.00075470
549.00	0.00091534
550.00	0.00043163
551.00	0.00071511
552.00	0.00051757
553.00	0.00053512
554.00	0.00075290
555.00	0.00050768
556.00	0.00029395
557.00	0.00055357
558.00	0.00076955
559.00	0.00054862
560.00	0.00058732
561.00	0.00048563
562.00	0.00087304
563.00	0.00029799
564.00	0.00046043
565.00	0.00052522
566.00	0.00050948
567.00	0.00051847
568.00	0.00047528
569.00	0.00057517
570.00	0.00052522
571.00	0.00052702
572.00	0.00033894
573.00	0.00053872
574.00	0.00050273
575.00	0.00047078
576.00	0.00048698
577.00	0.00052657
578.00	0.00042173
579.00	0.00051623
580.00	0.00056167
581.00	0.00052657
582.00	0.00031779
583.00	0.00047978
584.00	0.00066741
585.00	0.00049733
586.00	0.00038394
587.00	0.00061702
588.00	0.00041813
589.00	0.00052882
590.00	0.00058372
591.00	0.00047708
592.00	0.00055042
593.00	0.00051712
594.00	0.00056797
595.00	0.00050363
596.00	0.00041588
597.00	0.00045683
598.00	0.00048608
599.00	0.00045683
600.00	0.00058372
601.00	0.00045233
602.00	0.00048248
603.00	0.00040014
604.00	0.00049643
605.00	0.00049463
606.00	0.00046088
607.00	0.00054907
608.00	0.00047078
609.00	0.00045818
610.00	0.00053512
611.00	0.00042218
612.00	0.00033849
613.00	0.00042938
614.00	0.00051308
615.00	0.00060667
616.00	0.00032904
617.00	0.00037719
618.00	0.00043928
619.00	0.00028990
620.00	0.00048653
621.00	0.00028540
622.00	0.00044423
623.00	0.00037224
624.00	0.00035109
625.00	0.00033039
626.00	0.00045143
627.00	0.00053017
628.00	0.00053332
629.00	0.00052972
630.00	0.00034974
631.00	0.00047933
632.00	0.00058417
633.00	0.00046313
634.00	0.00032499
635.00	0.00051982
636.00	0.00036594
637.00	0.00043208
638.00	0.00037674
639.00	0.00059407
640.00	0.00050813
641.00	0.00078845
642.00	0.00094369
643.00	0.00062332
644.00	0.00076595
645.00	0.00068811
646.00	0.00069306
647.00	0.00058147
648.00	0.00060712
649.00	0.00064311
650.00	0.00075380
651.00	0.00075335
652.00	0.00056122
653.00	0.00047078
654.00	0.00042803
655.00	0.0013909
656.00	0.00031014
657.00	0.00070971
658.00	0.00073715
659.00	0.00049058
660.00	0.00027550
661.00	0.00043208
662.00	0.00047483
663.00	0.00025705
664.00	0.00065706
665.00	0.00063996
666.00	0.0010103
667.00	0.00078935
668.00	0.00056662
669.00	0.00055312
670.00	0.00022510
671.00	0.00039249
672.00	0.00029305
673.00	0.00035739
674.00	0.00046448
675.00	0.00035514
676.00	0.00018101
677.00	0.00043388
678.00	0.00048923
679.00	0.00042263
680.00	0.00036099
681.00	0.00036864
682.00	0.00055852
683.00	0.00021520
684.00	0.00043253
685.00	0.00044558
686.00	0.00042398
687.00	0.00036189
688.00	0.00049328
689.00	0.00058507
690.00	0.00050813
691.00	0.00011891
692.00	0.00044288
693.00	0.00034749
694.00	0.00018416
695.00	0.00029350
696.00	0.00027910
697.00	0.00047483
698.00	0.00041498
699.00	0.00028270
700.00	0.00038034
