Wavelength (nm)	C03 ems
450.00	0.0032947
451.00	0.0029620
452.00	0.0030112
453.00	0.0028252
454.00	0.0027857
455.00	0.0027992
456.00	0.0031227
457.00	0.0036910
458.00	0.0041623
459.00	0.0051599
460.00	0.0060062
461.00	0.0083824
462.00	0.011194
463.00	0.016077
464.00	0.023127
465.00	0.032736
466.00	0.046328
467.00	0.066193
468.00	0.091403
469.00	0.13042
470.00	0.18650
471.00	0.26906
472.00	0.38335
473.00	0.52443
474.00	0.67723
475.00	0.82180
476.00	0.93117
477.00	0.99493
478.00	1.0000
479.00	0.96142
480.00	0.89689
481.00	0.82121
482.00	0.74773
483.00	0.67734
484.00	0.60644
485.00	0.53701
486.00	0.47327
487.00	0.41289
488.00	0.36320
489.00	0.31893
490.00	0.28481
491.00	0.25691
492.00	0.23510
493.00	0.21650
494.00	0.20363
495.00	0.19339
496.00	0.18651
497.00	0.18594
498.00	0.18880
499.00	0.20172
500.00	0.22107
501.00	0.24607
502.00	0.28174
503.00	0.31997
504.00	0.36729
505.00	0.41702
506.00	0.46639
507.00	0.51647
508.00	0.56607
509.00	0.61304
510.00	0.64522
511.00	0.66687
512.00	0.67191
513.00	0.66533
514.00	0.64656
515.00	0.61802
516.00	0.58325
517.00	0.53748
518.00	0.49451
519.00	0.45012
520.00	0.40779
521.00	0.36820
522.00	0.33008
523.00	0.29553
524.00	0.26422
525.00	0.23800
526.00	0.21668
527.00	0.19542
528.00	0.17890
529.00	0.16486
530.00	0.15300
531.00	0.14521
532.00	0.13990
533.00	0.13486
534.00	0.13166
535.00	0.13099
536.00	0.13202
537.00	0.13427
538.00	0.13891
539.00	0.14577
540.00	0.15341
541.00	0.15857
542.00	0.16612
543.00	0.17492
544.00	0.18214
545.00	0.18998
546.00	0.19598
547.00	0.20196
548.00	0.20609
549.00	0.20823
550.00	0.21000
551.00	0.20966
552.00	0.20583
553.00	0.20104
554.00	0.19597
555.00	0.18921
556.00	0.18054
557.00	0.16926
558.00	0.15961
559.00	0.14798
560.00	0.13780
561.00	0.12640
562.00	0.11707
563.00	0.10705
564.00	0.097258
565.00	0.088954
566.00	0.081347
567.00	0.074348
568.00	0.068256
569.00	0.062815
570.00	0.059322
571.00	0.054816
572.00	0.051128
573.00	0.048460
574.00	0.045977
575.00	0.043998
576.00	0.042395
577.00	0.041226
578.00	0.040560
579.00	0.039599
580.00	0.039267
581.00	0.039424
582.00	0.038903
583.00	0.039234
584.00	0.039624
585.00	0.039470
586.00	0.039558
587.00	0.040846
588.00	0.040465
589.00	0.040929
590.00	0.041099
591.00	0.040834
592.00	0.041301
593.00	0.041835
594.00	0.041231
595.00	0.040261
596.00	0.039095
597.00	0.038614
598.00	0.038042
599.00	0.036700
600.00	0.035732
601.00	0.034592
602.00	0.033056
603.00	0.031298
604.00	0.029346
605.00	0.027898
606.00	0.026161
607.00	0.024124
608.00	0.022642
609.00	0.021280
610.00	0.018751
611.00	0.017587
612.00	0.016326
613.00	0.014758
614.00	0.013826
615.00	0.012438
616.00	0.011954
617.00	0.010559
618.00	0.0093370
619.00	0.0085947
620.00	0.0081557
621.00	0.0076163
622.00	0.0067106
623.00	0.0063326
624.00	0.0061422
625.00	0.0053314
626.00	0.0051448
627.00	0.0048071
628.00	0.0047530
629.00	0.0046581
630.00	0.0043743
631.00	0.0042516
632.00	0.0040699
633.00	0.0038120
634.00	0.0036351
635.00	0.0035038
636.00	0.0034353
637.00	0.0028743
638.00	0.0029931
639.00	0.0033897
640.00	0.0031806
641.00	0.0034565
642.00	0.0032437
643.00	0.0029137
644.00	0.0028592
645.00	0.0028676
646.00	0.0024333
647.00	0.0025299
648.00	0.0026943
649.00	0.0022031
650.00	0.0022820
