Wavelength (nm)	C04 abs N
270.00	0.40860
271.00	0.39265
272.00	0.38278
273.00	0.37485
274.00	0.36773
275.00	0.35978
276.00	0.35302
277.00	0.34576
278.00	0.33643
279.00	0.32364
280.00	0.31020
281.00	0.29842
282.00	0.28863
283.00	0.28144
284.00	0.27748
285.00	0.27973
286.00	0.29239
287.00	0.31466
288.00	0.33479
289.00	0.33836
290.00	0.32646
291.00	0.31140
292.00	0.30586
293.00	0.31051
294.00	0.31873
295.00	0.32591
296.00	0.34664
297.00	0.41020
298.00	0.54620
299.00	0.75071
300.00	0.94680
301.00	1.00000
302.00	0.87804
303.00	0.67039
304.00	0.48242
305.00	0.34517
306.00	0.25548
307.00	0.19840
308.00	0.16322
309.00	0.13973
310.00	0.12406
311.00	0.11323
312.00	0.10563
313.00	0.10020
314.00	0.095364
315.00	0.091429
316.00	0.088258
317.00	0.086224
318.00	0.085255
319.00	0.085189
320.00	0.085736
321.00	0.086462
322.00	0.087459
323.00	0.088313
324.00	0.088670
325.00	0.088203
326.00	0.087079
327.00	0.085176
328.00	0.081644
329.00	0.076843
330.00	0.071660
331.00	0.066555
332.00	0.061847
333.00	0.058491
334.00	0.056179
335.00	0.054747
336.00	0.054562
337.00	0.055188
338.00	0.056222
339.00	0.057695
340.00	0.058687
341.00	0.059132
342.00	0.058718
343.00	0.057440
344.00	0.055253
345.00	0.052076
346.00	0.048164
347.00	0.043697
348.00	0.039261
349.00	0.035206
350.00	0.031731
351.00	0.028890
352.00	0.026463
353.00	0.024695
354.00	0.023567
355.00	0.022577
356.00	0.022006
357.00	0.021458
358.00	0.021039
359.00	0.020603
360.00	0.019925
361.00	0.019165
362.00	0.018591
363.00	0.018037
364.00	0.017492
365.00	0.017410
366.00	0.017053
367.00	0.016797
368.00	0.016693
369.00	0.016540
370.00	0.016853
371.00	0.016933
372.00	0.017208
373.00	0.017511
374.00	0.017818
375.00	0.017892
376.00	0.018478
377.00	0.018839
378.00	0.019273
379.00	0.019371
380.00	0.019084
381.00	0.018747
382.00	0.018230
383.00	0.018163
384.00	0.018029
385.00	0.017624
386.00	0.017494
387.00	0.017455
388.00	0.016904
389.00	0.016897
390.00	0.016714
391.00	0.016262
392.00	0.015841
393.00	0.016047
394.00	0.015746
395.00	0.015826
396.00	0.015993
397.00	0.016124
398.00	0.016433
399.00	0.016677
400.00	0.016759
401.00	0.016880
402.00	0.016954
403.00	0.017170
404.00	0.017075
405.00	0.016971
406.00	0.016736
407.00	0.016453
408.00	0.016059
409.00	0.016322
410.00	0.015727
411.00	0.015549
412.00	0.015408
413.00	0.015128
414.00	0.014693
415.00	0.013921
416.00	0.013257
417.00	0.012599
418.00	0.011963
419.00	0.011259
420.00	0.010833
421.00	0.010548
422.00	0.010535
423.00	0.010054
424.00	0.0099343
425.00	0.0099645
426.00	0.0098742
427.00	0.0096669
428.00	0.0098313
429.00	0.0094466
430.00	0.0095776
431.00	0.0094597
432.00	0.0093897
433.00	0.0093517
434.00	0.0089389
435.00	0.0090542
436.00	0.0091855
437.00	0.0090535
438.00	0.0087729
439.00	0.0088993
440.00	0.0090332
441.00	0.0089576
442.00	0.0087841
443.00	0.0089462
444.00	0.0092098
445.00	0.0089921
446.00	0.0089687
447.00	0.0088402
448.00	0.0089919
449.00	0.0091762
450.00	0.0090479
451.00	0.0089945
452.00	0.0092939
453.00	0.0093540
454.00	0.0095138
455.00	0.0096441
456.00	0.0093450
457.00	0.0095875
458.00	0.0094846
459.00	0.0093441
460.00	0.0094131
461.00	0.0093330
462.00	0.0088153
463.00	0.0090378
464.00	0.0087300
465.00	0.0086020
466.00	0.0085815
467.00	0.0082829
468.00	0.0082348
469.00	0.0080261
470.00	0.0079943
471.00	0.0075917
472.00	0.0070862
473.00	0.0070032
474.00	0.0071761
475.00	0.0067870
476.00	0.0065226
477.00	0.0064767
478.00	0.0069411
479.00	0.0065090
480.00	0.0061379
481.00	0.0061393
482.00	0.0060947
483.00	0.0060233
484.00	0.0064658
485.00	0.0062516
486.00	0.0065248
487.00	0.0061138
488.00	0.0063065
489.00	0.0064734
490.00	0.0062507
491.00	0.0066178
492.00	0.0067850
493.00	0.0065625
494.00	0.0066817
495.00	0.0066057
496.00	0.0063139
497.00	0.0063980
498.00	0.0061985
499.00	0.0061351
500.00	0.0063976
501.00	0.0060781
502.00	0.0060383
503.00	0.0057706
504.00	0.0056449
505.00	0.0053109
506.00	0.0054108
507.00	0.0050938
508.00	0.0047933
509.00	0.0049413
510.00	0.0050209
511.00	0.0052320
512.00	0.0047292
513.00	0.0047600
514.00	0.0046315
515.00	0.0049331
516.00	0.0055003
517.00	0.0050817
518.00	0.0054806
519.00	0.0051751
520.00	0.0052907
521.00	0.0061542
522.00	0.0063173
523.00	0.0062955
524.00	0.0073627
525.00	0.0072387
526.00	0.0077689
527.00	0.0082127
528.00	0.0088983
529.00	0.0099092
530.00	0.0095008
531.00	0.0098457
532.00	0.010578
533.00	0.010945
534.00	0.010259
535.00	0.010581
536.00	0.010468
537.00	0.0099398
538.00	0.0096894
539.00	0.0097664
540.00	0.0091357
541.00	0.0086547
542.00	0.0087252
543.00	0.0079372
544.00	0.0079088
545.00	0.0073363
546.00	0.0068558
547.00	0.0064806
548.00	0.0063965
549.00	0.0059806
550.00	0.0056980
551.00	0.0053862
552.00	0.0053043
553.00	0.0050742
554.00	0.0050497
555.00	0.0049874
556.00	0.0048927
557.00	0.0048187
558.00	0.0040748
559.00	0.0042214
560.00	0.0042142
561.00	0.0042870
562.00	0.0043179
563.00	0.0046139
564.00	0.0046832
565.00	0.0051244
566.00	0.0055984
567.00	0.0058376
568.00	0.0065326
569.00	0.0070748
570.00	0.0077409
571.00	0.0086178
572.00	0.0095752
573.00	0.010457
574.00	0.011673
575.00	0.012590
576.00	0.013173
577.00	0.013729
578.00	0.014140
579.00	0.013708
580.00	0.013093
581.00	0.012336
582.00	0.011700
583.00	0.010682
584.00	0.0093534
585.00	0.0085176
586.00	0.0074990
587.00	0.0065143
588.00	0.0059803
589.00	0.0052454
590.00	0.0046810
591.00	0.0040889
592.00	0.0036770
593.00	0.0034294
594.00	0.0030105
595.00	0.0026900
596.00	0.0024571
597.00	0.0023485
598.00	0.0020048
599.00	0.0020224
600.00	0.0017081
