Wavelength (nm)	C04 ems
510.00	0.044800
511.00	0.047472
512.00	0.065958
513.00	0.073799
514.00	0.085881
515.00	0.10626
516.00	0.11850
517.00	0.15196
518.00	0.17426
519.00	0.21508
520.00	0.25341
521.00	0.29968
522.00	0.33598
523.00	0.40564
524.00	0.45965
525.00	0.52844
526.00	0.58920
527.00	0.65370
528.00	0.72045
529.00	0.78875
530.00	0.83627
531.00	0.89274
532.00	0.92499
533.00	0.95900
534.00	0.98337
535.00	0.99331
536.00	0.99815
537.00	0.98472
538.00	0.98486
539.00	0.96613
540.00	0.92620
541.00	0.90014
542.00	0.89280
543.00	0.86062
544.00	0.83054
545.00	0.78817
546.00	0.75774
547.00	0.72805
548.00	0.70766
549.00	0.67217
550.00	0.64727
551.00	0.62743
552.00	0.61168
553.00	0.58340
554.00	0.57275
555.00	0.56300
556.00	0.55321
557.00	0.55055
558.00	0.54597
559.00	0.53644
560.00	0.53932
561.00	0.53974
562.00	0.54503
563.00	0.56039
564.00	0.57007
565.00	0.59232
566.00	0.59257
567.00	0.62492
568.00	0.63880
569.00	0.66743
570.00	0.68120
571.00	0.72090
572.00	0.74062
573.00	0.78086
574.00	0.81257
575.00	0.83986
576.00	0.87018
577.00	0.90946
578.00	0.92648
579.00	0.95142
580.00	0.98036
581.00	0.98990
582.00	1.00000
583.00	0.98993
584.00	0.99388
585.00	0.98306
586.00	0.97361
587.00	0.95884
588.00	0.93614
589.00	0.91914
590.00	0.89670
591.00	0.88063
592.00	0.86528
593.00	0.85088
594.00	0.83022
595.00	0.80957
596.00	0.78992
597.00	0.77714
598.00	0.75386
599.00	0.73643
600.00	0.72726
601.00	0.71253
602.00	0.69013
603.00	0.67088
604.00	0.66165
605.00	0.64908
606.00	0.64007
607.00	0.61110
608.00	0.60667
609.00	0.59867
610.00	0.59293
611.00	0.57702
612.00	0.57133
613.00	0.56061
614.00	0.54654
615.00	0.54988
616.00	0.54775
617.00	0.54395
618.00	0.53263
619.00	0.53072
620.00	0.53552
621.00	0.52750
622.00	0.52463
623.00	0.53617
624.00	0.52474
625.00	0.52682
626.00	0.52328
627.00	0.53256
628.00	0.53165
629.00	0.52059
630.00	0.52243
631.00	0.51831
632.00	0.51421
633.00	0.51553
634.00	0.50416
635.00	0.49888
636.00	0.48868
637.00	0.49107
638.00	0.47416
639.00	0.47084
640.00	0.46663
641.00	0.46747
642.00	0.44899
643.00	0.44655
644.00	0.42717
645.00	0.42492
646.00	0.42101
647.00	0.40078
648.00	0.39673
649.00	0.38083
650.00	0.37578
651.00	0.37259
652.00	0.35749
653.00	0.34530
654.00	0.34490
655.00	0.33042
656.00	0.32839
657.00	0.31807
658.00	0.31466
659.00	0.31096
660.00	0.29096
661.00	0.28153
662.00	0.27970
663.00	0.27573
664.00	0.26221
665.00	0.26878
666.00	0.24873
667.00	0.23923
668.00	0.23613
669.00	0.23325
670.00	0.23378
671.00	0.21871
672.00	0.21151
673.00	0.21523
674.00	0.20568
675.00	0.20218
676.00	0.19118
677.00	0.20012
678.00	0.19572
679.00	0.17953
680.00	0.17560
681.00	0.17468
682.00	0.17066
683.00	0.15456
684.00	0.16139
685.00	0.14835
686.00	0.15874
687.00	0.14340
688.00	0.13890
689.00	0.13831
690.00	0.13816
691.00	0.13673
692.00	0.13008
693.00	0.12292
694.00	0.12139
695.00	0.12764
696.00	0.11932
697.00	0.12232
698.00	0.11274
699.00	0.10733
700.00	0.10529
701.00	0.099870
702.00	0.10790
703.00	0.099822
704.00	0.087116
705.00	0.083248
706.00	0.096070
707.00	0.088768
708.00	0.085487
709.00	0.079155
710.00	0.079187
711.00	0.067035
712.00	0.074200
713.00	0.068788
714.00	0.067926
715.00	0.069518
716.00	0.055442
717.00	0.063791
718.00	0.059522
719.00	0.064079
720.00	0.057943
721.00	0.055378
722.00	0.060771
723.00	0.050057
724.00	0.054430
725.00	0.055994
726.00	0.051942
727.00	0.043486
728.00	0.039489
729.00	0.043749
730.00	0.034007
731.00	0.046487
732.00	0.036939
733.00	0.037345
734.00	0.038482
735.00	0.027944
736.00	0.020831
737.00	0.021190
738.00	0.026400
739.00	0.015919
740.00	0.013482
741.00	0.017243
742.00	0.015685
743.00	0.0093581
744.00	0.018840
745.00	0.017511
746.00	0.017137
747.00	0.022409
748.00	0.018483
749.00	0.014831
750.00	0.012537
