Wavelength (nm)	C05 abs N
200.00	0.24718
201.00	0.26703
202.00	0.29234
203.00	0.31836
204.00	0.35347
205.00	0.39379
206.00	0.42686
207.00	0.44881
208.00	0.46245
209.00	0.47282
210.00	0.48783
211.00	0.51705
212.00	0.53207
213.00	0.49664
214.00	0.43974
215.00	0.40644
216.00	0.39069
217.00	0.36380
218.00	0.32601
219.00	0.31347
220.00	0.33638
221.00	0.34809
222.00	0.29283
223.00	0.21545
224.00	0.16046
225.00	0.13116
226.00	0.12340
227.00	0.12913
228.00	0.14234
229.00	0.15938
230.00	0.17894
231.00	0.20136
232.00	0.22697
233.00	0.25666
234.00	0.28995
235.00	0.32846
236.00	0.36715
237.00	0.40315
238.00	0.43681
239.00	0.47324
240.00	0.52132
241.00	0.57974
242.00	0.64356
243.00	0.71035
244.00	0.75976
245.00	0.77757
246.00	0.77404
247.00	0.77554
248.00	0.80387
249.00	0.85825
250.00	0.92383
251.00	0.98359
252.00	1.00000
253.00	0.93557
254.00	0.81955
255.00	0.70232
256.00	0.60316
257.00	0.53593
258.00	0.49742
259.00	0.45786
260.00	0.40238
261.00	0.34647
262.00	0.30247
263.00	0.27253
264.00	0.25998
265.00	0.25103
266.00	0.23817
267.00	0.22957
268.00	0.22198
269.00	0.20921
270.00	0.19966
271.00	0.20217
272.00	0.20978
273.00	0.21663
274.00	0.22582
275.00	0.22832
276.00	0.21373
277.00	0.18708
278.00	0.16450
279.00	0.15794
280.00	0.16558
281.00	0.17594
282.00	0.17259
283.00	0.15128
284.00	0.12766
285.00	0.11080
286.00	0.098104
287.00	0.088013
288.00	0.085548
289.00	0.097849
290.00	0.11365
291.00	0.13200
292.00	0.17861
293.00	0.22296
294.00	0.20312
295.00	0.14017
296.00	0.086627
297.00	0.053720
298.00	0.033621
299.00	0.021817
300.00	0.014794
301.00	0.011095
302.00	0.0091904
303.00	0.0080726
304.00	0.0069767
305.00	0.0065820
306.00	0.0061050
307.00	0.0060153
308.00	0.0060309
309.00	0.0059135
310.00	0.0055748
311.00	0.0055846
312.00	0.0054827
313.00	0.0056118
314.00	0.0058584
315.00	0.0060733
316.00	0.0060231
317.00	0.0055276
318.00	0.0051314
319.00	0.0046149
320.00	0.0047840
321.00	0.0052025
322.00	0.0057678
323.00	0.0061518
324.00	0.0059339
325.00	0.0054934
326.00	0.0050598
327.00	0.0048985
328.00	0.0050130
329.00	0.0056284
330.00	0.0063072
331.00	0.0056591
332.00	0.0048424
333.00	0.0044297
334.00	0.0042007
335.00	0.0038937
336.00	0.0041135
337.00	0.0047177
338.00	0.0053049
339.00	0.0052922
340.00	0.0044760
341.00	0.0035356
342.00	0.0029581
343.00	0.0027827
344.00	0.0029991
345.00	0.0042177
346.00	0.0050125
347.00	0.0043011
348.00	0.0031452
349.00	0.0025249
350.00	0.0021405
