Wavelength (nm)	C05 ems
325.00	0.023985
326.00	0.026759
327.00	0.025333
328.00	0.027080
329.00	0.030064
330.00	0.033355
331.00	0.038185
332.00	0.042048
333.00	0.044343
334.00	0.040587
335.00	0.042118
336.00	0.044887
337.00	0.057684
338.00	0.067858
339.00	0.076641
340.00	0.078779
341.00	0.081388
342.00	0.10258
343.00	0.18113
344.00	0.34874
345.00	0.62266
346.00	0.82636
347.00	0.83308
348.00	0.67497
349.00	0.53273
350.00	0.48602
351.00	0.50368
352.00	0.52270
353.00	0.53619
354.00	0.56152
355.00	0.58175
356.00	0.60100
357.00	0.60687
358.00	0.55888
359.00	0.50548
360.00	0.49265
361.00	0.56596
362.00	0.72642
363.00	0.90358
364.00	1.0000
365.00	0.94927
366.00	0.84268
367.00	0.73060
368.00	0.63842
369.00	0.58506
370.00	0.56043
371.00	0.53271
372.00	0.51406
373.00	0.50305
374.00	0.50092
375.00	0.48219
376.00	0.45937
377.00	0.42583
378.00	0.39563
379.00	0.37892
380.00	0.39022
381.00	0.41895
382.00	0.46270
383.00	0.48114
384.00	0.47943
385.00	0.45610
386.00	0.42456
387.00	0.38172
388.00	0.34164
389.00	0.30734
390.00	0.27974
391.00	0.25128
392.00	0.23371
393.00	0.21892
394.00	0.20300
395.00	0.19448
396.00	0.18628
397.00	0.17662
398.00	0.16347
399.00	0.15697
400.00	0.14500
401.00	0.14081
402.00	0.13747
403.00	0.13866
404.00	0.14246
405.00	0.13969
406.00	0.14009
407.00	0.13753
408.00	0.13010
409.00	0.12182
410.00	0.11075
411.00	0.096729
412.00	0.087205
413.00	0.078705
414.00	0.071118
415.00	0.063392
416.00	0.059673
417.00	0.054733
418.00	0.051190
419.00	0.046152
420.00	0.043695
421.00	0.040415
422.00	0.038767
423.00	0.037378
424.00	0.034327
425.00	0.033972
426.00	0.032479
427.00	0.031182
428.00	0.030007
429.00	0.030816
430.00	0.030732
431.00	0.030233
432.00	0.027890
433.00	0.026952
434.00	0.025042
435.00	0.022615
436.00	0.020736
437.00	0.018520
438.00	0.016826
439.00	0.014527
440.00	0.013789
441.00	0.013269
442.00	0.011936
443.00	0.010931
444.00	0.011207
445.00	0.0099026
446.00	0.0095587
447.00	0.0076731
448.00	0.0088635
449.00	0.0089631
450.00	0.0075561
451.00	0.0071960
452.00	0.0070448
453.00	0.0063238
454.00	0.0071557
455.00	0.0073206
456.00	0.0065270
457.00	0.0060671
458.00	0.0064050
459.00	0.0056997
460.00	0.0059589
461.00	0.0057259
462.00	0.0054172
463.00	0.0053711
464.00	0.0043610
465.00	0.0041044
466.00	0.0047012
467.00	0.0042022
468.00	0.0043564
469.00	0.0033935
470.00	0.0043011
471.00	0.0035544
472.00	0.0027819
473.00	0.0038930
474.00	0.0031831
475.00	0.0029815
476.00	0.0031064
477.00	0.0027880
478.00	0.0029567
479.00	0.0024644
480.00	0.0028232
