Wavelength (nm)	C06 ems
325.00	0.055499
325.50	0.056270
326.00	0.056735
326.50	0.056790
327.00	0.056856
327.50	0.056722
328.00	0.056367
328.50	0.057717
329.00	0.057374
329.50	0.059901
330.00	0.060009
330.50	0.060719
331.00	0.061958
331.50	0.062636
332.00	0.059772
332.50	0.060091
333.00	0.059258
333.50	0.058127
334.00	0.058635
334.50	0.061011
335.00	0.062559
335.50	0.066150
336.00	0.066879
336.50	0.069483
337.00	0.073338
337.50	0.077180
338.00	0.077273
338.50	0.079732
339.00	0.080675
339.50	0.083337
340.00	0.083002
340.50	0.086330
341.00	0.084704
341.50	0.089525
342.00	0.088924
342.50	0.091132
343.00	0.092495
343.50	0.093617
344.00	0.095762
344.50	0.10085
345.00	0.10673
345.50	0.12008
346.00	0.13361
346.50	0.15597
347.00	0.17178
347.50	0.19820
348.00	0.20823
348.50	0.21368
349.00	0.20741
349.50	0.19256
350.00	0.17819
350.50	0.15157
351.00	0.13364
351.50	0.11230
352.00	0.10307
352.50	0.096845
353.00	0.096604
353.50	0.095288
354.00	0.094412
354.50	0.096675
355.00	0.097534
355.50	0.098367
356.00	0.096307
356.50	0.098026
357.00	0.10069
357.50	0.10623
358.00	0.11303
358.50	0.12028
359.00	0.12991
359.50	0.13821
360.00	0.14375
360.50	0.15039
361.00	0.15858
361.50	0.16783
362.00	0.16987
362.50	0.17756
363.00	0.17883
363.50	0.17916
364.00	0.17705
364.50	0.17560
365.00	0.17340
365.50	0.17884
366.00	0.18600
366.50	0.21705
367.00	0.25413
367.50	0.34401
368.00	0.39950
368.50	0.49263
369.00	0.54561
369.50	0.58470
370.00	0.58249
370.50	0.54531
371.00	0.50758
371.50	0.43531
372.00	0.40341
372.50	0.37561
373.00	0.37169
373.50	0.41108
374.00	0.44199
374.50	0.50933
375.00	0.55470
375.50	0.61510
376.00	0.62279
376.50	0.61683
377.00	0.60886
377.50	0.58674
378.00	0.58706
378.50	0.62993
379.00	0.68296
379.50	0.81270
380.00	0.88463
380.50	0.97673
381.00	1.0000
381.50	0.97776
382.00	0.93439
382.50	0.84020
383.00	0.79430
383.50	0.75058
384.00	0.74837
384.50	0.76456
385.00	0.77923
385.50	0.78350
386.00	0.77899
386.50	0.75448
387.00	0.73751
387.50	0.72795
388.00	0.73529
388.50	0.76182
389.00	0.78486
389.50	0.81613
390.00	0.82256
390.50	0.81963
391.00	0.81036
391.50	0.78233
392.00	0.76455
392.50	0.73026
393.00	0.70263
393.50	0.66755
394.00	0.64593
394.50	0.62390
395.00	0.61177
395.50	0.59473
396.00	0.58718
396.50	0.58177
397.00	0.58293
397.50	0.58352
398.00	0.58263
398.50	0.57648
399.00	0.57648
399.50	0.57312
400.00	0.56894
400.50	0.56349
401.00	0.55828
401.50	0.55816
402.00	0.55835
402.50	0.55737
403.00	0.54950
403.50	0.53698
404.00	0.52638
404.50	0.51021
405.00	0.49830
405.50	0.48099
406.00	0.47393
406.50	0.46191
407.00	0.45869
407.50	0.45093
408.00	0.44349
408.50	0.43693
409.00	0.42828
409.50	0.41995
410.00	0.41246
410.50	0.40019
411.00	0.39878
411.50	0.39370
412.00	0.39650
412.50	0.38875
413.00	0.38575
413.50	0.37959
414.00	0.37464
414.50	0.37168
415.00	0.36684
415.50	0.36365
416.00	0.35715
416.50	0.34589
417.00	0.34012
417.50	0.32026
418.00	0.31579
418.50	0.29786
419.00	0.28516
419.50	0.26894
420.00	0.26110
420.50	0.25101
421.00	0.24279
421.50	0.23350
422.00	0.22861
422.50	0.22136
423.00	0.21859
423.50	0.20882
424.00	0.20794
424.50	0.20262
425.00	0.19971
425.50	0.19652
426.00	0.19350
426.50	0.19053
427.00	0.19056
427.50	0.18812
428.00	0.18393
428.50	0.17923
429.00	0.17449
429.50	0.16868
430.00	0.16759
430.50	0.15960
431.00	0.15753
431.50	0.15405
432.00	0.15252
432.50	0.14933
433.00	0.14614
433.50	0.14266
434.00	0.14124
434.50	0.13676
435.00	0.13530
435.50	0.13602
436.00	0.13335
436.50	0.13162
437.00	0.13069
437.50	0.12766
438.00	0.12493
438.50	0.12522
439.00	0.12337
439.50	0.12153
440.00	0.12100
440.50	0.11784
441.00	0.11488
441.50	0.11168
442.00	0.10916
442.50	0.10700
443.00	0.10344
443.50	0.10007
444.00	0.097249
444.50	0.092547
445.00	0.089080
445.50	0.085093
446.00	0.082648
446.50	0.078393
447.00	0.075414
447.50	0.071324
448.00	0.069614
448.50	0.065744
449.00	0.064545
449.50	0.062713
450.00	0.062450
450.50	0.058584
451.00	0.056322
451.50	0.056120
452.00	0.055018
452.50	0.052952
453.00	0.052637
453.50	0.052390
454.00	0.052205
454.50	0.049119
455.00	0.050362
455.50	0.047338
456.00	0.048230
456.50	0.045265
457.00	0.044802
457.50	0.044438
458.00	0.043052
458.50	0.043085
459.00	0.042342
459.50	0.041120
460.00	0.040968
460.50	0.040924
461.00	0.039306
461.50	0.039798
462.00	0.038950
462.50	0.038797
463.00	0.037687
463.50	0.036457
464.00	0.036692
464.50	0.037051
465.00	0.035996
465.50	0.035389
466.00	0.034876
466.50	0.035113
467.00	0.033952
467.50	0.032636
468.00	0.032545
468.50	0.031352
469.00	0.030957
469.50	0.031180
470.00	0.029403
470.50	0.030370
471.00	0.028468
471.50	0.028141
472.00	0.027400
472.50	0.026993
473.00	0.025870
473.50	0.025010
474.00	0.024563
474.50	0.023960
475.00	0.022685
475.50	0.022154
476.00	0.021527
476.50	0.020538
477.00	0.019650
477.50	0.019508
478.00	0.019098
478.50	0.018069
479.00	0.017665
479.50	0.016641
480.00	0.016104
480.50	0.015114
481.00	0.014899
481.50	0.014262
482.00	0.013852
482.50	0.014063
483.00	0.013804
483.50	0.013476
484.00	0.013316
484.50	0.012141
485.00	0.012635
485.50	0.012550
486.00	0.012119
486.50	0.011762
487.00	0.011553
487.50	0.011470
488.00	0.011484
488.50	0.011099
489.00	0.010927
489.50	0.010807
490.00	0.011281
490.50	0.010573
491.00	0.0099743
491.50	0.0099648
492.00	0.010231
492.50	0.0097275
493.00	0.0095754
493.50	0.0095113
494.00	0.0091327
494.50	0.0092394
495.00	0.010209
495.50	0.0094019
496.00	0.0084356
