Wavelength (nm)	C07 ems
330.00	0.010296
331.00	0.011088
332.00	0.014379
333.00	0.028090
334.00	0.036546
335.00	0.047302
336.00	0.048548
337.00	0.049841
338.00	0.056257
339.00	0.069968
340.00	0.090978
341.00	0.11821
342.00	0.14184
343.00	0.16909
344.00	0.22736
345.00	0.27629
346.00	0.33655
347.00	0.36620
348.00	0.37030
349.00	0.38174
350.00	0.44475
351.00	0.62553
352.00	0.83161
353.00	1.0000
354.00	0.98820
355.00	0.82638
356.00	0.68942
357.00	0.60907
358.00	0.57634
359.00	0.59072
360.00	0.61133
361.00	0.65039
362.00	0.66264
363.00	0.65571
364.00	0.62876
365.00	0.60401
366.00	0.58272
367.00	0.59064
368.00	0.62477
369.00	0.69443
370.00	0.77479
371.00	0.80313
372.00	0.77109
373.00	0.69104
374.00	0.59456
375.00	0.51863
376.00	0.47627
377.00	0.45292
378.00	0.44419
379.00	0.44469
380.00	0.43917
381.00	0.43057
382.00	0.42607
383.00	0.40931
384.00	0.39358
385.00	0.36582
386.00	0.35551
387.00	0.34042
388.00	0.33658
389.00	0.32979
390.00	0.33174
391.00	0.32629
392.00	0.32020
393.00	0.29089
394.00	0.26202
395.00	0.24047
396.00	0.22328
397.00	0.21441
398.00	0.19747
399.00	0.18539
400.00	0.17535
401.00	0.17010
402.00	0.16921
403.00	0.16402
404.00	0.15783
405.00	0.15574
406.00	0.14737
407.00	0.15077
408.00	0.13953
409.00	0.12907
410.00	0.12431
411.00	0.11675
412.00	0.10736
413.00	0.098456
414.00	0.095717
415.00	0.088523
416.00	0.082703
417.00	0.074381
418.00	0.074068
419.00	0.067950
420.00	0.067977
421.00	0.061252
422.00	0.059018
423.00	0.056749
424.00	0.053450
425.00	0.052193
426.00	0.046239
427.00	0.045601
428.00	0.045942
429.00	0.044311
430.00	0.043954
431.00	0.042106
432.00	0.038534
433.00	0.035845
434.00	0.035039
435.00	0.032401
436.00	0.026732
437.00	0.025456
438.00	0.024449
439.00	0.023402
440.00	0.023646
441.00	0.021086
442.00	0.018824
443.00	0.019373
444.00	0.017901
445.00	0.018153
446.00	0.017235
447.00	0.015068
448.00	0.015088
449.00	0.013095
450.00	0.014171
451.00	0.013175
452.00	0.011971
453.00	0.012804
454.00	0.011468
455.00	0.011149
456.00	0.010948
457.00	0.010678
458.00	0.010294
459.00	0.0094732
460.00	0.010247
461.00	0.0090007
462.00	0.0082653
463.00	0.0076710
464.00	0.0064652
465.00	0.0066510
466.00	0.0061565
467.00	0.0059582
468.00	0.0058285
469.00	0.0057218
470.00	0.0044746
471.00	0.0051318
472.00	0.0038494
473.00	0.0050371
474.00	0.0035184
475.00	0.0043694
476.00	0.0041372
477.00	0.0035771
478.00	0.0045301
479.00	0.0039064
480.00	0.0040913
481.00	0.0034460
482.00	0.0034318
483.00	0.0031983
484.00	0.0034469
485.00	0.0036085
486.00	0.0039913
487.00	0.0034917
488.00	0.0029677
489.00	0.0033071
490.00	0.0030251
491.00	0.0022605
492.00	0.00096829
493.00	0.0019711
494.00	0.0018463
495.00	0.0014447
496.00	0.0028146
497.00	0.0015781
498.00	0.0015875
499.00	0.0021135
500.00	0.00059052
