Wavelength (nm)	C08 ems
360.00	0.0014608
360.50	0.0014686
361.00	0.0015002
361.50	0.0015354
362.00	0.0015520
362.50	0.0015971
363.00	0.0016071
363.50	0.0016219
364.00	0.0016281
364.50	0.0016979
365.00	0.0016972
365.50	0.0018043
366.00	0.0018194
366.50	0.0018329
367.00	0.0018470
367.50	0.0018205
368.00	0.0018038
368.50	0.0018015
369.00	0.0017921
369.50	0.0017966
370.00	0.0017245
370.50	0.0017794
371.00	0.0018485
371.50	0.0019344
372.00	0.0020048
372.50	0.0021180
373.00	0.0021972
373.50	0.0023960
374.00	0.0024567
374.50	0.0027681
375.00	0.0028375
375.50	0.0030405
376.00	0.0031862
376.50	0.0034584
377.00	0.0036774
377.50	0.0039629
378.00	0.0041879
378.50	0.0045858
379.00	0.0049283
379.50	0.0054892
380.00	0.0058747
380.50	0.0066812
381.00	0.0073388
381.50	0.0088495
382.00	0.0096184
382.50	0.011638
383.00	0.013165
383.50	0.016336
384.00	0.018620
384.50	0.023035
385.00	0.027079
385.50	0.036198
386.00	0.041452
386.50	0.054571
387.00	0.064761
387.50	0.085586
388.00	0.096790
388.50	0.11924
389.00	0.13645
389.50	0.16599
390.00	0.18276
390.50	0.21276
391.00	0.23730
391.50	0.27846
392.00	0.30077
392.50	0.33996
393.00	0.36951
393.50	0.41945
394.00	0.44857
394.50	0.49578
395.00	0.52989
395.50	0.58542
396.00	0.61353
396.50	0.65955
397.00	0.69149
397.50	0.74078
398.00	0.76558
398.50	0.80639
399.00	0.83321
399.50	0.87409
400.00	0.89329
400.50	0.92309
401.00	0.94022
401.50	0.96264
402.00	0.97134
402.50	0.98651
403.00	0.99350
403.50	0.99961
404.00	1.0000
404.50	0.99941
405.00	0.99641
405.50	0.99085
406.00	0.98552
406.50	0.97213
407.00	0.96472
407.50	0.94622
408.00	0.93843
408.50	0.92242
409.00	0.90869
409.50	0.89143
410.00	0.88359
410.50	0.86795
411.00	0.85922
411.50	0.84810
412.00	0.84283
412.50	0.83334
413.00	0.82981
413.50	0.82693
414.00	0.82476
414.50	0.82458
415.00	0.82631
415.50	0.83206
416.00	0.83519
416.50	0.84228
417.00	0.84787
417.50	0.85805
418.00	0.86263
418.50	0.87494
419.00	0.88105
419.50	0.89375
420.00	0.90201
420.50	0.91358
421.00	0.92137
421.50	0.93245
422.00	0.93811
422.50	0.94808
423.00	0.95399
423.50	0.96155
424.00	0.96528
424.50	0.97109
425.00	0.97235
425.50	0.97382
426.00	0.97196
426.50	0.96902
427.00	0.96487
427.50	0.95765
428.00	0.95277
428.50	0.94228
429.00	0.93450
429.50	0.91965
430.00	0.91130
430.50	0.89097
431.00	0.87824
431.50	0.85864
432.00	0.84737
432.50	0.82895
433.00	0.81146
433.50	0.78752
434.00	0.77432
434.50	0.75394
435.00	0.73928
435.50	0.71673
436.00	0.70538
436.50	0.68883
437.00	0.67626
437.50	0.65863
438.00	0.64906
438.50	0.63401
439.00	0.62419
439.50	0.60874
440.00	0.60201
440.50	0.59110
441.00	0.58271
441.50	0.57365
442.00	0.56679
442.50	0.55842
443.00	0.55483
443.50	0.54516
444.00	0.54216
444.50	0.53592
445.00	0.53342
445.50	0.52702
446.00	0.52402
446.50	0.51905
447.00	0.51653
447.50	0.51163
448.00	0.51018
448.50	0.50478
449.00	0.50279
449.50	0.49724
450.00	0.49486
450.50	0.48982
451.00	0.48617
451.50	0.48034
452.00	0.47716
452.50	0.47101
453.00	0.46594
453.50	0.45874
454.00	0.45479
454.50	0.44615
455.00	0.44042
455.50	0.43134
456.00	0.42738
456.50	0.41740
457.00	0.41188
457.50	0.40015
458.00	0.39485
458.50	0.38338
459.00	0.37660
459.50	0.36582
460.00	0.36022
460.50	0.35130
461.00	0.34404
461.50	0.33338
462.00	0.32823
462.50	0.31998
463.00	0.31242
463.50	0.30222
464.00	0.29642
464.50	0.28875
465.00	0.28329
465.50	0.27472
466.00	0.27043
466.50	0.26151
467.00	0.25663
467.50	0.24849
468.00	0.24451
468.50	0.23813
469.00	0.23364
469.50	0.22609
470.00	0.22275
470.50	0.21736
471.00	0.21337
471.50	0.20797
472.00	0.20550
472.50	0.19965
473.00	0.19673
473.50	0.19158
474.00	0.18900
474.50	0.18484
475.00	0.18213
475.50	0.17769
476.00	0.17533
476.50	0.17175
477.00	0.16887
477.50	0.16477
478.00	0.16320
478.50	0.15938
479.00	0.15695
479.50	0.15271
480.00	0.15153
480.50	0.14865
481.00	0.14646
481.50	0.14300
482.00	0.14101
482.50	0.13843
483.00	0.13632
483.50	0.13260
484.00	0.13148
484.50	0.12846
485.00	0.12662
485.50	0.12355
486.00	0.12251
486.50	0.11952
487.00	0.11693
487.50	0.11393
488.00	0.11253
488.50	0.11019
489.00	0.10766
489.50	0.10515
