Wavelength (nm)	C09 abs N
220.00	0.38650
220.25	0.38466
220.50	0.38224
220.75	0.38148
221.00	0.37998
221.25	0.37711
221.50	0.37892
221.75	0.37860
222.00	0.38177
222.25	0.37916
222.50	0.38215
222.75	0.38257
223.00	0.38401
223.25	0.38357
223.50	0.38371
223.75	0.38375
224.00	0.38130
224.25	0.38192
224.50	0.38060
224.75	0.37746
225.00	0.37431
225.25	0.37339
225.50	0.37290
225.75	0.37126
226.00	0.37060
226.25	0.37050
226.50	0.36879
226.75	0.36778
227.00	0.36682
227.25	0.36787
227.50	0.36924
227.75	0.36827
228.00	0.37053
228.25	0.37255
228.50	0.37397
228.75	0.37483
229.00	0.37504
229.25	0.37798
229.50	0.37872
229.75	0.37879
230.00	0.37944
230.25	0.38213
230.50	0.37990
230.75	0.37876
231.00	0.38142
231.25	0.37949
231.50	0.37786
231.75	0.37669
232.00	0.37699
232.25	0.37373
232.50	0.37360
232.75	0.36984
233.00	0.36794
233.25	0.36709
233.50	0.36468
233.75	0.36429
234.00	0.36151
234.25	0.35812
234.50	0.35742
234.75	0.35522
235.00	0.35464
235.25	0.35237
235.50	0.34926
235.75	0.34859
236.00	0.34971
236.25	0.34828
236.50	0.34850
236.75	0.34786
237.00	0.34678
237.25	0.34601
237.50	0.34395
237.75	0.34392
238.00	0.34155
238.25	0.34061
238.50	0.33717
238.75	0.33297
239.00	0.32934
239.25	0.32749
239.50	0.32262
239.75	0.31954
240.00	0.31433
240.25	0.30989
240.50	0.30661
240.75	0.30386
241.00	0.29894
241.25	0.29740
241.50	0.29427
241.75	0.29213
242.00	0.28955
242.25	0.28894
242.50	0.28743
242.75	0.28563
243.00	0.28482
243.25	0.28404
243.50	0.28249
243.75	0.28012
244.00	0.28088
244.25	0.27957
244.50	0.27904
244.75	0.27805
245.00	0.27826
245.25	0.27776
245.50	0.27760
245.75	0.27808
246.00	0.27964
246.25	0.27771
246.50	0.27943
246.75	0.27966
247.00	0.28203
247.25	0.28322
247.50	0.28543
247.75	0.28768
248.00	0.29023
248.25	0.29200
248.50	0.29323
248.75	0.29520
249.00	0.29416
249.25	0.29464
249.50	0.29453
249.75	0.29478
250.00	0.29332
250.25	0.29096
250.50	0.29091
250.75	0.29173
251.00	0.29140
251.25	0.29121
251.50	0.29328
251.75	0.29449
252.00	0.29806
252.25	0.30160
252.50	0.30677
252.75	0.31176
253.00	0.31656
253.25	0.32179
253.50	0.32822
253.75	0.33518
254.00	0.34203
254.25	0.34946
254.50	0.35733
254.75	0.36101
255.00	0.36405
255.25	0.37279
255.50	0.38092
255.75	0.38955
256.00	0.40135
256.25	0.40783
256.50	0.41773
256.75	0.42887
257.00	0.44157
257.25	0.45067
257.50	0.46142
257.75	0.47283
258.00	0.48396
258.25	0.49342
258.50	0.50541
258.75	0.51504
259.00	0.52503
259.25	0.53382
259.50	0.54416
259.75	0.55300
260.00	0.56027
260.25	0.57045
260.50	0.57762
260.75	0.58568
261.00	0.58983
261.25	0.59785
261.50	0.60317
261.75	0.60606
262.00	0.61156
262.25	0.61534
262.50	0.62185
262.75	0.62472
263.00	0.62584
263.25	0.63340
263.50	0.63641
263.75	0.64228
264.00	0.64795
264.25	0.65323
264.50	0.66303
264.75	0.67267
265.00	0.68713
265.25	0.70047
265.50	0.71633
265.75	0.72785
266.00	0.74812
266.25	0.76841
266.50	0.79012
266.75	0.81028
267.00	0.82802
267.25	0.85501
267.50	0.87979
267.75	0.90511
268.00	0.90897
268.25	0.92566
268.50	0.94713
268.75	0.95644
269.00	0.97767
269.25	0.97509
269.50	0.98561
269.75	0.99283
270.00	0.98406
270.25	1.0000
270.50	0.99095
270.75	0.99551
271.00	0.99210
271.25	0.99775
271.50	0.99488
271.75	0.99014
272.00	0.98238
272.25	0.97874
272.50	0.97222
272.75	0.96094
273.00	0.93733
273.25	0.92333
273.50	0.89411
273.75	0.87459
274.00	0.84447
274.25	0.80450
274.50	0.77150
274.75	0.73276
275.00	0.68372
275.25	0.63535
275.50	0.59128
275.75	0.54896
276.00	0.51140
276.25	0.48196
276.50	0.45397
276.75	0.42895
277.00	0.40777
277.25	0.38559
277.50	0.36827
277.75	0.35239
278.00	0.33734
278.25	0.32381
278.50	0.31100
278.75	0.30005
279.00	0.28961
279.25	0.27853
279.50	0.27006
279.75	0.26260
280.00	0.25484
280.25	0.24842
280.50	0.24249
280.75	0.23724
281.00	0.23303
281.25	0.22795
281.50	0.22373
281.75	0.22073
282.00	0.21936
282.25	0.21591
282.50	0.21525
282.75	0.21279
283.00	0.21121
283.25	0.21069
283.50	0.21022
283.75	0.21031
284.00	0.21012
284.25	0.21098
284.50	0.21251
284.75	0.21306
285.00	0.21556
285.25	0.21697
285.50	0.21672
285.75	0.21837
286.00	0.22063
286.25	0.22081
286.50	0.21997
286.75	0.21992
287.00	0.22083
287.25	0.22033
287.50	0.21939
287.75	0.22002
288.00	0.22152
288.25	0.22186
288.50	0.22192
288.75	0.22390
289.00	0.22549
289.25	0.22980
289.50	0.23258
289.75	0.23739
290.00	0.24220
290.25	0.24613
290.50	0.25045
290.75	0.25424
291.00	0.25676
291.25	0.25989
291.50	0.26080
291.75	0.26052
292.00	0.25965
292.25	0.25846
292.50	0.25591
292.75	0.25583
293.00	0.25479
293.25	0.25382
293.50	0.25265
293.75	0.25311
294.00	0.25270
294.25	0.25384
294.50	0.25470
294.75	0.25564
295.00	0.25634
295.25	0.25927
295.50	0.26147
295.75	0.26359
296.00	0.26634
296.25	0.26645
296.50	0.26813
296.75	0.26847
297.00	0.26887
297.25	0.26810
297.50	0.26658
297.75	0.26441
298.00	0.26076
298.25	0.25820
298.50	0.25447
298.75	0.25006
299.00	0.24752
299.25	0.24390
299.50	0.23996
299.75	0.23639
300.00	0.23303
300.25	0.23112
300.50	0.22723
300.75	0.22712
301.00	0.22621
301.25	0.22616
301.50	0.22784
301.75	0.23061
302.00	0.23482
302.25	0.24024
302.50	0.24759
302.75	0.25708
303.00	0.26627
303.25	0.27533
303.50	0.28694
303.75	0.29773
304.00	0.30704
304.25	0.31765
304.50	0.32464
304.75	0.33001
305.00	0.33372
305.25	0.33756
305.50	0.33941
305.75	0.33948
306.00	0.34065
306.25	0.34025
306.50	0.34125
306.75	0.34327
307.00	0.34559
307.25	0.34978
307.50	0.35574
307.75	0.36578
308.00	0.37426
308.25	0.38617
308.50	0.39907
308.75	0.41249
309.00	0.42473
309.25	0.43922
309.50	0.44879
309.75	0.42857
310.00	0.42895
310.25	0.43271
310.50	0.42535
310.75	0.42151
311.00	0.40650
311.25	0.39059
311.50	0.36939
311.75	0.34555
312.00	0.31903
312.25	0.29443
312.50	0.26618
312.75	0.24321
313.00	0.21974
313.25	0.19440
313.50	0.17946
313.75	0.16132
314.00	0.14257
314.25	0.12963
314.50	0.11861
314.75	0.10527
315.00	0.090304
315.25	0.085227
315.50	0.074846
315.75	0.068579
316.00	0.065535
316.25	0.059191
316.50	0.055445
316.75	0.051077
317.00	0.048816
317.25	0.045522
317.50	0.042963
317.75	0.040885
318.00	0.037164
318.25	0.037635
318.50	0.034296
318.75	0.035405
319.00	0.034361
319.25	0.033307
319.50	0.031727
319.75	0.030443
320.00	0.029561
320.25	0.026511
320.50	0.027552
320.75	0.025118
321.00	0.025464
321.25	0.024976
321.50	0.024677
321.75	0.024559
322.00	0.022983
322.25	0.022356
322.50	0.023325
322.75	0.021519
323.00	0.020753
323.25	0.020942
323.50	0.020627
323.75	0.020546
324.00	0.019200
324.25	0.016909
324.50	0.018248
324.75	0.016570
325.00	0.014645
325.25	0.016347
325.50	0.015845
325.75	0.015618
326.00	0.016333
326.25	0.015689
326.50	0.014886
326.75	0.015374
327.00	0.012788
327.25	0.014293
327.50	0.014947
327.75	0.013852
328.00	0.013459
328.25	0.013361
328.50	0.012971
328.75	0.013777
329.00	0.011717
329.25	0.010720
329.50	0.012591
329.75	0.012259
330.00	0.011656
330.25	0.012022
330.50	0.013767
330.75	0.012330
331.00	0.011249
331.25	0.012818
331.50	0.011374
331.75	0.0087952
332.00	0.010619
332.25	0.010063
332.50	0.010686
332.75	0.012110
333.00	0.011541
333.25	0.0098696
333.50	0.010497
333.75	0.010883
334.00	0.0091206
334.25	0.0091985
334.50	0.0091511
334.75	0.010595
335.00	0.010971
335.25	0.0095612
335.50	0.0093578
335.75	0.011076
336.00	0.010195
336.25	0.011435
336.50	0.010490
