Wavelength (nm)	C09 ems
435.00	0.0055470
435.50	0.0059939
436.00	0.0061840
436.50	0.0066686
437.00	0.0069689
437.50	0.0074669
438.00	0.0077558
438.50	0.0083929
439.00	0.0089600
439.50	0.0097298
440.00	0.010302
440.50	0.011294
441.00	0.012145
441.50	0.013689
442.00	0.014680
442.50	0.016511
443.00	0.017818
443.50	0.020642
444.00	0.022220
444.50	0.025260
445.00	0.027485
445.50	0.031778
446.00	0.034139
446.50	0.038839
447.00	0.042354
447.50	0.048759
448.00	0.052367
448.50	0.059296
449.00	0.064463
449.50	0.074131
450.00	0.079460
450.50	0.090199
451.00	0.098171
451.50	0.11304
452.00	0.12160
452.50	0.13803
453.00	0.15052
453.50	0.17250
454.00	0.18255
454.50	0.20935
455.00	0.22735
455.50	0.25909
456.00	0.27547
456.50	0.30868
457.00	0.33513
457.50	0.37490
458.00	0.39953
458.50	0.44186
459.00	0.47483
459.50	0.52654
460.00	0.55196
460.50	0.59922
461.00	0.63811
461.50	0.69054
462.00	0.71979
462.50	0.76656
463.00	0.80293
463.50	0.85091
464.00	0.87512
464.50	0.91196
465.00	0.93525
465.50	0.96590
466.00	0.97708
466.50	0.99192
467.00	0.99848
467.50	1.00000
468.00	0.99763
468.50	0.98780
469.00	0.98135
469.50	0.96264
470.00	0.95226
470.50	0.92905
471.00	0.91471
471.50	0.88616
472.00	0.87293
472.50	0.84631
473.00	0.82904
473.50	0.80160
474.00	0.78737
474.50	0.76177
475.00	0.74562
475.50	0.71639
476.00	0.70173
476.50	0.67736
477.00	0.65860
477.50	0.62958
478.00	0.61705
478.50	0.58930
479.00	0.57170
479.50	0.54478
480.00	0.53437
480.50	0.51350
481.00	0.49938
481.50	0.48146
482.00	0.47283
482.50	0.45991
483.00	0.45167
483.50	0.44208
484.00	0.43873
484.50	0.43334
485.00	0.43168
485.50	0.43011
486.00	0.43037
486.50	0.43248
487.00	0.43623
487.50	0.44250
488.00	0.44703
488.50	0.45535
489.00	0.46391
489.50	0.47677
490.00	0.48345
490.50	0.49814
491.00	0.50887
491.50	0.52559
492.00	0.53392
492.50	0.54940
493.00	0.56104
493.50	0.57590
494.00	0.58407
494.50	0.59715
495.00	0.60545
495.50	0.61564
496.00	0.62162
496.50	0.62850
497.00	0.63220
497.50	0.63648
498.00	0.63744
498.50	0.63793
499.00	0.63640
499.50	0.63381
500.00	0.63038
500.50	0.62521
501.00	0.62051
501.50	0.61117
502.00	0.60594
502.50	0.59526
503.00	0.58646
503.50	0.56811
504.00	0.56111
504.50	0.54557
505.00	0.53430
505.50	0.51640
506.00	0.50694
506.50	0.48980
507.00	0.47779
507.50	0.45909
508.00	0.44988
508.50	0.43604
509.00	0.42393
509.50	0.40919
510.00	0.40220
510.50	0.39000
511.00	0.37966
511.50	0.36719
512.00	0.36119
512.50	0.35054
513.00	0.34374
513.50	0.33359
514.00	0.32944
514.50	0.32107
515.00	0.31703
515.50	0.30860
516.00	0.30545
516.50	0.29896
517.00	0.29620
517.50	0.29057
518.00	0.28821
518.50	0.28399
519.00	0.28151
519.50	0.27756
520.00	0.27613
520.50	0.27214
521.00	0.27108
521.50	0.26832
522.00	0.26639
522.50	0.26349
523.00	0.26222
523.50	0.25919
524.00	0.25773
524.50	0.25611
525.00	0.25457
525.50	0.25248
526.00	0.25192
526.50	0.25026
527.00	0.24889
527.50	0.24731
528.00	0.24689
528.50	0.24564
529.00	0.24432
529.50	0.24239
530.00	0.24203
530.50	0.24022
531.00	0.23882
531.50	0.23654
532.00	0.23566
532.50	0.23375
533.00	0.23162
533.50	0.22864
534.00	0.22756
534.50	0.22418
535.00	0.22197
535.50	0.21839
536.00	0.21587
536.50	0.21319
537.00	0.21008
537.50	0.20602
538.00	0.20339
538.50	0.19899
539.00	0.19587
